"","cas_number","ParameterName","chem_source","chemical_class"
"1","35109-60-5","(2,3-Dibromopropyl) (2,4,6-tribromophenyl) ether","flameRetardant","Unclassified"
"2","90-15-3","1-Hydroxynaphthalene","industrial","PAH"
"3","90-12-0","1-methylnaphthalene","industrial","PAH"
"4","134-32-7","1-Naphthylamine","industrial","Unclassified"
"5","86-57-7","1-Nitronaphthalene","industrial","PAH"
"6","37853-59-1","1,2-Bis(2,4,6-tribromophenoxy)ethane","flameRetardant","Unclassified"
"7","96-12-8","1,2-Dibromo-3-chloropropane","pesticide;pesticide","Unclassified"
"8","3322-93-8","1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane","flameRetardant","Unclassified"
"9","120-82-1","1,2,4-Trichlorobenzene","industrial;pesticide","Unclassified"
"10","3194-55-6","1,2,5,6,9,10-Hexabromocyclododecane","flameRetardant","Unclassified"
"11","541-73-1","1,3-Dichlorobenzene","industrial;pesticide","Unclassified"
"12","626-39-1","1,3,5-Tribromobenzene","industrial;flameRetardant","Unclassified"
"13","57-63-6","17a-Ethynylestradiol","pharmacological","Unclassified"
"14","87-26-3","2-(1-methylbutyl)phenol","industrial","phenol"
"15","86-86-2","2-(1-naphthyl)acetamide","pesticide","PAH"
"16","112-56-1","2-(2-Butoxyethoxy)ethyl thiocyanate","pesticide","Unclassified"
"17","5825-87-6","2-(3-Chlorophenoxy)propionamide","pesticide","Unclassified"
"18","6265-91-4","2-(4-chlorophenyl)benzothiazole","industrial","Unclassified"
"19","102-77-2","2-(morpholinothio)benzothiazole","industrial","Unclassified"
"20","3547-33-9","2-(Octylthio)ethanol","pesticide","Unclassified"
"21","95-85-2","2-Amino-4-chlorophenol","industrial","phenol"
"22","95-84-1","2-amino-p-cresol","industrial","phenol"
"23","95-55-6","2-aminophenol","industrial","phenol"
"24","4074-77-5","2-benzothiazolyl sulfide","industrial","Unclassified"
"25","1817-73-8","2-bromo-4,6-dinitroaniline","industrial","aniline"
"26","578-57-4","2-Bromoanisole","industrial","Unclassified"
"27","95-56-7","2-bromophenol","industrial","phenol"
"28","121-87-9","2-chloro-4-nitroaniline","industrial","aniline"
"29","3531-19-9","2-chloro-4,6-dinitroaniline","industrial","aniline"
