chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,BRAI,CFIN,CIRC,DNC_,DP24,EYE_,JAW_,MO24,MORT,NC24,NC__,OTIC,PE__,PFIN,PIG_,SM24,SNOU,SOMI,SWIM,TRUN,TR__,YSE_
63,14851,H07,63_14851_H07,50.0,,,,,0.0,1.0,,,1.0,,,,,,,,,,,,,,
163,1,B01,163_1_B01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,1,C02,163_1_C02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,1,C07,163_1_C07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,C03,163_2_C03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,D01,163_2_D01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,D04,163_2_D04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,E06,163_2_E06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,F05,163_2_F05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,F08,163_2_F08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,H01,163_2_H01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
163,2,H08,163_2_H08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,A02,165_1_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,A03,165_1_A03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,B01,165_1_B01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,B02,165_1_B02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,B05,165_1_B05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,C05,165_1_C05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,D01,165_1_D01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,D03,165_1_D03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,D12,165_1_D12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,E01,165_1_E01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,F07,165_1_F07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,G04,165_1_G04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,H01,165_1_H01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,1,H06,165_1_H06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,A03,165_2_A03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,A09,165_2_A09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,D06,165_2_D06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,E02,165_2_E02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,E07,165_2_E07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,F12,165_2_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G02,165_2_G02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G03,165_2_G03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G05,165_2_G05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G07,165_2_G07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G10,165_2_G10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,G11,165_2_G11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
165,2,H12,165_2_H12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,A11,172_1_A11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,B06,172_1_B06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,B07,172_1_B07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,C07,172_1_C07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,C11,172_1_C11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
172,1,E08,172_1_E08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
