Chemical_ID,End_Point,BMD10_call
53,ALL_BUT_MORT,1
53,ANY120,0
53,ANY24,0
53,AXIS,1
53,BRN_,1
53,CRAN,1
53,DP24,0
53,EDEM,1
53,LTRK,1
53,MO24,0
53,MORT,0
53,MUSC,1
53,NC24,0
53,NC__,0
53,SKIN,0
53,SM24,0
53,TCHR,1
53,TOT_MORT,0
54,ALL_BUT_MORT,1
54,ANY120,1
54,ANY24,1
54,AXIS,1
54,BRN_,0
54,CRAN,0
54,DP24,0
54,EDEM,0
54,LTRK,1
54,MO24,1
54,MORT,1
54,MUSC,1
54,NC24,0
54,NC__,0
54,SKIN,0
54,SM24,0
54,TCHR,1
54,TOT_MORT,1
56,ALL_BUT_MORT,0
56,ANY120,1
56,ANY24,1
56,AXIS,0
56,BRN_,1
56,CRAN,1
56,DP24,0
56,EDEM,1
56,LTRK,0
56,MO24,1
56,MORT,0
56,MUSC,1
56,NC24,0
56,NC__,1
56,SKIN,0
56,SM24,0
56,TCHR,1
56,TOT_MORT,1
57,ALL_BUT_MORT,1
57,ANY120,1
57,ANY24,1
57,AXIS,1
57,BRN_,1
57,CRAN,1
57,DP24,1
57,EDEM,1
57,LTRK,1
57,MO24,1
57,MORT,1
57,MUSC,1
57,NC24,0
57,NC__,0
57,SKIN,0
57,SM24,0
57,TCHR,1
57,TOT_MORT,1
58,ALL_BUT_MORT,1
58,ANY120,1
58,ANY24,1
58,AXIS,1
58,BRN_,1
58,CRAN,1
58,DP24,0
58,EDEM,1
58,LTRK,1
58,MO24,1
58,MORT,1
58,MUSC,0
58,NC24,0
58,NC__,0
58,SKIN,0
58,SM24,0
58,TCHR,0
58,TOT_MORT,1
60,ALL_BUT_MORT,1
60,ANY120,1
60,ANY24,1
60,AXIS,1
60,BRN_,1
60,CRAN,1
60,DP24,0
60,EDEM,1
60,LTRK,0
60,MO24,0
60,MORT,1
60,MUSC,0
60,NC24,0
60,NC__,0
60,SKIN,0
60,SM24,0
60,TCHR,1
60,TOT_MORT,1
61,ALL_BUT_MORT,0
61,ANY120,1
61,ANY24,1
61,AXIS,1
61,BRN_,1
61,CRAN,1
61,DP24,0
61,EDEM,1
61,LTRK,1
61,MO24,1
61,MORT,1
61,MUSC,1
61,NC24,0
61,NC__,1
61,SKIN,1
61,SM24,0
61,TCHR,1
61,TOT_MORT,1
62,ALL_BUT_MORT,0
62,ANY120,1
62,ANY24,1
62,AXIS,1
62,BRN_,0
62,CRAN,0
62,DP24,0
62,EDEM,0
62,LTRK,1
62,MO24,1
62,MORT,1
62,MUSC,0
62,NC24,0
62,NC__,1
62,SKIN,0
62,SM24,0
62,TCHR,1
62,TOT_MORT,1
63,ALL_BUT_MORT,1
63,ANY120,1
63,ANY24,1
63,AXIS,1
63,BRN_,0
63,CRAN,0
63,DP24,1
63,EDEM,1
63,LTRK,0
63,MO24,1
63,MORT,1
63,MUSC,1
63,NC24,0
63,NC__,0
63,SKIN,0
63,SM24,0
63,TCHR,1
63,TOT_MORT,1
64,ALL_BUT_MORT,0
64,ANY120,0
64,ANY24,0
64,AXIS,0
64,BRN_,0
64,CRAN,0
64,DP24,0
64,EDEM,0
64,LTRK,0
64,MO24,0
64,MORT,0
64,MUSC,0
64,NC24,0
64,NC__,0
64,SKIN,0
64,SM24,0
64,TCHR,0
64,TOT_MORT,0
65,ALL_BUT_MORT,1
65,ANY120,0
65,ANY24,0
65,AXIS,0
65,BRN_,0
65,CRAN,0
65,DP24,0
65,EDEM,1
65,LTRK,0
65,MO24,0
65,MORT,0
65,MUSC,0
65,NC24,0
65,NC__,0
65,SKIN,0
65,SM24,0
65,TCHR,0
65,TOT_MORT,0
66,ALL_BUT_MORT,1
66,ANY120,1
66,ANY24,1
66,AXIS,0
66,BRN_,1
66,CRAN,0
66,DP24,1
66,EDEM,1
66,LTRK,0
66,MO24,1
66,MORT,1
66,MUSC,0
66,NC24,0
66,NC__,0
66,SKIN,0
66,SM24,0
66,TCHR,0
66,TOT_MORT,1
67,ALL_BUT_MORT,1
67,ANY120,1
67,ANY24,1
67,AXIS,1
67,BRN_,1
67,CRAN,1
67,DP24,0
67,EDEM,1
67,LTRK,1
67,MO24,1
67,MORT,1
67,MUSC,1
67,NC24,0
67,NC__,0
67,SKIN,0
67,SM24,0
67,TCHR,1
67,TOT_MORT,1
69,ALL_BUT_MORT,1
69,ANY120,1
69,ANY24,0
69,AXIS,1
69,BRN_,1
69,CRAN,1
69,DP24,1
69,EDEM,1
69,LTRK,1
69,MO24,0
69,MORT,0
69,MUSC,1
69,NC24,0
69,NC__,0
69,SKIN,0
69,SM24,0
69,TCHR,1
69,TOT_MORT,0
70,ALL_BUT_MORT,1
70,ANY120,1
70,ANY24,1
70,AXIS,1
70,BRN_,1
70,CRAN,1
70,DP24,0
70,EDEM,1
70,LTRK,0
70,MO24,1
70,MORT,0
70,MUSC,1
70,NC24,0
70,NC__,0
70,SKIN,0
70,SM24,0
70,TCHR,0
70,TOT_MORT,1
129,ALL_BUT_MORT,1
129,ANY120,1
129,ANY24,1
129,AXIS,1
129,BRN_,1
129,CRAN,1
129,DP24,0
129,EDEM,1
129,LTRK,1
129,MO24,1
129,MORT,1
129,MUSC,0
