,ALL_BUT_MORT,ANY120,ANY24,AXIS,BRN_,CRAN,DP24,EDEM,LTRK,MO24,MORT,MUSC,NC24,NC__,SKIN,SM24,TCHR,TOT_MORT
53,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0
54,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
56,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
58,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
60,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1
61,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
62,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1
63,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
67,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
69,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
70,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
129,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
155,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
163,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
165,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
176,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
220,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1
227,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
246,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
247,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
248,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
250,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
281,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
283,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1
285,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
296,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
297,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
332,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
339,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
342,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
360,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1
362,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1
363,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
365,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
381,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
384,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1
392,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
401,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
403,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
404,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
406,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
409,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
412,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1
413,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
414,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0
415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
416,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
418,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
419,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
420,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
421,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
441,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
447,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
448,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1
470,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
471,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
472,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
481,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
500,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
501,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1
502,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
503,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
504,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
511,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
512,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1
513,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
514,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1
515,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
517,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
557,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0
560,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0
581,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0
585,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
596,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
597,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1
599,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
601,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
602,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
606,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
607,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
609,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
