"Chemical_ID","Model","BMD10","BMD50","Min_Dose","Max_Dose","AUC_Norm","cas_number","DTXSID","PREFERRED_NAME","INCHIKEY","SMILES","MOLECULAR_FORMULA","AVERAGE_MASS","PUBCHEM_DATA_SOURCES","chem_source","chemical_class","chemDescription","zf.cid","End Point Name","Description","endPointLink","DataQC_Flag"
365,"None","NULL","NULL","0.0","1.0","0.03225806451612903","193-98-6",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Heterocyclic",NA,"365","Axis","The body axis is visibly curved, either concave or convex at 5 days","http://purl.obolibrary.org/obo/ZP_0005012","Poor"
365,"None","NULL","NULL","0.0","1.0","0.04838709677419355","193-98-6",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Heterocyclic",NA,"365","Brain","Brain region abnormal in appearance based on color or size at 5 days","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","Poor"
365,"None","NULL","NULL","0.0","1.0","0.04838709677419355","193-98-6",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Heterocyclic",NA,"365","Craniofacial","Periocular edema, abnormally small or missing eye(s), misshapen snout and protruding jaw form a highly correlated suite of malformations simplified to ‘craniofacial defects. at 5 days","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","Poor"
365,"None","NULL","NULL","0.0","1.0","0.03225806451612903","193-98-6",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Heterocyclic",NA,"365","Edema","Distended clear region around the heart and/or yolk sac or top of the head with a lumpy appearance of swollen tissueat 5 days","http://purl.obolibrary.org/obo/ZP_0002060 |","Poor"
365,"None","NULL","NULL","0.0","1.0","0.06451612903225806","193-98-6",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Heterocyclic",NA,"365","Lower Trunk","Shorter than normal body from the posterior of the yolk sac to the caudal fin, abnormal caudal fin at 5 days","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","Poor"
601,"None","NULL","NULL","0.0","1.0","0.0","63019-40-9",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Hydroxy",NA,"601","Axis","The body axis is visibly curved, either concave or convex at 5 days","http://purl.obolibrary.org/obo/ZP_0005012","Poor"
601,"None","NULL","NULL","0.0","1.0","0.0339080459770115","63019-40-9",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Hydroxy",NA,"601","Brain","Brain region abnormal in appearance based on color or size at 5 days","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","Poor"
601,"None","NULL","NULL","0.0","1.0","0.05114942528735632","63019-40-9",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Hydroxy",NA,"601","Craniofacial","Periocular edema, abnormally small or missing eye(s), misshapen snout and protruding jaw form a highly correlated suite of malformations simplified to ‘craniofacial defects. at 5 days","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","Poor"
601,"None","NULL","NULL","0.0","1.0","0.05114942528735632","63019-40-9",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Hydroxy",NA,"601","Edema","Distended clear region around the heart and/or yolk sac or top of the head with a lumpy appearance of swollen tissueat 5 days","http://purl.obolibrary.org/obo/ZP_0002060 |","Poor"
601,"None","NULL","NULL","0.0","1.0","0.0","63019-40-9",NA,"Chemical name unknown",NA,NA,NA,NA,NA,NA,"PAH_Hydroxy",NA,"601","Lower Trunk","Shorter than normal body from the posterior of the yolk sac to the caudal fin, abnormal caudal fin at 5 days","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","Poor"
