Chemical_ID,End_Point,BMD_Flag
53,ALL_BUT_MORT,1.0
53,ANY120,
53,ANY24,
53,AXIS,1.0
53,BRN_,1.0
53,CRAN,1.0
53,DP24,
53,EDEM,1.0
53,LTRK,1.0
53,MO24,
53,MORT,
53,MUSC,1.0
53,NC24,
53,NC__,
53,SKIN,
53,SM24,
53,TCHR,1.0
53,TOT_MORT,
54,ALL_BUT_MORT,1.0
54,ANY120,0.0
54,ANY24,0.0
54,AXIS,1.0
54,BRN_,
54,CRAN,
54,DP24,
54,EDEM,
54,LTRK,1.0
54,MO24,0.0
54,MORT,0.0
54,MUSC,1.0
54,NC24,
54,NC__,
54,SKIN,
54,SM24,
54,TCHR,1.0
54,TOT_MORT,0.0
56,ALL_BUT_MORT,
56,ANY120,1.0
56,ANY24,1.0
56,AXIS,
56,BRN_,1.0
56,CRAN,1.0
56,DP24,
56,EDEM,1.0
56,LTRK,
56,MO24,1.0
56,MORT,
56,MUSC,1.0
56,NC24,
56,NC__,1.0
56,SKIN,
56,SM24,
56,TCHR,1.0
56,TOT_MORT,1.0
57,ALL_BUT_MORT,-1.0
57,ANY120,-1.0
57,ANY24,0.0
57,AXIS,-1.0
57,BRN_,0.0
57,CRAN,-1.0
57,DP24,0.0
57,EDEM,-1.0
57,LTRK,-1.0
57,MO24,1.0
57,MORT,0.0
57,MUSC,0.0
57,NC24,
57,NC__,
57,SKIN,
57,SM24,
57,TCHR,0.0
57,TOT_MORT,0.0
58,ALL_BUT_MORT,0.0
58,ANY120,0.0
58,ANY24,0.0
58,AXIS,0.0
58,BRN_,1.0
58,CRAN,1.0
58,DP24,
58,EDEM,1.0
58,LTRK,0.0
58,MO24,0.0
58,MORT,0.0
58,MUSC,
58,NC24,
58,NC__,
58,SKIN,
58,SM24,
58,TCHR,
58,TOT_MORT,0.0
60,ALL_BUT_MORT,1.0
60,ANY120,1.0
60,ANY24,1.0
60,AXIS,1.0
60,BRN_,1.0
60,CRAN,1.0
60,DP24,
60,EDEM,1.0
60,LTRK,
60,MO24,
60,MORT,1.0
60,MUSC,
60,NC24,
60,NC__,
60,SKIN,
60,SM24,
60,TCHR,1.0
60,TOT_MORT,1.0
61,ALL_BUT_MORT,
61,ANY120,-1.0
61,ANY24,-1.0
61,AXIS,0.0
61,BRN_,0.0
61,CRAN,0.0
61,DP24,
61,EDEM,0.0
61,LTRK,0.0
61,MO24,-1.0
61,MORT,0.0
61,MUSC,0.0
61,NC24,
61,NC__,0.0
61,SKIN,1.0
61,SM24,
61,TCHR,1.0
61,TOT_MORT,0.0
62,ALL_BUT_MORT,
62,ANY120,0.0
62,ANY24,0.0
62,AXIS,1.0
62,BRN_,
62,CRAN,
62,DP24,
62,EDEM,
62,LTRK,1.0
62,MO24,0.0
62,MORT,0.0
62,MUSC,
62,NC24,
62,NC__,1.0
62,SKIN,
62,SM24,
62,TCHR,1.0
62,TOT_MORT,0.0
63,ALL_BUT_MORT,0.0
63,ANY120,0.0
63,ANY24,0.0
63,AXIS,0.0
63,BRN_,
63,CRAN,
63,DP24,0.0
63,EDEM,0.0
63,LTRK,
63,MO24,1.0
63,MORT,0.0
63,MUSC,0.0
63,NC24,
63,NC__,
63,SKIN,
63,SM24,
63,TCHR,1.0
63,TOT_MORT,0.0
64,ALL_BUT_MORT,
64,ANY120,
64,ANY24,
64,AXIS,
64,BRN_,
64,CRAN,
64,DP24,
64,EDEM,
64,LTRK,
64,MO24,
64,MORT,
64,MUSC,
64,NC24,
64,NC__,
64,SKIN,
64,SM24,
64,TCHR,
64,TOT_MORT,
65,ALL_BUT_MORT,1.0
65,ANY120,
65,ANY24,
65,AXIS,
65,BRN_,
65,CRAN,
65,DP24,
65,EDEM,1.0
65,LTRK,
65,MO24,
65,MORT,
65,MUSC,
65,NC24,
65,NC__,
65,SKIN,
65,SM24,
65,TCHR,
65,TOT_MORT,
66,ALL_BUT_MORT,1.0
66,ANY120,1.0
66,ANY24,1.0
66,AXIS,
66,BRN_,1.0
66,CRAN,
66,DP24,1.0
66,EDEM,1.0
66,LTRK,
66,MO24,1.0
66,MORT,1.0
66,MUSC,
66,NC24,
66,NC__,
66,SKIN,
66,SM24,
66,TCHR,
66,TOT_MORT,1.0
67,ALL_BUT_MORT,0.0
67,ANY120,0.0
67,ANY24,1.0
67,AXIS,0.0
67,BRN_,0.0
67,CRAN,0.0
67,DP24,
67,EDEM,0.0
67,LTRK,0.0
67,MO24,1.0
67,MORT,0.0
67,MUSC,0.0
67,NC24,
67,NC__,
67,SKIN,
67,SM24,
67,TCHR,0.0
67,TOT_MORT,0.0
69,ALL_BUT_MORT,1.0
69,ANY120,1.0
69,ANY24,
69,AXIS,1.0
69,BRN_,1.0
69,CRAN,1.0
69,DP24,1.0
69,EDEM,1.0
69,LTRK,1.0
69,MO24,
69,MORT,
69,MUSC,1.0
69,NC24,
69,NC__,
69,SKIN,
69,SM24,
69,TCHR,1.0
69,TOT_MORT,
70,ALL_BUT_MORT,0.0
70,ANY120,0.0
70,ANY24,1.0
70,AXIS,0.0
70,BRN_,0.0
70,CRAN,0.0
70,DP24,
70,EDEM,0.0
70,LTRK,
70,MO24,1.0
70,MORT,
70,MUSC,0.0
70,NC24,
70,NC__,
70,SKIN,
70,SM24,
70,TCHR,
70,TOT_MORT,1.0
129,ALL_BUT_MORT,1.0
129,ANY120,0.0
129,ANY24,0.0
129,AXIS,1.0
129,BRN_,1.0
129,CRAN,1.0
129,DP24,
129,EDEM,1.0
129,LTRK,1.0
129,MO24,0.0
129,MORT,0.0
129,MUSC,
129,NC24,
129,NC__,
129,SKIN,
129,SM24,
129,TCHR,
129,TOT_MORT,0.0
155,ALL_BUT_MORT,0.0
155,ANY120,0.0
155,ANY24,1.0
155,AXIS,0.0
155,BRN_,0.0
155,CRAN,0.0
155,DP24,
155,EDEM,0.0
155,LTRK,0.0
155,MO24,1.0
155,MORT,0.0
155,MUSC,1.0
155,NC24,
155,NC__,0.0
155,SKIN,
155,SM24,
155,TCHR,0.0
155,TOT_MORT,0.0
163,ALL_BUT_MORT,1.0
163,ANY120,0.0
163,ANY24,0.0
163,AXIS,1.0
163,BRN_,1.0
163,CRAN,1.0
163,DP24,
163,EDEM,1.0
163,LTRK,1.0
163,MO24,0.0
163,MORT,1.0
163,MUSC,1.0
163,NC24,
163,NC__,
163,SKIN,1.0
163,SM24,
163,TCHR,1.0
163,TOT_MORT,1.0
165,ALL_BUT_MORT,
165,ANY120,
165,ANY24,0.0
165,AXIS,
165,BRN_,
165,CRAN,
165,DP24,
165,EDEM,
165,LTRK,
165,MO24,0.0
165,MORT,0.0
165,MUSC,
165,NC24,
165,NC__,
165,SKIN,
165,SM24,
165,TCHR,
165,TOT_MORT,0.0
172,ALL_BUT_MORT,
172,ANY120,
172,ANY24,
172,AXIS,
172,BRN_,
172,CRAN,
172,DP24,
172,EDEM,1.0
172,LTRK,
172,MO24,
172,MORT,
172,MUSC,
172,NC24,
172,NC__,
172,SKIN,
172,SM24,1.0
172,TCHR,
172,TOT_MORT,
176,ALL_BUT_MORT,1.0
176,ANY120,
176,ANY24,
176,AXIS,
176,BRN_,
176,CRAN,
176,DP24,1.0
176,EDEM,
176,LTRK,
176,MO24,
176,MORT,
176,MUSC,
176,NC24,
176,NC__,
176,SKIN,
176,SM24,
176,TCHR,
176,TOT_MORT,
197,ALL_BUT_MORT,1.0
197,ANY120,-1.0
197,ANY24,1.0
197,AXIS,
197,BRN_,
197,CRAN,
197,DP24,1.0
197,EDEM,
197,LTRK,
197,MO24,
197,MORT,1.0
197,MUSC,
197,NC24,
197,NC__,
197,SKIN,
197,SM24,
197,TCHR,1.0
197,TOT_MORT,1.0
220,ALL_BUT_MORT,0.0
220,ANY120,0.0
220,ANY24,0.0
220,AXIS,1.0
220,BRN_,
220,CRAN,
220,DP24,0.0
220,EDEM,
220,LTRK,
220,MO24,0.0
220,MORT,0.0
220,MUSC,
220,NC24,
220,NC__,
220,SKIN,
220,SM24,
220,TCHR,1.0
220,TOT_MORT,0.0
227,ALL_BUT_MORT,0.0
227,ANY120,0.0
227,ANY24,0.0
227,AXIS,0.0
227,BRN_,0.0
227,CRAN,0.0
227,DP24,0.0
227,EDEM,0.0
227,LTRK,0.0
227,MO24,0.0
227,MORT,0.0
227,MUSC,0.0
227,NC24,
227,NC__,
227,SKIN,0.0
227,SM24,
227,TCHR,0.0
227,TOT_MORT,0.0
246,ALL_BUT_MORT,0.0
246,ANY120,0.0
246,ANY24,0.0
246,AXIS,0.0
246,BRN_,
246,CRAN,
246,DP24,0.0
246,EDEM,0.0
246,LTRK,1.0
246,MO24,1.0
246,MORT,0.0
246,MUSC,
246,NC24,
246,NC__,
246,SKIN,
246,SM24,
246,TCHR,0.0
246,TOT_MORT,0.0
247,ALL_BUT_MORT,0.0
247,ANY120,0.0
247,ANY24,0.0
247,AXIS,0.0
247,BRN_,0.0
247,CRAN,0.0
247,DP24,0.0
247,EDEM,0.0
247,LTRK,
247,MO24,0.0
247,MORT,0.0
247,MUSC,
247,NC24,
247,NC__,
247,SKIN,
247,SM24,
247,TCHR,0.0
247,TOT_MORT,0.0
248,ALL_BUT_MORT,0.0
248,ANY120,0.0
248,ANY24,0.0
248,AXIS,1.0
248,BRN_,
248,CRAN,1.0
248,DP24,
248,EDEM,0.0
248,LTRK,
248,MO24,0.0
248,MORT,0.0
248,MUSC,
248,NC24,
248,NC__,
248,SKIN,
248,SM24,
248,TCHR,
248,TOT_MORT,0.0
250,ALL_BUT_MORT,1.0
250,ANY120,
250,ANY24,1.0
250,AXIS,1.0
250,BRN_,
250,CRAN,
250,DP24,1.0
250,EDEM,
250,LTRK,1.0
250,MO24,1.0
250,MORT,
250,MUSC,
250,NC24,
250,NC__,
250,SKIN,
250,SM24,
250,TCHR,
250,TOT_MORT,
251,ALL_BUT_MORT,
251,ANY120,
251,ANY24,
251,AXIS,
251,BRN_,
251,CRAN,
251,DP24,
251,EDEM,
251,LTRK,
251,MO24,
251,MORT,
251,MUSC,
251,NC24,
251,NC__,
251,SKIN,
251,SM24,
251,TCHR,
251,TOT_MORT,
252,ALL_BUT_MORT,
252,ANY120,
252,ANY24,
252,AXIS,
252,BRN_,
252,CRAN,
252,DP24,
252,EDEM,
252,LTRK,
252,MO24,
252,MORT,1.0
252,MUSC,
252,NC24,
252,NC__,
252,SKIN,
252,SM24,
252,TCHR,1.0
252,TOT_MORT,
281,ALL_BUT_MORT,0.0
281,ANY120,0.0
281,ANY24,0.0
281,AXIS,1.0
281,BRN_,1.0
281,CRAN,1.0
281,DP24,0.0
281,EDEM,0.0
281,LTRK,1.0
281,MO24,
281,MORT,1.0
281,MUSC,1.0
281,NC24,
281,NC__,
281,SKIN,
281,SM24,
281,TCHR,1.0
281,TOT_MORT,
283,ALL_BUT_MORT,
283,ANY120,-1.0
283,ANY24,
283,AXIS,-1.0
283,BRN_,
283,CRAN,-1.0
283,DP24,
283,EDEM,-1.0
283,LTRK,-1.0
283,MO24,
283,MORT,0.0
283,MUSC,1.0
283,NC24,
283,NC__,
283,SKIN,
283,SM24,
283,TCHR,0.0
283,TOT_MORT,0.0
285,ALL_BUT_MORT,1.0
285,ANY120,1.0
285,ANY24,
285,AXIS,1.0
285,BRN_,1.0
285,CRAN,1.0
285,DP24,
285,EDEM,1.0
285,LTRK,1.0
285,MO24,
285,MORT,1.0
285,MUSC,1.0
285,NC24,
285,NC__,1.0
285,SKIN,
285,SM24,
285,TCHR,
285,TOT_MORT,1.0
286,ALL_BUT_MORT,
286,ANY120,
286,ANY24,
286,AXIS,
286,BRN_,
286,CRAN,
286,DP24,
286,EDEM,
286,LTRK,
286,MO24,
286,MORT,
286,MUSC,
286,NC24,
286,NC__,
286,SKIN,
286,SM24,
286,TCHR,
286,TOT_MORT,
295,ALL_BUT_MORT,1.0
295,ANY120,1.0
295,ANY24,
295,AXIS,
295,BRN_,
295,CRAN,
295,DP24,
295,EDEM,1.0
295,LTRK,1.0
295,MO24,
295,MORT,1.0
295,MUSC,
295,NC24,
295,NC__,
295,SKIN,
295,SM24,
295,TCHR,
295,TOT_MORT,
296,ALL_BUT_MORT,
296,ANY120,1.0
296,ANY24,
296,AXIS,1.0
296,BRN_,
296,CRAN,
296,DP24,
296,EDEM,
296,LTRK,
296,MO24,
296,MORT,1.0
296,MUSC,
296,NC24,
296,NC__,
296,SKIN,
296,SM24,
296,TCHR,
296,TOT_MORT,1.0
297,ALL_BUT_MORT,
297,ANY120,
297,ANY24,1.0
297,AXIS,1.0
297,BRN_,1.0
297,CRAN,1.0
297,DP24,1.0
297,EDEM,1.0
297,LTRK,1.0
297,MO24,
297,MORT,
297,MUSC,1.0
297,NC24,
297,NC__,
297,SKIN,
297,SM24,
297,TCHR,1.0
297,TOT_MORT,
332,ALL_BUT_MORT,
332,ANY120,
332,ANY24,
332,AXIS,
332,BRN_,1.0
332,CRAN,1.0
332,DP24,
332,EDEM,
332,LTRK,
332,MO24,
332,MORT,
332,MUSC,1.0
332,NC24,
332,NC__,
332,SKIN,
332,SM24,
332,TCHR,
332,TOT_MORT,
337,ALL_BUT_MORT,
337,ANY120,
337,ANY24,
337,AXIS,
337,BRN_,
337,CRAN,
337,DP24,1.0
337,EDEM,
337,LTRK,
337,MO24,
337,MORT,
337,MUSC,
337,NC24,
337,NC__,
337,SKIN,
337,SM24,
337,TCHR,
337,TOT_MORT,
338,ALL_BUT_MORT,
338,ANY120,
338,ANY24,
338,AXIS,
338,BRN_,
338,CRAN,
338,DP24,
338,EDEM,
338,LTRK,
338,MO24,1.0
338,MORT,
338,MUSC,
338,NC24,
338,NC__,
338,SKIN,
338,SM24,
338,TCHR,
338,TOT_MORT,
339,ALL_BUT_MORT,
339,ANY120,
339,ANY24,
339,AXIS,
339,BRN_,
339,CRAN,1.0
339,DP24,
339,EDEM,1.0
339,LTRK,
339,MO24,
339,MORT,
339,MUSC,1.0
339,NC24,
339,NC__,
339,SKIN,1.0
339,SM24,
339,TCHR,1.0
339,TOT_MORT,
342,ALL_BUT_MORT,1.0
342,ANY120,0.0
342,ANY24,0.0
342,AXIS,1.0
342,BRN_,
342,CRAN,
342,DP24,1.0
342,EDEM,1.0
342,LTRK,1.0
342,MO24,
342,MORT,1.0
342,MUSC,1.0
342,NC24,
342,NC__,
342,SKIN,1.0
342,SM24,
342,TCHR,1.0
342,TOT_MORT,1.0
355,ALL_BUT_MORT,
355,ANY120,
355,ANY24,
355,AXIS,
355,BRN_,
355,CRAN,
355,DP24,
355,EDEM,
355,LTRK,
355,MO24,
355,MORT,
355,MUSC,
355,NC24,
355,NC__,
355,SKIN,
355,SM24,
355,TCHR,
355,TOT_MORT,
357,ALL_BUT_MORT,0.0
357,ANY120,
357,ANY24,
357,AXIS,1.0
357,BRN_,1.0
357,CRAN,
357,DP24,1.0
357,EDEM,
357,LTRK,
