Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
53,NC24,NULL,NULL,NULL,0,NULL,NULL
54,NC24,NULL,NULL,NULL,0,NULL,NULL
56,NC24,NULL,NULL,NULL,0,NULL,NULL
57,NC24,NULL,NULL,NULL,0,NULL,NULL
58,NC24,NULL,NULL,NULL,0,NULL,NULL
60,NC24,NULL,NULL,NULL,0,NULL,NULL
61,NC24,NULL,NULL,NULL,0,NULL,NULL
62,NC24,NULL,NULL,NULL,0,NULL,NULL
63,NC24,NULL,NULL,NULL,0,NULL,NULL
64,NC24,NULL,NULL,NULL,0,NULL,NULL
65,NC24,NULL,NULL,NULL,0,NULL,NULL
66,NC24,NULL,NULL,NULL,0,NULL,NULL
67,NC24,NULL,NULL,NULL,0,NULL,NULL
69,NC24,NULL,NULL,NULL,0,NULL,NULL
70,NC24,NULL,NULL,NULL,0,NULL,NULL
129,NC24,NULL,NULL,NULL,0,NULL,NULL
155,NC24,NULL,NULL,NULL,0,NULL,NULL
163,NC24,NULL,NULL,NULL,0,NULL,NULL
165,NC24,NULL,NULL,NULL,0,NULL,NULL
172,NC24,NULL,NULL,NULL,0,NULL,NULL
176,NC24,NULL,NULL,NULL,0,NULL,NULL
197,NC24,NULL,NULL,NULL,0,NULL,NULL
220,NC24,NULL,NULL,NULL,0,NULL,NULL
227,NC24,NULL,NULL,NULL,0,NULL,NULL
246,NC24,NULL,NULL,NULL,0,NULL,NULL
247,NC24,NULL,NULL,NULL,0,NULL,NULL
248,NC24,NULL,NULL,NULL,0,NULL,NULL
250,NC24,NULL,NULL,NULL,0,NULL,NULL
281,NC24,NULL,NULL,NULL,0,NULL,NULL
283,NC24,NULL,NULL,NULL,0,NULL,NULL
285,NC24,NULL,NULL,NULL,0,NULL,NULL
286,NC24,NULL,NULL,NULL,0,NULL,NULL
295,NC24,NULL,NULL,NULL,0,NULL,NULL
296,NC24,NULL,NULL,NULL,0,NULL,NULL
297,NC24,NULL,NULL,NULL,0,NULL,NULL
332,NC24,NULL,NULL,NULL,0,NULL,NULL
337,NC24,NULL,NULL,NULL,0,NULL,NULL
338,NC24,NULL,NULL,NULL,0,NULL,NULL
339,NC24,NULL,NULL,NULL,0,NULL,NULL
