Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
53,MOV1,weibull,0,584491922.3,0.323192108,-1,1
53,AUC1,NULL,NULL,NULL,0.125535426,NULL,NULL
54,MOV1,log_logistic,0,15385.547,0.265122146,-1,1
54,AUC1,log_probit,0,311097.423,0.240642146,-1,1
56,MOV1,log_logistic,0,0,0.722945217,-1,-1
56,AUC1,NULL,NULL,NULL,0.428261905,NULL,NULL
57,MOV1,log_logistic,0.001,0.106,0.68440423,-1,0
57,AUC1,quantal_linear,0.055,0.361,0.687672725,-1,0
58,MOV1,NULL,NULL,NULL,0.151289683,NULL,NULL
58,AUC1,NULL,NULL,NULL,0.125720427,NULL,NULL
60,MOV1,probit,16.397,73.967,0.394679941,0,1
60,AUC1,NULL,NULL,NULL,0.442427141,NULL,NULL
61,MOV1,NULL,NULL,NULL,0.308171369,NULL,NULL
61,AUC1,quantal_linear,0.128,0.842,0.356990596,0,1
62,MOV1,probit,0.242,1.013,0.282133995,0,1
62,AUC1,quantal_linear,0.524,3.444,0.293238213,1,1
63,MOV1,log_probit,0.029,6.805,0.668876923,-1,0
63,AUC1,logistic,8.124,22.562,0.569958974,0,0
64,MOV1,log_probit,0,1113.454,0.450494758,-1,1
64,AUC1,NULL,NULL,NULL,0.24052379,NULL,NULL
65,MOV1,weibull,0,1.32,0.734693304,-1,0
65,AUC1,log_probit,0.054,12.936,0.67633565,-1,0
66,MOV1,NULL,NULL,NULL,0.27716321,NULL,NULL
66,AUC1,NULL,NULL,NULL,0.161648041,NULL,NULL
67,MOV1,log_logistic,0.007,0.358,0.73719755,-1,0
67,AUC1,log_probit,0.115,1.544,0.609633189,0,0
69,MOV1,NULL,NULL,NULL,0.471429435,NULL,NULL
69,AUC1,NULL,NULL,NULL,0.328852823,NULL,NULL
70,MOV1,log_logistic,0.002,0.391,0.686193817,-1,0
70,AUC1,log_probit,0.061,10.784,0.465745027,-1,1
129,MOV1,logistic,3.186,8.426,0.61553917,0,0
129,AUC1,log_logistic,4.831,5.417,0.824311408,0,0
155,MOV1,log_probit,0,1.627,0.696923961,-1,0
155,AUC1,NULL,NULL,NULL,0.629271264,NULL,NULL
163,MOV1,log_probit,0,0.066,0.497369093,-1,0
163,AUC1,NULL,NULL,NULL,0.391765732,NULL,NULL
165,MOV1,NULL,NULL,NULL,0.255551374,NULL,NULL
165,AUC1,NULL,NULL,NULL,0.268502861,NULL,NULL
172,MOV1,NULL,NULL,NULL,0.281127117,NULL,NULL
172,AUC1,NULL,NULL,NULL,0.081720831,NULL,NULL
176,MOV1,NULL,NULL,NULL,0.352255746,NULL,NULL
176,AUC1,NULL,NULL,NULL,0.189139011,NULL,NULL
197,MOV1,probit,30.236,130.946,0.321761528,0,1
197,AUC1,NULL,NULL,NULL,0.221905229,NULL,NULL
220,MOV1,logistic,3.803,9.822,0.391269841,0,1
220,AUC1,log_logistic,4.5,5.039,0.378571429,0,0
227,MOV1,quantal_linear,0.186,1.222,0.859485776,-1,0
227,AUC1,quantal_linear,0.236,1.554,0.816283011,-1,0
246,MOV1,logistic,3.317,9.146,0.716959988,0,0
246,AUC1,logistic,6.889,16.161,0.567595689,0,0
247,MOV1,logistic,2.671,7.381,0.40214251,0,0
247,AUC1,log_logistic,10.213,11.189,0.265196945,0,0
248,MOV1,NULL,NULL,NULL,0.336315789,NULL,NULL
248,AUC1,NULL,NULL,NULL,0.281929825,NULL,NULL
250,MOV1,log_probit,0,1.61,0.521058482,-1,0
250,AUC1,logistic,25.342,65.162,0.554231883,0,1
281,MOV1,NULL,NULL,NULL,0.283817512,NULL,NULL
281,AUC1,NULL,NULL,NULL,0.243484149,NULL,NULL
283,MOV1,log_logistic,0.001,0.012,0.930557689,-1,-1
283,AUC1,quantal_linear,0.005,0.034,0.95474422,-1,0
285,MOV1,log_probit,0.002,5.017,0.699924751,-1,0
285,AUC1,logistic,20.028,55.819,0.316489744,0,1
286,MOV1,NULL,NULL,NULL,0.317242747,NULL,NULL
286,AUC1,NULL,NULL,NULL,0.330836833,NULL,NULL
295,MOV1,log_probit,0,9002.241,0.428384552,-1,1
295,AUC1,NULL,NULL,NULL,0.254592422,NULL,NULL
296,MOV1,log_logistic,0,0,0.756822581,-1,-1
296,AUC1,logistic,22.495,62.674,0.379052419,0,1
297,MOV1,log_probit,0.001,518350.439,0.325650773,-1,1
297,AUC1,NULL,NULL,NULL,0.131142599,NULL,NULL
332,MOV1,NULL,NULL,NULL,0.35417743,NULL,NULL
332,AUC1,NULL,NULL,NULL,0.278916258,NULL,NULL
337,MOV1,log_probit,0,67.062,0.493182895,-1,1
337,AUC1,NULL,NULL,NULL,0.235837657,NULL,NULL
338,MOV1,NULL,NULL,NULL,0.068931228,NULL,NULL
338,AUC1,NULL,NULL,NULL,0.003706923,NULL,NULL
339,MOV1,NULL,NULL,NULL,0.456767652,NULL,NULL
339,AUC1,NULL,NULL,NULL,0.242976118,NULL,NULL
342,MOV1,probit,19.077,87.161,0.435475378,0,1
342,AUC1,NULL,NULL,NULL,0.318854906,NULL,NULL
355,MOV1,log_probit,0,17.372,0.398556662,-1,0
355,AUC1,NULL,NULL,NULL,0.154447671,NULL,NULL
357,MOV1,log_probit,0,48928.28,0.326142857,-1,1
357,AUC1,NULL,NULL,NULL,0.255017179,NULL,NULL
360,MOV1,log_logistic,0,7.846,0.543482998,-1,0
360,AUC1,NULL,NULL,NULL,0.398177984,NULL,NULL
362,MOV1,log_logistic,0.104,330.451,0.556388975,0,1
362,AUC1,logistic,18.688,50.939,0.345175231,0,0
363,MOV1,probit,25.495,105.777,0.301314858,0,1
363,AUC1,NULL,NULL,NULL,0.143999146,NULL,NULL
365,MOV1,NULL,NULL,NULL,0.564516129,NULL,NULL
365,AUC1,NULL,NULL,NULL,0.483870968,NULL,NULL
370,MOV1,log_logistic,0,0.004,0.579335585,-1,-1
370,AUC1,NULL,NULL,NULL,0.248215675,NULL,NULL
373,MOV1,NULL,NULL,NULL,0.20253242,NULL,NULL
373,AUC1,NULL,NULL,NULL,0.169316769,NULL,NULL
380,MOV1,probit,42.718,177.874,0.276458469,0,1
380,AUC1,log_logistic,0.03,2443.835,0.354544953,0,1
381,MOV1,probit,1.6,6.273,0.492878401,0,0
381,AUC1,probit,1.378,6.133,0.546130952,0,0
384,MOV1,probit,13.517,64.096,0.491699142,0,0
384,AUC1,probit,10.95,53.027,0.534746546,0,0
392,MOV1,logistic,2.33,6.448,0.785386154,0,0
392,AUC1,logistic,3.03,8.329,0.730298127,0,0
395,MOV1,NULL,NULL,NULL,0.260810227,NULL,NULL
395,AUC1,NULL,NULL,NULL,0.277389458,NULL,NULL
396,MOV1,log_probit,0,3.396,0.664665369,-1,0
396,AUC1,NULL,NULL,NULL,0.445631402,NULL,NULL
401,MOV1,NULL,NULL,NULL,0.263213874,NULL,NULL
401,AUC1,NULL,NULL,NULL,0.0696139,NULL,NULL
403,MOV1,probit,33.152,123.884,0.266308621,0,1
403,AUC1,NULL,NULL,NULL,0.02000931,NULL,NULL
404,MOV1,log_probit,0,71205649.4,0.263685418,-1,1
404,AUC1,NULL,NULL,NULL,0.159757694,NULL,NULL
406,MOV1,log_probit,0,0.404,0.543483871,-1,-1
406,AUC1,NULL,NULL,NULL,0.198966667,NULL,NULL
409,MOV1,NULL,NULL,NULL,0.412435484,NULL,NULL
409,AUC1,log_probit,0.452,576033.809,0.199545296,-1,1
412,MOV1,weibull,0,0.083,0.713441903,-1,-1
412,AUC1,log_probit,22.511,38.968,0.416571793,0,0
413,MOV1,weibull,0.001,5.84,0.626789082,-1,0
413,AUC1,logistic,10.417,28.394,0.483964078,0,0
414,MOV1,weibull,2.631,54.28,0.369593391,0,1
414,AUC1,weibull,3.67,44.934,0.354718966,0,0
415,MOV1,log_probit,0,38.354,0.478051613,-1,0
415,AUC1,NULL,NULL,NULL,0.335694624,NULL,NULL
416,MOV1,log_probit,0.008,20.614,0.373513844,-1,1
416,AUC1,log_probit,0.169,56.671,0.365422312,0,1
417,MOV1,log_logistic,0.001,0.028,0.982197998,-1,-1
417,AUC1,NULL,NULL,NULL,NULL,NULL,NULL
419,MOV1,log_logistic,0,0.031,0.876050865,-1,-1
419,AUC1,log_logistic,0,0.005,0.892342857,-1,-1
420,MOV1,NULL,NULL,NULL,0.332169285,NULL,NULL
420,AUC1,NULL,NULL,NULL,0.380809372,NULL,NULL
