Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
53,ANY24,NULL,NULL,NULL,0.0768125,NULL,NULL
53,ANY120,NULL,NULL,NULL,0.098875,NULL,NULL
53,TOT_MORT,NULL,NULL,NULL,0.030625,NULL,NULL
53,ANY_MORT,NULL,NULL,NULL,0.080375,NULL,NULL
53,BRN_,weibull,4507.951,1.89104E+12,0.055627016,1,1
53,CRAN,logistic,104.259,175.969,0.030322581,1,1
53,EDEM,weibull,4507.951,1.89104E+12,0.055627016,1,1
53,LTKR,NULL,NULL,NULL,0.007935484,NULL,NULL
53,MUSC,logistic,76.157,117.059,0.027032258,1,1
53,SKIN,NULL,NULL,NULL,0,NULL,NULL
53,TCHR,NULL,NULL,NULL,0.014516129,NULL,NULL
54,ANY24,probit,1.803,6.102,0.266375,0,1
54,ANY120,logistic,1.099,2.88,0.38625,0,0
54,TOT_MORT,logistic,1.339,3.229,0.339375,0,0
54,ANY_MORT,NULL,NULL,NULL,0.046875,NULL,NULL
54,BRN_,NULL,NULL,NULL,0.019085557,NULL,NULL
54,CRAN,NULL,NULL,NULL,0.019085557,NULL,NULL
54,EDEM,NULL,NULL,NULL,0.019085557,NULL,NULL
54,LTKR,NULL,NULL,NULL,0.059936509,NULL,NULL
54,MUSC,NULL,NULL,NULL,0.002340824,NULL,NULL
54,SKIN,NULL,NULL,NULL,0,NULL,NULL
54,TCHR,NULL,NULL,NULL,0.013924127,NULL,NULL
56,ANY24,logistic,53.539,80.904,0.0288125,1,1
56,ANY120,logistic,56.797,116.1,0.0725,1,1
56,TOT_MORT,logistic,56.188,91.622,0.038375,1,1
56,ANY_MORT,NULL,NULL,NULL,0.034125,NULL,NULL
56,BRN_,NULL,NULL,NULL,0.035163098,NULL,NULL
56,CRAN,NULL,NULL,NULL,0.034850598,NULL,NULL
56,EDEM,NULL,NULL,NULL,0.035163098,NULL,NULL
56,LTKR,NULL,NULL,NULL,0.026907258,NULL,NULL
56,MUSC,NULL,NULL,NULL,0.012516129,NULL,NULL
56,SKIN,NULL,NULL,NULL,0,NULL,NULL
56,TCHR,NULL,NULL,NULL,0.028322581,NULL,NULL
57,ANY24,log_logistic,0.285,2.925,0.427375,0,0
57,ANY120,log_logistic,0.078,0.099,0.966875,-1,-1
57,TOT_MORT,gamma,0.31,0.825,0.7615,0,0
57,ANY_MORT,log_probit,0,0.083,0.5746875,-1,-1
57,BRN_,logistic,0.104,0.182,0.45,0,0
57,CRAN,logistic,0.093,0.168,0.465625,-1,0
57,EDEM,logistic,0.084,0.155,0.48125,-1,0
57,LTKR,logistic,0.109,0.211,0.460733696,0,0
57,MUSC,logistic,0.243,0.378,0.29388587,0,0
57,SKIN,NULL,NULL,NULL,0,NULL,NULL
57,TCHR,logistic,0.466,0.483,0.295652174,0,0
58,ANY24,log_logistic,1.26,2.785,0.4649375,0,0
58,ANY120,gamma,0.583,1.028,0.7648125,0,0
58,TOT_MORT,log_logistic,1.057,1.194,0.65775,0,0
58,ANY_MORT,NULL,NULL,NULL,0.1070625,NULL,NULL
58,BRN_,logistic,1.134,1.163,0.013180272,1,1
58,CRAN,logistic,1.406,2.118,0.029443027,1,1
58,EDEM,logistic,1.554,2.974,0.052248677,1,1
58,LTKR,logistic,0.872,1.249,0.082164116,0,1
58,MUSC,NULL,NULL,NULL,0,NULL,NULL
58,SKIN,NULL,NULL,NULL,0,NULL,NULL
58,TCHR,NULL,NULL,NULL,0,NULL,NULL
60,ANY24,NULL,NULL,NULL,0.0543125,NULL,NULL
60,ANY120,probit,62.677,213.596,0.1353125,1,1
60,TOT_MORT,logistic,79.8,175.18,0.0670625,1,1
60,ANY_MORT,NULL,NULL,NULL,0.0714375,NULL,NULL
60,BRN_,NULL,NULL,NULL,0.038749499,NULL,NULL
60,CRAN,NULL,NULL,NULL,0.028549499,NULL,NULL
60,EDEM,NULL,NULL,NULL,0.048949499,NULL,NULL
60,LTKR,NULL,NULL,NULL,0.013717241,NULL,NULL
60,MUSC,NULL,NULL,NULL,0,NULL,NULL
60,SKIN,NULL,NULL,NULL,0,NULL,NULL
60,TCHR,NULL,NULL,NULL,0.035232258,NULL,NULL
61,ANY24,log_probit,0.061,1.205,0.6075,-1,0
61,ANY120,logistic,0.099,0.237,0.93725,-1,0
61,TOT_MORT,logistic,0.16,0.337,0.91025,0,0
61,ANY_MORT,NULL,NULL,NULL,0.027,NULL,NULL
61,BRN_,NULL,NULL,NULL,0.034482759,NULL,NULL
61,CRAN,NULL,NULL,NULL,0.034482759,NULL,NULL
61,EDEM,NULL,NULL,NULL,0.034482759,NULL,NULL
61,LTKR,NULL,NULL,NULL,0.034482759,NULL,NULL
61,MUSC,NULL,NULL,NULL,0.034482759,NULL,NULL
61,SKIN,NULL,NULL,NULL,0,NULL,NULL
61,TCHR,NULL,NULL,NULL,0,NULL,NULL
62,ANY24,log_logistic,0.208,1.013,0.7165625,0,0
62,ANY120,log_logistic,0.44,0.506,0.9044375,0,0
62,TOT_MORT,log_logistic,0.442,0.508,0.8924375,0,0
62,ANY_MORT,NULL,NULL,NULL,0.012,NULL,NULL
62,BRN_,NULL,NULL,NULL,0.011538462,NULL,NULL
62,CRAN,NULL,NULL,NULL,0.027667494,NULL,NULL
62,EDEM,NULL,NULL,NULL,0.011538462,NULL,NULL
62,LTKR,NULL,NULL,NULL,0.109925558,NULL,NULL
62,MUSC,NULL,NULL,NULL,0,NULL,NULL
62,SKIN,NULL,NULL,NULL,0,NULL,NULL
62,TCHR,logistic,0.662,1.107,0.041129032,1,1
63,ANY24,log_probit,20.819,75.711,0.172875,0,1
63,ANY120,log_logistic,30.669,41.739,0.3229375,0,0
63,TOT_MORT,log_probit,35.393,51.989,0.18675,0,1
63,ANY_MORT,probit,20.954,51.641,0.1995625,0,1
63,BRN_,log_logistic,48.036,49.823,0.0932,0,0
63,CRAN,log_probit,46.886,50.556,0.0752,0,1
63,EDEM,log_logistic,41.409,48.37,0.117123077,0,0
63,LTKR,log_logistic,49.106,52.395,0.0392,0,1
63,MUSC,logistic,49.71,50.348,0.027,0,1
63,SKIN,NULL,NULL,NULL,0,NULL,NULL
63,TCHR,logistic,51.85,75.317,0.0282,1,1
64,ANY24,NULL,NULL,NULL,0.008,NULL,NULL
64,ANY120,NULL,NULL,NULL,0.0449375,NULL,NULL
64,TOT_MORT,NULL,NULL,NULL,0.0111875,NULL,NULL
64,ANY_MORT,NULL,NULL,NULL,0.03375,NULL,NULL
64,BRN_,NULL,NULL,NULL,0.014847581,NULL,NULL
64,CRAN,NULL,NULL,NULL,0.014847581,NULL,NULL
64,EDEM,NULL,NULL,NULL,0.018247581,NULL,NULL
64,LTKR,NULL,NULL,NULL,0.015170161,NULL,NULL
64,MUSC,NULL,NULL,NULL,0.014847581,NULL,NULL
64,SKIN,NULL,NULL,NULL,0,NULL,NULL
64,TCHR,NULL,NULL,NULL,0,NULL,NULL
65,ANY24,NULL,NULL,NULL,0.102,NULL,NULL
65,ANY120,NULL,NULL,NULL,0.14475,NULL,NULL
65,TOT_MORT,NULL,NULL,NULL,0.13575,NULL,NULL
65,ANY_MORT,logistic,50.21,50.87,0.009,1,1
65,BRN_,NULL,NULL,NULL,0,NULL,NULL
65,CRAN,NULL,NULL,NULL,0,NULL,NULL
65,EDEM,logistic,50.173,50.858,0.009931034,1,1
65,LTKR,NULL,NULL,NULL,0,NULL,NULL
65,MUSC,NULL,NULL,NULL,0,NULL,NULL
65,SKIN,NULL,NULL,NULL,0,NULL,NULL
65,TCHR,NULL,NULL,NULL,0,NULL,NULL
66,ANY24,logistic,173.308,358.423,0.052915323,1,1
66,ANY120,logistic,64.641,139.943,0.085455645,1,1
66,TOT_MORT,logistic,67.54,120.46,0.032372984,1,1
66,ANY_MORT,probit,102.598,276.479,0.057727823,1,1
66,BRN_,NULL,NULL,NULL,0.042053475,NULL,NULL
66,CRAN,NULL,NULL,NULL,0.014495296,NULL,NULL
66,EDEM,NULL,NULL,NULL,0.042053475,NULL,NULL
66,LTKR,NULL,NULL,NULL,0.0194375,NULL,NULL
66,MUSC,NULL,NULL,NULL,0.001979167,NULL,NULL
66,SKIN,NULL,NULL,NULL,0,NULL,NULL
66,TCHR,NULL,NULL,NULL,0.0003125,NULL,NULL
67,ANY24,NULL,NULL,NULL,0.015625,NULL,NULL
67,ANY120,logistic,0.534,0.807,0.779,0,0
67,TOT_MORT,logistic,3.453,6.199,0.1204375,0,1
67,ANY_MORT,log_logistic,0.303,1.246,0.6585625,0,0
67,BRN_,logistic,0.632,0.9,0.742375,0,0
67,CRAN,logistic,0.64,0.918,0.732175,0,0
67,EDEM,logistic,0.616,0.866,0.762775,0,0
67,LTKR,log_logistic,1.389,12.948,0.173769231,0,1
67,MUSC,log_logistic,1.593,7.252,0.184907692,0,1
67,SKIN,NULL,NULL,NULL,0,NULL,NULL
67,TCHR,log_logistic,2.034,3.96,0.282615385,0,0
69,ANY24,NULL,NULL,NULL,0.02325,NULL,NULL
69,ANY120,logistic,76.154,150.353,0.0539375,1,1
69,TOT_MORT,NULL,NULL,NULL,0.0130625,NULL,NULL
69,ANY_MORT,logistic,55.773,94.777,0.040875,1,1
69,BRN_,logistic,54.609,83.594,0.0271875,1,1
69,CRAN,logistic,54.609,83.594,0.0271875,1,1
69,EDEM,logistic,54.609,83.594,0.0271875,1,1
69,LTKR,logistic,62.042,82.878,0.016625,1,1
69,MUSC,logistic,50.044,64.516,0.025625,1,1
69,SKIN,NULL,NULL,NULL,0,NULL,NULL
69,TCHR,NULL,NULL,NULL,0.0181875,NULL,NULL
70,ANY24,NULL,NULL,NULL,0.0214375,NULL,NULL
70,ANY120,probit,1.142,4.182,0.39675,0,0
70,TOT_MORT,NULL,NULL,NULL,0.035125,NULL,NULL
70,ANY_MORT,log_logistic,0.541,4.207,0.37375,0,0
70,BRN_,probit,1.767,5.65,0.241291398,0,1
70,CRAN,logistic,2.773,5.925,0.146616398,0,1
70,EDEM,probit,1.757,5.786,0.241613978,0,1
70,LTKR,NULL,NULL,NULL,0.043770565,NULL,NULL
70,MUSC,log_probit,1.315,8.623,0.220706317,0,1
70,SKIN,NULL,NULL,NULL,0,NULL,NULL
70,TCHR,log_probit,4.907,5.41,0.029122984,0,1
129,ANY24,log_logistic,14.261,80.544,0.2204375,0,1
129,ANY120,log_logistic,4.794,5.489,0.86125,0,0
129,TOT_MORT,log_logistic,3.166,7.705,0.7869375,0,0
129,ANY_MORT,NULL,NULL,NULL,0.0743125,NULL,NULL
129,BRN_,logistic,5.039,5.229,0.02962963,1,1
129,CRAN,NULL,NULL,NULL,0.032962963,NULL,NULL
129,EDEM,NULL,NULL,NULL,0.032962963,NULL,NULL
129,LTKR,logistic,5.039,5.229,0.02962963,1,1
129,MUSC,NULL,NULL,NULL,0,NULL,NULL
129,SKIN,NULL,NULL,NULL,0,NULL,NULL
129,TCHR,NULL,NULL,NULL,0,NULL,NULL
155,ANY24,NULL,NULL,NULL,0.05175,NULL,NULL
155,ANY120,log_logistic,3.435,8.599,0.75725,0,0
155,TOT_MORT,probit,30.945,103.897,0.1765625,0,1
155,ANY_MORT,log_logistic,2.516,14.854,0.5806875,0,0
155,BRN_,log_logistic,3.628,11.092,0.671923077,0,0
155,CRAN,log_logistic,3.967,11.101,0.666153846,0,0
155,EDEM,log_logistic,3.51,9.017,0.722630769,0,0
155,LTKR,log_logistic,3.724,12.776,0.614830769,0,0
155,MUSC,log_logistic,109.228,7689.442,0.051015385,1,1
155,SKIN,NULL,NULL,NULL,0,NULL,NULL
155,TCHR,logistic,20.504,33.124,0.308246154,0,0
163,ANY24,probit,67.389,187.572,0.104375,1,1
163,ANY120,NULL,NULL,NULL,0.150940625,NULL,NULL
163,TOT_MORT,NULL,NULL,NULL,0.119846875,NULL,NULL
163,ANY_MORT,NULL,NULL,NULL,0.03109375,NULL,NULL
163,BRN_,logistic,181.462,321.24,0.035362903,1,1
163,CRAN,logistic,181.462,321.24,0.035362903,1,1
163,EDEM,logistic,181.462,321.24,0.035362903,1,1
163,LTKR,logistic,65.817,68.48,0.016071429,1,1
163,MUSC,logistic,181.462,321.24,0.035362903,1,1
163,SKIN,logistic,65.817,68.48,0.016071429,1,1
163,TCHR,logistic,107.829,165.907,0.017668203,1,1
165,ANY24,NULL,NULL,NULL,0.184207813,NULL,NULL
165,ANY120,NULL,NULL,NULL,0.184689063,NULL,NULL
165,TOT_MORT,NULL,NULL,NULL,0.184192188,NULL,NULL
165,ANY_MORT,NULL,NULL,NULL,0.016107813,NULL,NULL
165,BRN_,NULL,NULL,NULL,0,NULL,NULL
165,CRAN,NULL,NULL,NULL,0.000513992,NULL,NULL
165,EDEM,NULL,NULL,NULL,0.000341379,NULL,NULL
165,LTKR,NULL,NULL,NULL,0,NULL,NULL
165,MUSC,NULL,NULL,NULL,0,NULL,NULL
165,SKIN,NULL,NULL,NULL,0,NULL,NULL
165,TCHR,NULL,NULL,NULL,1.79E-05,NULL,NULL
