Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
53,ANY24,0.0,0.09375,0.061348448701633834,0.14843154728387867
53,ANY24,1.0,0.0625,0.04518943296835905,0.13897123144154583
53,ANY24,5.0,0.125,0.07529865612519929,0.15568305481650224
53,ANY24,11.2,0.0625,0.04518943296835905,0.13897123144154583
53,ANY24,35.6,0.09375,0.061348448701633834,0.14843154728387867
53,ANY24,50.0,0.03125,0.025712139835996878,0.12619263820012558
53,ANY120,0.0,0.125,0.07529865612519929,0.15568305481650224
53,ANY120,1.0,0.0625,0.04518943296835905,0.13897123144154583
53,ANY120,5.0,0.15625,0.08760579717494293,0.16129149597530396
53,ANY120,11.2,0.09375,0.061348448701633834,0.14843154728387867
53,ANY120,35.6,0.09375,0.061348448701633834,0.14843154728387867
53,ANY120,50.0,0.09375,0.061348448701633834,0.14843154728387867
53,TOT_MORT,0.0,0.125,0.07529865612519929,0.15568305481650224
53,TOT_MORT,1.0,0.0,0.0,0.1071791982550706
53,TOT_MORT,5.0,0.03125,0.025712139835996878,0.12619263820012558
53,TOT_MORT,11.2,0.03125,0.025712139835996878,0.12619263820012558
53,TOT_MORT,35.6,0.03125,0.025712139835996878,0.12619263820012558
53,TOT_MORT,50.0,0.03125,0.025712139835996878,0.12619263820012558
53,ANY_MORT,0.0,0.0,0.0,0.1071791982550706
53,ANY_MORT,1.0,0.0625,0.04518943296835905,0.13897123144154583
53,ANY_MORT,5.0,0.125,0.07529865612519929,0.15568305481650224
53,ANY_MORT,11.2,0.0625,0.04518943296835905,0.13897123144154583
53,ANY_MORT,35.6,0.09375,0.061348448701633834,0.14843154728387867
53,ANY_MORT,50.0,0.0625,0.04518943296835905,0.13897123144154583
53,BRN_,0.0,0.0,0.0,0.12064330476584564
53,BRN_,1.0,0.03125,0.025712139835996878,0.12619263820012558
53,BRN_,5.0,0.0967741935483871,0.0633095493851897,0.15222519088554123
53,BRN_,11.2,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,BRN_,35.6,0.06451612903225806,0.04664134551034348,0.14267023833072318
53,BRN_,50.0,0.06451612903225806,0.04664134551034348,0.14267023833072318
53,CRAN,0.0,0.0,0.0,0.12064330476584564
53,CRAN,1.0,0.0,0.0,0.1071791982550706
53,CRAN,5.0,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,CRAN,11.2,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,CRAN,35.6,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,CRAN,50.0,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,EDEM,0.0,0.0,0.0,0.12064330476584564
53,EDEM,1.0,0.03125,0.025712139835996878,0.12619263820012558
53,EDEM,5.0,0.0967741935483871,0.0633095493851897,0.15222519088554123
53,EDEM,11.2,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,EDEM,35.6,0.06451612903225806,0.04664134551034348,0.14267023833072318
53,EDEM,50.0,0.06451612903225806,0.04664134551034348,0.14267023833072318
53,LTKR,0.0,0.0,0.0,0.12064330476584564
53,LTKR,1.0,0.0,0.0,0.1071791982550706
53,LTKR,5.0,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,LTKR,11.2,0.0,0.0,0.11025539546043595
53,LTKR,35.6,0.0,0.0,0.11025539546043595
53,LTKR,50.0,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,MUSC,0.0,0.0,0.0,0.12064330476584564
53,MUSC,1.0,0.0,0.0,0.1071791982550706
53,MUSC,5.0,0.0,0.0,0.11025539546043595
53,MUSC,11.2,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,MUSC,35.6,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,MUSC,50.0,0.03225806451612903,0.026540842990712216,0.12968298713112003
53,SKIN,0.0,0.0,0.0,0.12064330476584564
53,SKIN,1.0,0.0,0.0,0.1071791982550706
53,SKIN,5.0,0.0,0.0,0.11025539546043595
53,SKIN,11.2,0.0,0.0,0.11025539546043595
