SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,measurement_value_qualifier,measurement_value_unit,measurement_value_molar,measurement_value_molar_unit,environment_concentration,environment_concentration_qualifier,environment_concentration_unit,environment_concentration_molar,environment_concentration_molar_unit,parentSampleNumber,childSampleNumber,projectName,date_sample_start,projectLink
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,120-12-7,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,129-00-0,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,32200,NULL,pg/uL,159208,pmol/mL,14.8,NULL,ng/L,0.0731765,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,132-65-0,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,309,NULL,pg/uL,1677.01,pmol/mL,0.462,NULL,ng/L,0.00250737,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,1576-67-6,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,1705-85-7,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,48700,NULL,pg/uL,200978,pmol/mL,5.74,NULL,ng/L,0.0236882,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,191-24-2,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,71.3,NULL,pg/uL,258.024,pmol/mL,0.049,NULL,ng/L,0.000177324,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,191-30-0,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,192-97-2,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,944,NULL,pg/uL,3741.58,pmol/mL,0.591,NULL,ng/L,0.00234245,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,193-39-5,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,205-99-2,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,1240,NULL,pg/uL,4914.78,pmol/mL,0.652,NULL,ng/L,0.00258423,nmol/L,NULL,A100078,NA,NA,NA
