sample_number,sample_name,project_name,project_link,date_sample_start,date_sample_finish,sample_matrix,technology,parent_sample_number,child_sample_number,zf_sample_number,cas_number,location_lat,location_lon,location_name,location_alt_desc,instrument_value,instrument_value_qualifier,instrument_value_unit,instrument_moles,instrument_moles_qualifier,instrument_moles_unit,environmental_value,environmental_value_qualifier,environmental_value_unit,environmental_moles,environmental_moles_qualifier,environmental_moles_unit
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,573-98-8,,,,,0.739944,U,pg/uL,4.850744,U,pmol/uL,0.1548,U,ng/g wristband,1.0148,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,571-58-4,,,,,1.904352,U,pg/uL,12.378288,U,pmol/uL,0.3984,U,ng/g wristband,2.5896,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,571-61-9,,,,,1.231328,U,pg/uL,7.976864,U,pmol/uL,0.2576,U,ng/g wristband,1.6688,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,575-43-9 & 575-41-7,,,,,1.101312,U,pg/uL,7.020864,U,pmol/uL,0.2304,U,ng/g wristband,1.4688,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,569-41-5,,,,,0.543008,U,pg/uL,3.529552,U,pmol/uL,0.1136,U,ng/g wristband,0.7384,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,90-12-0,,,,,0.42781,U,pg/uL,3.336918,U,pmol/uL,0.0895,U,ng/g wristband,0.6981,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,832-69-9,,,,,1.15437,U,pg/uL,5.93676,U,pmol/uL,0.2415,U,ng/g wristband,1.242,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,2381-21-7,,,,,0.488516,U,pg/uL,2.372792,U,pmol/uL,0.1022,U,ng/g wristband,0.4964,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,613-06-9,,,,,0.431634,U,pg/uL,1.973184,U,pmol/uL,0.0903,U,ng/g wristband,0.4128,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,59919-41-4,,,,,1.399584,U,pg/uL,7.522764,U,pmol/uL,0.2928,U,ng/g wristband,1.5738,U,pmol/g wristband
