SampleNumber,date_sampled,sample_matrix,technology,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,measurement_value,measurement_value_qualifier,measurement_value_unit,measurement_value_molar,measurement_value_molar_unit,water_concentration,water_concentration_qualifier,water_concentration_unit,water_concentration_molar,water_concentration_molar_unit,parentSampleNumber,childSampleNumber
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,120-12-7,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",415,NULL,pg/uL,2328.46,pmol/mL,0.565,NULL,ng/L,0.00317008,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,129-00-0,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",3070,NULL,pg/uL,15179.2,pmol/mL,1.98,NULL,ng/L,0.00978983,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,132-65-0,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",171,NULL,pg/uL,928.052,pmol/mL,0.262,NULL,ng/L,0.00142193,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,1576-67-6,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,1705-85-7,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,191-24-2,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",90.2,NULL,pg/uL,326.42,pmol/mL,0.069,NULL,ng/L,0.000249701,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,191-30-0,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,192-97-2,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",287,NULL,pg/uL,1137.53,pmol/mL,0.199,NULL,ng/L,0.000788744,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,193-39-5,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",99.8,NULL,pg/uL,361.161,pmol/mL,0.079,NULL,ng/L,0.000285889,nmol/L,NULL,NULL
10AUG09-01-003,Aug  5 2010  7:30PM,PSD-Water,LFT - Spiked,10AUG09-01-011,205-99-2,NULL,AL-LFT-W-SPK,30.25469,-87.81307,"Gulf Shores, Alabama",NULL,"Bon Secour, AL",2900,NULL,pg/uL,10978.6,pmol/mL,NULL,NULL,NULL,NULL,nc:error,NULL,NULL
