SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,water_concentration,water_concentration_unit,bioassay_sample_from_lims,parent_samples_from_lims,child_samples_from_lims
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,1090-13-7,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",628,267.1560656,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,109699-80-1,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1177,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,129-00-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",2739,5155.422395,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,130-15-4,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",61,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,132-65-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1620,130.7165397,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,1576-67-6,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",447,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,1705-85-7,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",694,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,191-24-2,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1179,40.53724931,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,191-30-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1614,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,191-30-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1616,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,192-97-2,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1178,188.1682081,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,193-39-5,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1965,45.77772872,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,205-99-2,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1175,690.4517637,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,206-44-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1854,9942.807407,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,207-08-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1182,199.8642211,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,208-96-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",949,146.7845384,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,218-01-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1371,1569.314796,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,2237-14-1,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",NA,NA,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,2498-66-0,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1163,267.1560656,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,3074-00-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",689,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,479-79-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",NA,NA,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,483-65-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",2774,695.0226251,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,486-25-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",771,122.0825056,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,491-38-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1370,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,50-32-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1174,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,524-42-5,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",54,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,53-70-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1611,0,NA,NA,10OCT18-03-005,NA,NA
