SampleNumber,zf_lims_id,tanguay_cid,Sample_ID,chemical name,
C51699,C51699,101,101,,
C70813,C70813,102,102,1.6 h B,
C85449,C85449,103,103,,
10AUG09-01-003,10AUG09-01-011,127,127,,
10JUL11-01-001,10JUL11-01-009,130,130,,
10JUN13-01-001,10JUN13-01-009,131,131,,
10MAY17-01-001,10MAY17-01-009,132,132,,
10OCT18-03-001,10OCT18-03-005,135,135,,
10SEP11-01-001,10SEP11-01-009,136,136,,
10JUL29-01-013,10JUL29-01-022,177,177,12E-W-B,
10JUL29-01-004,10JUL29-01-017,452,452,3.5W-W-B,
10JUL29-01-003,10JUL29-01-016,495,495,3E-W-B,
10JUL29-01-005,10JUL29-01-018_B,669,669,6.5W-W-B,**10JUL29-01-018
10JUL29-01-006,10JUL29-01-019,719,719,7E-W-B,
10JUL29-01-007,10JUL29-01-020,723,723,7W-W-B,
10JUL29-01-012,10JUL29-01-021,744,744,8W-W-B,
A130475,P15932,792,792,,
A130485,P21442,793,793,,
A130502,P14182,794,794,,
A130512,P26408,795,795,,
A130527,P61398,796,796,,
A140383,P99596,797,797,,
A140384,P84353,798,798,,
A140385,P69352,799,799,,
A140386,P64678,800,800,,
A150260,P71211,839,839,,
A150396,P44393,858,858,,
A160139,P09614,889,889,,
A160140,P43917,890,890,,
A160141,P43052,891,891,,
10JUL11-01-003,10JUL11-01-011,1004,1004-1,AL-LFT-W-BLK,
10JUN13-01-003,10JUN13-01-011,1004,1004-2,AL-LFT-W-BLK,
10MAY17-01-003,10MAY17-01-011,1004,1004-3,AL-LFT-W-BLK,
10SEP11-01-003,10SEP11-01-011,1004,1004-4,AL-LFT-W-BLK,
A110069,A110073,1008,1008-1,,
A110288,A110292,1008,1008-2,,
A110143,A110147,1009,1009,,
C27391,C27391,1035,1035,,
C79877,C79877,1036,1036,AS B,
C22472,C22472,1037,1037,AS C,
C39886,C39886,1038,1038,AS D,
10JUL29-01-001,10JUL29-01-014,1426,1426,Col Down-B,
A090001,A090002,1427,1427,,
10JUL29-01-002,10JUL29-01-015,1428,1428,Col Up-W-B,
A090003,A090004,1429,1429,,
10OCT28-01-001,10OCT28-01-012,1431,1431-1,Col-Down-LFT-W-BLK,
10SEP02-01-001,10SEP02-01-012,1431,1431-2,Col-Down-LFT-W-BLK,
10SEP02-01-002,10SEP02-01-015,1431,1431-3,Col-Down-LFT-W-BLK,
10SEP30-01-001,10SEP30-01-012,1431,1431-4,Col-Down-LFT-W-BLK,
10OCT28-01-002,10OCT28-01-015,1432,1432-5,Col-Up-LFT-W-BLK,
10SEP30-01-002,10SEP30-01-015,1432,1432-6,Col-Up-LFT-W-BLK,
A090057,A090058,1456,1456,,
A090059,A090060,1458,1458,,
C58694,C58694,1514,1514,,
C31199,C31199,1515,1515,CT-1 B,
C49039,C49039,1516,1516,CT-1 C,
C57488,C57488,1517,1517,CT-1 D,
C85418,C85418,1518,1518,,
C67584,C67584,1519,1519,CT-2 B,
C02470,C02470,1520,1520,CT-2 C,
C08657,C08657,1521,1521,CT-2 D,
A110070,A110074,1864,1864-1,,
A110289,A110293,1864,1864-2,,
10JUL11-01-007,10JUL11-01-015,2066,2066-1,LA-LFT-W-BLK,
10JUN13-01-007,10JUN13-01-015,2066,2066-2,LA-LFT-W-BLK,
10MAY17-01-007,10MAY17-01-015,2066,2066-3,LA-LFT-W-BLK,
10SEP11-01-007,10SEP11-01-015,2066,2066-4,LA-LFT-W-BLK,
A110067,A110071,2071,2071-1,,
A110286,A110290,2071,2071-2,,
A110141,A110145,2072,2072-1,,
10OCT18-03-004,10OCT18-03-008,2072,2072-2,LA-W-B,
10AUG09-01-005,10AUG09-01-013,2235,2235-1,MS-LFT-W-BLK,
10JUL11-01-005,10JUL11-01-013,2235,2235-2,MS-LFT-W-BLK,
10JUN13-01-005,10JUN13-01-013,2235,2235-3,MS-LFT-W-BLK,
10MAY17-01-005,10MAY17-01-013,2235,2235-4,MS-LFT-W-BLK,
10SEP11-01-005,10SEP11-01-013,2235,2235-5,MS-LFT-W-BLK,
A110287,A110291,2236,2236,,
C26650,C26650,2509,2509,PAH Mix,
10OCT28-01-014,10OCT28-01-021,2792,2792-1,RM12E-LFT-W-BLK,
10SEP02-01-014,10SEP02-01-021,2792,2792-2,RM12E-LFT-W-BLK,
A090025,A090026,2793,2793,,
A090063,A090064,2794,2794,,
A090007,A090008,2795,2795,,
10OCT28-01-004,10OCT28-01-017,2796,2796-1,RM3.5W-LFT-W-BLK,
10SEP02-01-004,10SEP02-01-017,2796,2796-2,RM3.5W-LFT-W-BLK,
10SEP30-01-004,10SEP30-01-017,2796,2796-3,RM3.5W-LFT-W-BLK,
A090005,A090006_A,2797,2797,,
10OCT28-01-003,10OCT28-01-016,2798,2798-1,RM3E-LFT-W-BLK,
10SEP02-01-003,10SEP02-01-016_A,2798,2798-2,RM3E-LFT-W-BLK,**10SEP02-01-016
10SEP30-01-003,10SEP30-01-016,2798,2798-3,RM3E-LFT-W-BLK,
A090009,A090010,2799,2799,,
A090065,A090066,2800,2800,,
10SEP30-01-039,10SEP30-01-019,2801,2801,RM6.5W-LFT-W-BLK,
A090069,A090070,2802,2802,,
A090013,A090014,2803,2803,,
10OCT28-01-005,10OCT28-01-018,2804,2804-1,RM7E-LFT-W-BLK,
10SEP02-01-005,10SEP02-01-018,2804,2804-2,RM7E-LFT-W-BLK,
10SEP30-01-005,10SEP30-01-018,2804,2804-3,RM7E-LFT-W-BLK,
A090061,A090062,2805,2805-1,,
A090071,A090076,2805,2805-2,,
A090072,A090077,2805,2805-3,,
A090073,A090078_B,2805,2805-4,,
A090074,A090079,2805,2805-5,,
A090075,A090080,2805,2805-6,,
A090081,A090082,2805,2805-7,,
A090018,A090021,2806,2806-1,,
A090019,A090023,2806,2806-2,,
A090017,A090020,2806,2806-3,RM7W-LFT-W-B,
10OCT28-01-006,10OCT28-01-019,2807,2807-1,RM7W-LFT-W-BLK,
10SEP02-01-006,10SEP02-01-019,2807,2807-2,RM7W-LFT-W-BLK,
A090067,A090068_B,2808,2808,,
A090011,A090012_A,2809,2809,,
10OCT28-01-013,10OCT28-01-020,2810,2810-1,RM8W-LFT-W-BLK,
10SEP02-01-013,10SEP02-01-020,2810,2810-2,RM8W-LFT-W-BLK,
10SEP30-01-013,10SEP30-01-020,2810,2810-3,RM8W-LFT-W-BLK,
C93545,C93545,2915,2915,Supermix 10,
C18372,C18372,2917,2917,Supermix 10 50X,
C34463,C34463,2918,2918,Supermix 3,
C82136,C82136,2921,2921,Supermix3,
C415033,C415033,3322,3322,Eff-Sample DCM (F2),
C106563,C106563,3324,3324,Pre-Sample DCM (f2),
