"Project","cas_number","Conc","Link","nGenes"
"ADIPO","101-02-0","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=101-02-0&stat=gene_expression",1000
"ADIPO","104-76-7","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=104-76-7&stat=gene_expression",1001
"ADIPO","107534-96-3","20uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=107534-96-3&stat=gene_expression",1000
"ADIPO","112529-15-4","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=112529-15-4&stat=gene_expression",1001
"ADIPO","115-86-6","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",1000
"ADIPO","117-81-7","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",1004
"ADIPO","120116-88-3","20uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=120116-88-3&stat=gene_expression",1000
"ADIPO","124495-18-7","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=124495-18-7&stat=gene_expression",1000
"ADIPO","126-73-8","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=126-73-8&stat=gene_expression",1000
"ADIPO","131-70-4","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=131-70-4&stat=gene_expression",1000
"ADIPO","131341-86-1","2uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=131341-86-1&stat=gene_expression",1000
"ADIPO","13674-87-8","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=13674-87-8&stat=gene_expression",1000
"ADIPO","138261-41-3","10uM","https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=138261-41-3&stat=gene_expression",1000
