Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
3756,BRN_,0.0,0.0,0.0,0.1071791982550706
3756,BRN_,2.16,0.0,0.0,0.10151455415332376
3756,BRN_,6.8,0.0,0.0,0.11025539546043595
3756,BRN_,14.7,0.0,0.0,0.11025539546043595
3756,BRN_,31.6,0.0,0.0,0.12064330476584564
3756,BRN_,56.2,0.0,1.3877787807814457e-17,0.13319225093904846
3756,BRN_,75.0,0.0,6.938893903907228e-18,0.11696979849974073
3756,BRN_,100.0,0.0,0.0,0.11351339317396875
3756,LTRK,0.0,0.03125,0.025712139835996878,0.12619263820012558
3756,LTRK,2.16,0.0,0.0,0.10151455415332376
3756,LTRK,6.8,0.0,0.0,0.11025539546043595
3756,LTRK,14.7,0.03225806451612903,0.026540842990712216,0.12968298713112003
3756,LTRK,31.6,0.0,0.0,0.12064330476584564
3756,LTRK,56.2,0.0,1.3877787807814457e-17,0.13319225093904846
3756,LTRK,75.0,0.10344827586206896,0.06763338451139189,0.16040253504566904
3756,LTRK,100.0,0.0,0.0,0.11351339317396875
3756,NC__,0.0,0.0,0.0,0.1071791982550706
3756,NC__,2.16,0.0,0.0,0.10151455415332376
3756,NC__,6.8,0.0,0.0,0.11025539546043595
3756,NC__,14.7,0.0,0.0,0.11025539546043595
3756,NC__,31.6,0.0,0.0,0.12064330476584564
3756,NC__,56.2,0.0,1.3877787807814457e-17,0.13319225093904846
3756,NC__,75.0,0.0,6.938893903907228e-18,0.11696979849974073
3756,NC__,100.0,0.0,0.0,0.11351339317396875
3756,SKIN,0.0,0.0,0.0,0.1071791982550706
3756,SKIN,2.16,0.0,0.0,0.10151455415332376
3756,SKIN,6.8,0.0,0.0,0.11025539546043595
3756,SKIN,14.7,0.0,0.0,0.11025539546043595
3756,SKIN,31.6,0.0,0.0,0.12064330476584564
3756,SKIN,56.2,0.0,1.3877787807814457e-17,0.13319225093904846
3756,SKIN,75.0,0.0,6.938893903907228e-18,0.11696979849974073
3756,SKIN,100.0,0.0,0.0,0.11351339317396875
