"Dose","Response","CI_Lo","CI_Hi","End Point Name","endPointLink","Sample_ID"
0,0,0,0.113513393173969,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","1515"
1e-04,0.032258064516129,0.0265408429907122,0.12968298713112,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","1515"
0,0,0,0.113513393173969,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","1515"
1e-04,0.0967741935483871,0.0633095493851897,0.152225190885541,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","1515"
0,0,0,0.113513393173969,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","1515"
1e-04,0.0967741935483871,0.0633095493851897,0.152225190885541,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","1515"
0,0,0,0.113513393173969,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","1515"
1e-04,0.0967741935483871,0.0633095493851897,0.152225190885541,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","1515"
0,0,0,0.113513393173969,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","1515"
1e-04,0.161290322580645,0.0903640781469921,0.165053217007287,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","1515"
0,0,0,0.113513393173969,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","1519"
1e-04,0,0,0.107179198255071,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","1519"
0,0,0,0.113513393173969,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","1519"
1e-04,0.09375,0.0613484487016338,0.148431547283879,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625","1519"
0,0,0,0.113513393173969,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","1519"
1e-04,0.03125,0.0257121398359969,0.126192638200126,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","1519"
0,0,0,0.113513393173969,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","1519"
1e-04,0.0625,0.045189432968359,0.138971231441546,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","1519"
0,0,0,0.113513393173969,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","1519"
1e-04,0.59375,0.171149751246171,0.151053651573346,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","1519"
0,0.0467494521548576,0.00997033928878651,0.0125068933880484,"Any effect in 24 hours",NA,NA
5,0.116932422171602,0.0162512292830648,0.0184794124097282,"Any effect in 24 hours",NA,NA
0,0.116091109478325,0.0159483450375476,0.0181094314909321,"Any effect",NA,NA
5,0.953399541634836,0.0128054292292666,0.0101520765996564,"Any effect",NA,NA
0,0.0255023183925811,0.00728642065897027,0.0100953358650942,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
5,0.00520381613183001,0.00281674344881322,0.00610282755389677,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0,0.0723981900452489,0.0127475973750222,0.0152179892156437,"Any effect except mortality",NA,NA
5,0.925,0.0160088001155125,0.0133836745623848,"Any effect except mortality",NA,NA
0,0.0378670788253478,0.00910634410046688,0.0118420628191348,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
5,0.0364267129228101,0.00936584809503576,0.0124445719410781,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0,0.0394126738794436,0.00930993828474143,0.0120365074424773,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
5,0.0589765828274068,0.012189637082753,0.01511860074171,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0,0.0440494590417311,0.00989585362240371,0.0125949740973436,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
5,0.928013876843018,0.0163829914414094,0.0135404278903867,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0,0.0231839258114374,0.00689666493553503,0.00971930448305693,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405",NA
5,0.00433651344319167,0.00248283460080547,0.0057746787130846,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405",NA
0,0.0314097881665449,0.00800807563310679,0.0106304760435444,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
5,0.0584662110858011,0.0114338542560461,0.0140021168688404,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0,0.0547845142439737,0.0108558875834311,0.0133474745673153,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071",NA
5,0.12452543659833,0.0167477392779636,0.018931756237597,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0,0.09375,0.0613484487016338,0.148431547283879,"Any effect",NA,NA
1e-04,0.09375,0.0613484487016338,0.148431547283879,"Any effect",NA,NA
0.001,0.03125,0.0257121398359969,0.126192638200126,"Any effect",NA,NA
0.0025,0.0625,0.045189432968359,0.138971231441546,"Any effect",NA,NA
0.005,0.0625,0.045189432968359,0.138971231441546,"Any effect",NA,NA
0.01,0.125,0.0752986561251993,0.155683054816502,"Any effect",NA,NA
0,0,0,0.113513393173969,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
1e-04,0.0645161290322581,0.0466413455103435,0.142670238330723,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0.001,0,0,0.110255395460436,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0.0025,0,0,0.113513393173969,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0.005,0,0,0.113513393173969,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0.01,0,6.93889390390723e-18,0.116969798499741,"Axis","http://purl.obolibrary.org/obo/ZP_0005012",NA
0,0.032258064516129,0.0265408429907122,0.12968298713112,"Any effect except mortality",NA,NA
1e-04,0.09375,0.0613484487016338,0.148431547283879,"Any effect except mortality",NA,NA
0.001,0,0,0.110255395460436,"Any effect except mortality",NA,NA
0.0025,0,0,0.110255395460436,"Any effect except mortality",NA,NA
0.005,0,0,0.113513393173969,"Any effect except mortality",NA,NA
0.01,0.0344827586206897,0.028369544327927,0.137272460172513,"Any effect except mortality",NA,NA
0,0.0333333333333333,0.0274247429517209,0.133370576580758,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
1e-04,0.0645161290322581,0.0466413455103435,0.142670238330723,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0.001,0,0,0.110255395460436,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0.0025,0,0,0.113513393173969,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0.005,0,0,0.113513393173969,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0.01,0.0344827586206897,0.028369544327927,0.137272460172513,"Brain","http://purl.obolibrary.org/obo/ZP_0001601 | http://purl.obolibrary.org/obo/ZP_0000100 | http://purl.obolibrary.org/obo/ZP_0008625",NA
0,0.0333333333333333,0.0274247429517209,0.133370576580758,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
1e-04,0.0645161290322581,0.0466413455103435,0.142670238330723,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0.001,0,0,0.110255395460436,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0.0025,0,0,0.113513393173969,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0.005,0,0,0.113513393173969,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0.01,0,6.93889390390723e-18,0.116969798499741,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203",NA
0,0.0333333333333333,0.0274247429517209,0.133370576580758,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
1e-04,0.0645161290322581,0.0466413455103435,0.142670238330723,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0.001,0,0,0.110255395460436,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0.0025,0,0,0.113513393173969,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0.005,0,0,0.113513393173969,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0.01,0.0344827586206897,0.028369544327927,0.137272460172513,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |",NA
0,0.0625,0.045189432968359,0.138971231441546,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
1e-04,0,0,0.107179198255071,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0.001,0,0,0.107179198255071,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0.0025,0.0625,0.045189432968359,0.138971231441546,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0.005,0,0,0.107179198255071,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0.01,0.0625,0.045189432968359,0.138971231441546,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071",NA
0,0.0625,0.0513806552353575,0.220787375702989,"Any effect except mortality",NA,"131"
0.00125,0.0540540540540541,0.0391030772208964,0.122992489454077,"Any effect except mortality",NA,"131"
0.0025,0.0263157894736842,0.0216552017879154,0.108632971685837,"Any effect except mortality",NA,"131"
0.005,0.102564102564103,0.0619507891174187,0.133224442064463,"Any effect except mortality",NA,"131"
0.01,0.0512820512820513,0.0371040958667771,0.117574349194085,"Any effect except mortality",NA,"131"
0,0.0625,0.0513806552353575,0.220787375702989,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","131"
0.00125,0.027027027027027,0.0222400525750866,0.111213671610278,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","131"
0.0025,0.0263157894736842,0.0216552017879154,0.108632971685837,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","131"
0.005,0.0512820512820513,0.0371040958667771,0.117574349194085,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","131"
0.01,0.0263157894736842,0.0216552017879154,0.108632971685837,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","131"
0,0.0625,0.0513806552353575,0.220787375702989,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","131"
0.00125,0,0,0.0940578258372025,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","131"
0.0025,0.0263157894736842,0.0216552017879154,0.108632971685837,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","131"
0.005,0.0512820512820513,0.0371040958667771,0.117574349194085,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","131"
0.01,0.0263157894736842,0.0216552017879154,0.108632971685837,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","131"
0,0,0,0.193607680534436,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","131"
