Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag
3756,MOV1,quantal_linear,46.076,24.543,303.128,24.61866488400821,0.0,100.0,0.24618664884008212,4,0,0,1
3756,AUC1,log_probit,2.883,2.44,294.593,33.31249037674525,0.0,100.0,0.3331249037674525,3,0,0,1
3758,MOV1,quantal_linear,2.535,1.872,16.677,24.842398961809415,0.0,44.8,0.5545178339689601,2,0,0,0
3758,AUC1,log_probit,6.548,3.479,20.607,24.22360104568113,0.0,44.8,0.5407053804839538,3,0,0,0
3759,MOV1,log_logistic,0.003,NULL,14.441,59.89042432167243,0.0,100.0,0.5989042432167243,3,0,-1,0
3759,AUC1,log_probit,0.039,NULL,170.338,44.54522447655654,0.0,100.0,0.4454522447655654,3,0,-1,1
3760,MOV1,NULL,NULL,NULL,NULL,30.849094504423455,0.0,100.0,0.3084909450442346,1,NULL,NULL,NULL
3760,AUC1,probit,15.474,11.708,73.392,52.85315248348142,0.0,100.0,0.5285315248348142,3,0,0,0
3761,MOV1,NULL,NULL,NULL,NULL,0.13367838044308633,0.0,1.0,0.13367838044308633,1,NULL,NULL,NULL
3761,AUC1,weibull,0.0,NULL,32458689351299.766,0.19779602750190986,0.0,1.0,0.19779602750190986,4,0,-1,1
3762,MOV1,log_logistic,0.0,0.0,58.99,49.332783825651475,0.0,100.0,0.4933278382565148,3,0,-1,0
3762,AUC1,gamma,0.601,NULL,108.734,51.11646022196757,0.0,100.0,0.5111646022196757,4,0,-1,1
3859,MOV1,logistic,10.286,7.963,24.441,66.53961277296064,0.0,100.0,0.6653961277296063,3,0,0,0
3859,AUC1,quantal_linear,4.577,3.211,30.109,63.71665543617978,0.0,100.0,0.6371665543617978,2,0,0,0
