"ZFIN:ZDB-GENE-000112-47","ZDB-GENE-000112-47","ppardb","peroxisome proliferator-activated receptor delta b","D. rerio","Predicted to enable RNA polymerase II cis-regulatory region sequence-specific DNA binding activity and nuclear receptor activity. Predicted to be involved in several processes, including hormone-mediated signaling pathway; negative regulation of inflammatory response; and regulation of transcription by RNA polymerase II. Predicted to act upstream of or within regulation of DNA-templated transcription. Predicted to be located in nucleus. Is expressed in brain; intestine; liver; ovary; and telencephalon. Human ortholog(s) of this gene implicated in type 2 diabetes mellitus. Orthologous to human PPARD (peroxisome proliferator activated receptor delta)."
"ZFIN:ZDB-GENE-000125-12","ZDB-GENE-000125-12","igfbp2a","insulin-like growth factor binding protein 2a","D. rerio","Enables insulin-like growth factor I binding activity and insulin-like growth factor II binding activity. Involved in negative regulation of DNA replication; negative regulation of developmental growth; and regulation of insulin-like growth factor receptor signaling pathway. Acts upstream of or within circulatory system development; negative regulation of cell population proliferation; and regulation of growth. Predicted to be located in extracellular region. Predicted to be active in extracellular space. Is expressed in several structures, including brain; gonad; head; immature eye; and yolk syncytial layer. Human ortholog(s) of this gene implicated in obesity. Orthologous to human IGFBP2 (insulin like growth factor binding protein 2)."
"ZFIN:ZDB-GENE-000125-4","ZDB-GENE-000125-4","dlc","deltaC","D. rerio","Enables PDZ domain binding activity and identical protein binding activity. Acts upstream of or within several processes, including blood vessel development; neuron differentiation; and somite development. Located in perinuclear region of cytoplasm and plasma membrane. Is expressed in several structures, including immature eye; integument; mesoderm; nervous system; and trunk. Human ortholog(s) of this gene implicated in dysostosis and spondylocostal dysostosis 1. Orthologous to human DLL3 (delta like canonical Notch ligand 3)."
"ZFIN:ZDB-GENE-000128-11","ZDB-GENE-000128-11","dbx1b","developing brain homeobox 1b","D. rerio","Predicted to enable DNA binding activity and DNA-binding transcription factor activity, RNA polymerase II-specific. Acts upstream of or within cell differentiation in spinal cord. Predicted to be located in nucleus. Is expressed in several structures, including brain; hindbrain neural plate; neural tube; presumptive diencephalon; and spinal cord neural rod. Orthologous to human DBX1 (developing brain homeobox 1)."
"ZFIN:ZDB-GENE-000128-8","ZDB-GENE-000128-8","dbx1a","developing brain homeobox 1a","D. rerio","Predicted to enable DNA binding activity and DNA-binding transcription factor activity, RNA polymerase II-specific. Acts upstream of or within cell differentiation in spinal cord. Predicted to be located in nucleus. Is expressed in several structures, including axial hypoblast; brain; neural tube; posterior neural rod; and prechordal plate. Orthologous to human DBX1 (developing brain homeobox 1)."
"ZFIN:ZDB-GENE-000201-13","ZDB-GENE-000201-13","anos1b","anosmin 1b","D. rerio","Predicted to enable peptidase inhibitor activity. Acts upstream of or within posterior lateral line neuromast deposition. Predicted to be located in extracellular region. Predicted to be active in cell surface. Is expressed in several structures, including brain; hair cell; sensory system; tail bud; and vertical myoseptum. Human ortholog(s) of this gene implicated in hypogonadotropic hypogonadism 1 with or without anosmia. Orthologous to human ANOS1 (anosmin 1)."
"ZFIN:ZDB-GENE-000201-18","ZDB-GENE-000201-18","pbx4","pre-B-cell leukemia transcription factor 4","D. rerio","Enables DNA binding activity and DNA-binding transcription factor activity. Involved in nervous system development and positive regulation of transcription by RNA polymerase II. Acts upstream of or within several processes, including embryonic morphogenesis; heart development; and regulation of histone modification. Located in nucleus. Orthologous to human PBX4 (PBX homeobox 4)."
"ZFIN:ZDB-GENE-000201-9","ZDB-GENE-000201-9","anos1a","anosmin 1a","D. rerio","Predicted to enable peptidase inhibitor activity. Acts upstream of or within neuron differentiation; olfactory bulb development; and posterior lateral line development. Predicted to be located in extracellular region. Predicted to be active in cell surface. Is expressed in several structures, including digestive system; nervous system; neural tube; otic vesicle; and pleuroperitoneal region. Human ortholog(s) of this gene implicated in hypogonadotropic hypogonadism 1 with or without anosmia. Orthologous to human ANOS1 (anosmin 1)."
"ZFIN:ZDB-GENE-000208-13","ZDB-GENE-000208-13","crestin","crestin","D. rerio","Is expressed in several structures, including ectomesenchyme; head; nervous system; neural crest; and presumptive enteric nervous system."
"ZFIN:ZDB-GENE-000208-17","ZDB-GENE-000208-17","calr3a","calreticulin 3a","D. rerio","Predicted to enable calcium ion binding activity. Predicted to be involved in protein folding and ubiquitin-dependent ERAD pathway. Predicted to be located in endoplasmic reticulum lumen. Predicted to be active in endoplasmic reticulum membrane. Is expressed in several structures, including axis; cardiovascular system; hatching gland; periderm; and polster. Orthologous to human CALR3 (calreticulin 3)."
