,ALL_BUT_MORT,ANY120,ANY24,AXIS,BRN_,CRAN,DP24,EDEM,LTRK,MO24,MORT,MUSC,NC24,NC__,SKIN,SM24,TCHR,TOT_MORT
53,1,,,1,1,1,,1,1,,,1,,,,,1,
54,1,0,0,1,,,,,1,0,0,1,,,,,1,0
56,,1,1,,1,1,,1,,1,,1,,1,,,1,1
57,-1,-1,0,-1,0,-1,0,-1,-1,1,0,0,,,,,0,0
58,0,0,0,0,1,1,,1,0,0,0,,,,,,,0
60,1,1,1,1,1,1,,1,,,1,,,,,,1,1
61,,-1,-1,0,0,0,,0,0,-1,0,0,,0,1,,1,0
62,,0,0,1,,,,,1,0,0,,,1,,,1,0
63,0,0,0,0,,,0,0,,1,0,0,,,,,1,0
64,,,,,,,,,,,,,,,,,,
65,1,,,,,,,1,,,,,,,,,,
66,1,1,1,,1,,1,1,,1,1,,,,,,,1
67,0,0,1,0,0,0,,0,0,1,0,0,,,,,0,0
69,1,1,,1,1,1,1,1,1,,,1,,,,,1,
70,0,0,1,0,0,0,,0,,1,,0,,,,,,1
129,1,0,0,1,1,1,,1,1,0,0,,,,,,,0
155,0,0,1,0,0,0,,0,0,1,0,1,,0,,,0,0
163,1,0,0,1,1,1,,1,1,0,1,1,,,1,,1,1
165,,,0,,,,,,,0,0,,,,,,,0
172,,,,,,,,1,,,,,,,,1,,
176,1,,,,,,1,,,,,,,,,,,
197,1,-1,1,,,,1,,,,1,,,,,,1,1
220,0,0,0,1,,,0,,,0,0,,,,,,1,0
227,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0
246,0,0,0,0,,,0,0,1,1,0,,,,,,0,0
247,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0
248,0,0,0,1,,1,,0,,0,0,,,,,,,0
250,1,,1,1,,,1,,1,1,,,,,,,,
251,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,1,,,,,,1,
281,0,0,0,1,1,1,0,0,1,,1,1,,,,,1,
283,,-1,,-1,,-1,,-1,-1,,0,1,,,,,0,0
285,1,1,,1,1,1,,1,1,,1,1,,1,,,,1
286,,,,,,,,,,,,,,,,,,
295,1,1,,,,,,1,1,,1,,,,,,,
296,,1,,1,,,,,,,1,,,,,,,1
297,,,1,1,1,1,1,1,1,,,1,,,,,1,
332,,,,,1,1,,,,,,1,,,,,,
337,,,,,,,1,,,,,,,,,,,
338,,,,,,,,,,1,,,,,,,,
339,,,,,,1,,1,,,,1,,,1,,1,
342,1,0,0,1,,,1,1,1,,1,1,,,1,,1,1
355,,,,,,,,,,,,,,,,,,
357,0,,,1,1,,1,,,,,,,1,1,,,
360,0,0,1,0,0,0,,0,1,1,1,,,,,,,0
362,0,0,0,0,,0,0,0,0,,0,0,,,1,,0,0
363,1,1,0,,,1,,1,,0,,,,,,,,
365,,-1,-1,,,,,,,-1,0,,,,,,,0
370,,,,,,,,,,,,,,,,,,
373,0,-1,-1,,,,0,,,-1,-1,,,,,1,,-1
380,,,,,,,,,,1,,,,,,,,
381,,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0
384,0,0,1,0,0,0,,0,0,1,0,,,,,,1,0
392,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0
395,,,,,,,,,,,,,,,,,,
396,1,0,0,1,,1,,1,1,0,0,1,,,,,1,0
401,,,,,1,1,,1,,,,,,,1,,,
403,,,0,,,,,,,0,0,,,,,,,0
404,,1,,,1,,,1,,,1,,,,,,,1
406,1,,1,1,,,1,,1,,1,,,,,,1,
409,,1,1,,,,,,,1,,,,,,,,1
412,0,0,,0,0,0,,0,0,,0,0,,,,,,0
413,0,0,,0,0,0,,0,,,,,,,0,,,
414,0,0,1,1,1,0,,0,1,1,,,,,,,1,
415,,,,,,,,,,1,,,,,,,,
416,1,1,1,,,,1,,1,,1,,,,,,,1
417,,,,,,,,,1,,,,,,,,1,
418,1,0,1,1,,1,1,1,,,,,,1,,,,
419,,1,1,,,,,,,1,1,,,,,,,0
420,0,-1,1,,,,1,1,,,,,,,,,,
421,,,,1,,,,,1,,,,,,,,,
441,,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0
447,0,0,1,1,1,0,1,1,1,,0,,,,,,,0
448,1,0,1,1,1,1,,1,,1,,,,,,,1,0
470,0,0,,0,0,0,0,0,0,,,1,,1,0,,1,
471,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0
472,1,0,0,1,1,1,1,1,1,1,0,,,,1,,,0
481,1,1,1,1,,,1,,1,1,1,,,,,,,1
500,-1,0,0,0,0,0,0,0,0,0,0,1,,1,0,,0,0
501,-1,0,0,,0,,0,1,,0,0,,,,,,1,0
502,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0
503,0,0,0,0,0,0,,0,0,0,0,0,,1,0,,0,0
504,0,-1,0,1,0,0,0,0,1,0,0,,,,,,,0
511,-1,0,0,0,0,0,0,0,0,1,0,0,,,1,,0,0
512,1,1,,1,1,1,,1,,1,1,,,,,,,1
513,1,1,1,1,,,,,,1,,,,,,,1,1
514,-1,-1,,1,1,1,,1,1,,0,-1,,,1,,,1
515,,1,1,,,,1,1,,,1,,,,,,,1
517,,,,,,,,,1,,,1,,1,,,1,
557,,0,1,1,1,1,,,1,1,,1,,,1,1,,
560,,,,,1,1,1,,1,,,1,,,1,,1,
581,,,,1,1,1,,,1,,,1,,,,1,1,
585,1,1,1,,,,,,,1,1,,,,,,,1
596,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0
597,,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0
599,0,0,0,,,,0,,,1,0,,,,,,,0
601,0,0,0,,,,0,,,0,0,,,,,,,0
602,0,0,0,0,0,0,0,0,1,0,0,1,,1,0,,0,0
606,,1,1,,,,,,,1,0,,,,,,,0
607,,,,,,,,,,1,1,,,,,,,1
609,1,1,1,,1,1,1,1,,1,,,,,,,,1
618,,,,,,,,,,,,,,,,,,
628,,0,0,,,1,,1,,0,0,,,,,,,0
629,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0
667,0,0,0,0,0,0,0,0,1,1,0,0,,,,,0,0
674,,-1,-1,,,,,,,-1,0,,,,,,,0
689,0,1,,0,0,0,,0,0,,1,0,,,,,,
691,1,0,1,1,0,0,,0,0,1,0,,,,,,,0
694,0,0,0,0,0,0,0,0,0,1,1,1,,,,,1,0
696,1,,,,,,,,,,,,,,,,1,
697,,1,1,,,,,,,1,,,,1,,,,1
702,0,0,1,0,0,0,1,0,0,0,0,0,,,0,,0,0
721,0,0,0,1,0,0,0,0,1,1,1,,,,,,1,0
722,0,0,0,0,1,0,0,0,0,,0,,,,,,,0
740,0,0,0,,,1,0,1,,1,0,,,,,,,0
741,1,0,0,,,,1,,,0,1,,,,,,,0
746,1,0,1,1,1,1,,1,1,1,1,,,1,,,,1
747,0,0,0,0,,0,,0,1,0,0,,,,,,0,0
