Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
53,AXIS,weibull,4507.951,1.89104E+12,0.055627016,1,1
53,NC__,NULL,NULL,NULL,0,NULL,NULL
53,MO24,NULL,NULL,NULL,0.0136875,NULL,NULL
53,DP24,NULL,NULL,NULL,0.063741935,NULL,NULL
53,SM24,NULL,NULL,NULL,0,NULL,NULL
53,MORT,NULL,NULL,NULL,0.016969828,NULL,NULL
54,AXIS,NULL,NULL,NULL,0.040897808,NULL,NULL
54,NC__,NULL,NULL,NULL,0,NULL,NULL
54,MO24,probit,1.803,6.102,0.266375,0,1
54,DP24,NULL,NULL,NULL,0,NULL,NULL
54,SM24,NULL,NULL,NULL,0,NULL,NULL
54,MORT,log_logistic,3.384,5.383,0.116774436,0,1
56,AXIS,NULL,NULL,NULL,0.035475598,NULL,NULL
56,NC__,NULL,NULL,NULL,0.012516129,NULL,NULL
56,MO24,logistic,53.539,80.904,0.0288125,1,1
56,DP24,NULL,NULL,NULL,0,NULL,NULL
56,SM24,NULL,NULL,NULL,0,NULL,NULL
56,MORT,NULL,NULL,NULL,0.0095625,NULL,NULL
57,AXIS,quantal_linear,0.017,0.112,0.630842391,-1,0
57,NC__,NULL,NULL,NULL,0,NULL,NULL
57,MO24,NULL,NULL,NULL,0.0198125,NULL,NULL
57,DP24,log_logistic,0.314,3.1,0.417933468,0,0
57,SM24,NULL,NULL,NULL,0,NULL,NULL
57,MORT,gamma,0.328,0.842,0.759135081,0,0
58,AXIS,logistic,0.645,1.103,0.139621126,0,0
58,NC__,NULL,NULL,NULL,0,NULL,NULL
58,MO24,log_logistic,1.26,2.785,0.4649375,0,0
58,DP24,NULL,NULL,NULL,0,NULL,NULL
58,SM24,NULL,NULL,NULL,0,NULL,NULL
58,MORT,logistic,0.738,1.38,0.114434524,0,1
60,AXIS,NULL,NULL,NULL,0.038749499,NULL,NULL
60,NC__,NULL,NULL,NULL,0,NULL,NULL
60,MO24,log_probit,49.945,55.072,0.02625,0,1
60,DP24,NULL,NULL,NULL,0.0284875,NULL,NULL
60,SM24,NULL,NULL,NULL,0,NULL,NULL
60,MORT,NULL,NULL,NULL,0.041728341,NULL,NULL
61,AXIS,NULL,NULL,NULL,0.051724138,NULL,NULL
61,NC__,NULL,NULL,NULL,0.034482759,NULL,NULL
61,MO24,log_probit,0.061,1.205,0.6075,-1,0
61,DP24,NULL,NULL,NULL,0,NULL,NULL
61,SM24,NULL,NULL,NULL,0,NULL,NULL
61,MORT,logistic,0.229,0.422,0.214945652,0,0
62,AXIS,NULL,NULL,NULL,0.093796526,NULL,NULL
62,NC__,logistic,0.506,0.525,0.025,1,1
62,MO24,log_logistic,0.208,1.013,0.7165625,0,0
62,DP24,NULL,NULL,NULL,0,NULL,NULL
62,SM24,NULL,NULL,NULL,0,NULL,NULL
62,MORT,logistic,0.259,0.521,0.166767857,0,1
63,AXIS,log_logistic,48.481,50.542,0.074733333,0,1
63,NC__,NULL,NULL,NULL,0,NULL,NULL
63,MO24,logistic,58.898,93.107,0.0348125,1,1
63,DP24,log_logistic,22.388,78.31,0.150190457,0,1
63,SM24,NULL,NULL,NULL,0,NULL,NULL
63,MORT,log_logistic,39.157,52.279,0.159421237,0,1
64,AXIS,NULL,NULL,NULL,0.021455242,NULL,NULL
64,NC__,NULL,NULL,NULL,0,NULL,NULL
64,MO24,NULL,NULL,NULL,0.008,NULL,NULL
64,DP24,NULL,NULL,NULL,0,NULL,NULL
64,SM24,NULL,NULL,NULL,0,NULL,NULL
64,MORT,NULL,NULL,NULL,0.003290323,NULL,NULL
65,AXIS,NULL,NULL,NULL,0,NULL,NULL
65,NC__,NULL,NULL,NULL,0,NULL,NULL
65,MO24,NULL,NULL,NULL,0.102,NULL,NULL
65,DP24,NULL,NULL,NULL,0,NULL,NULL
65,SM24,NULL,NULL,NULL,0,NULL,NULL
65,MORT,NULL,NULL,NULL,0.038121511,NULL,NULL
66,AXIS,NULL,NULL,NULL,0.046136425,NULL,NULL
66,NC__,NULL,NULL,NULL,0,NULL,NULL
66,MO24,NULL,NULL,NULL,0.023082661,NULL,NULL
66,DP24,NULL,NULL,NULL,0.030481452,NULL,NULL
66,SM24,NULL,NULL,NULL,0,NULL,NULL
66,MORT,logistic,50.19,50.882,0.0096,1,1
67,AXIS,log_logistic,1.345,9.172,0.175461538,0,1
67,NC__,NULL,NULL,NULL,0,NULL,NULL
67,MO24,NULL,NULL,NULL,0.015625,NULL,NULL
67,DP24,NULL,NULL,NULL,0,NULL,NULL
67,SM24,NULL,NULL,NULL,0,NULL,NULL
67,MORT,log_logistic,2.793,12.4,0.105846774,0,1
69,AXIS,logistic,59.089,93.677,0.0348125,1,1
69,NC__,NULL,NULL,NULL,0,NULL,NULL
69,MO24,NULL,NULL,NULL,0.0035,NULL,NULL
69,DP24,NULL,NULL,NULL,0.01975,NULL,NULL
69,SM24,NULL,NULL,NULL,0,NULL,NULL
69,MORT,NULL,NULL,NULL,0.0095625,NULL,NULL
70,AXIS,probit,3.681,9.901,0.106539651,0,1
70,NC__,NULL,NULL,NULL,0,NULL,NULL
70,MO24,logistic,5.021,5.087,0.009,1,1
70,DP24,NULL,NULL,NULL,0.0124375,NULL,NULL
70,SM24,NULL,NULL,NULL,0,NULL,NULL
70,MORT,NULL,NULL,NULL,0.026125,NULL,NULL
129,AXIS,NULL,NULL,NULL,0.018148148,NULL,NULL
129,NC__,NULL,NULL,NULL,0,NULL,NULL
129,MO24,log_logistic,14.261,80.544,0.2204375,0,1
129,DP24,NULL,NULL,NULL,0,NULL,NULL
129,SM24,NULL,NULL,NULL,0,NULL,NULL
129,MORT,log_logistic,3.172,8.084,0.755399386,0,0
155,AXIS,log_logistic,4.569,17.699,0.557646154,0,0
155,NC__,logistic,48.306,73.573,0.036323077,0,1
155,MO24,NULL,NULL,NULL,0.05175,NULL,NULL
155,DP24,NULL,NULL,NULL,0,NULL,NULL
155,SM24,NULL,NULL,NULL,0,NULL,NULL
155,MORT,log_probit,10.851,4464.971,0.131939977,0,1
163,AXIS,logistic,181.462,321.24,0.035362903,1,1
163,NC__,NULL,NULL,NULL,0,NULL,NULL
163,MO24,probit,67.389,187.572,0.104375,1,1
163,DP24,NULL,NULL,NULL,0,NULL,NULL
163,SM24,NULL,NULL,NULL,0,NULL,NULL
163,MORT,NULL,NULL,NULL,0.119846875,NULL,NULL
165,AXIS,NULL,NULL,NULL,0.000188547,NULL,NULL
165,NC__,NULL,NULL,NULL,0,NULL,NULL
165,MO24,NULL,NULL,NULL,0.168426563,NULL,NULL
165,DP24,NULL,NULL,NULL,0.020018042,NULL,NULL
165,SM24,NULL,NULL,NULL,0,NULL,NULL
165,MORT,NULL,NULL,NULL,0.184192188,NULL,NULL
172,AXIS,NULL,NULL,NULL,0.004714286,NULL,NULL
172,NC__,NULL,NULL,NULL,0,NULL,NULL
172,MO24,NULL,NULL,NULL,0.12009375,NULL,NULL
172,DP24,NULL,NULL,NULL,0.07988834,NULL,NULL
172,SM24,NULL,NULL,NULL,0.019880208,NULL,NULL
172,MORT,NULL,NULL,NULL,0.304078125,NULL,NULL
176,AXIS,NULL,NULL,NULL,0.003685897,NULL,NULL
176,NC__,NULL,NULL,NULL,3.85E-05,NULL,NULL
176,MO24,NULL,NULL,NULL,0.111072329,NULL,NULL
176,DP24,logistic,132.276,222.619,0.033900632,1,1
176,SM24,NULL,NULL,NULL,0,NULL,NULL
176,MORT,NULL,NULL,NULL,0.14291502,NULL,NULL
197,AXIS,NULL,NULL,NULL,1.79E-06,NULL,NULL
