Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
53,MOV1,0,0.071428571,0.051616507,0.155025054
53,MOV1,1,0.34375,0.139645621,0.17313912
53,MOV1,5,0.322580645,0.136886379,0.176009262
53,MOV1,11.2,0.258064516,0.121047457,0.174396842
53,MOV1,35.6,0.35483871,0.143672119,0.17568175
53,MOV1,50,0.387096774,0.14976576,0.17466214
53,AUC1,0,0.142857143,0.08586709,0.172040879
53,AUC1,1,0.09375,0.061348449,0.148431547
53,AUC1,5,0.193548387,0.101678303,0.169254191
53,AUC1,11.2,0.096774194,0.063309549,0.152225191
53,AUC1,35.6,0.096774194,0.063309549,0.152225191
53,AUC1,50,0.225806452,0.111855096,0.172317732
54,MOV1,0,0.038461538,0.031639553,0.150466251
54,MOV1,0.1,0.3,0.133352517,0.178757875
54,MOV1,0.5,0.258064516,0.121047457,0.174396842
54,MOV1,1.12,0.32,0.147948097,0.195897307
54,MOV1,3.56,0.222222222,0.132212941,0.229923621
54,MOV1,5,0.272727273,0.17526668,0.292918028
54,AUC1,0,0.038461538,0.031639553,0.150466251
54,AUC1,0.1,0.3,0.133352517,0.178757875
54,AUC1,0.5,0.258064516,0.121047457,0.174396842
54,AUC1,1.12,0.24,0.125036863,0.194296834
54,AUC1,3.56,0.222222222,0.132212941,0.229923621
54,AUC1,5,0.272727273,0.17526668,0.292918028
56,MOV1,0,0.21875,0.108511637,0.168799936
56,MOV1,1,0.78125,0.168799936,0.108511637
56,MOV1,5,0.806451613,0.169254191,0.101678303
56,MOV1,11.2,0.677419355,0.176009262,0.136886379
56,MOV1,35.6,0.741935484,0.174396842,0.121047457
56,MOV1,50,0.724137931,0.181309255,0.128874518
56,AUC1,0,0.25,0.148179325,0.244983165
56,AUC1,1,0.4375,0.206513476,0.230714436
56,AUC1,5,0.3125,0.170853561,0.243456442
56,AUC1,11.2,0.625,0.238589595,0.190187674
56,AUC1,35.6,0.333333333,0.181570089,0.249531189
56,AUC1,50,0.357142857,0.19369554,0.255212912
57,MOV1,0,0.15625,0.087605797,0.161291496
57,MOV1,0.1,0.5625,0.169244089,0.155846689
57,MOV1,0.5,0.777777778,0.229923621,0.132212941
57,MOV1,1.12,0.714285714,0.355351262,0.203495362
57,AUC1,0,0.28125,0.125604195,0.172495094
57,AUC1,0.1,0.375,0.145661127,0.172455926
57,AUC1,0.5,0.777777778,0.229923621,0.132212941
57,AUC1,1.12,0.857142857,0.370270686,0.117177519
