Chemical_ID,End_Point,X_vals,Y_vals
53,NC24,NULL,NULL
54,NC24,NULL,NULL
56,NC24,NULL,NULL
57,NC24,NULL,NULL
58,NC24,NULL,NULL
60,NC24,NULL,NULL
61,NC24,NULL,NULL
62,NC24,NULL,NULL
63,NC24,NULL,NULL
64,NC24,NULL,NULL
65,NC24,NULL,NULL
66,NC24,NULL,NULL
67,NC24,NULL,NULL
69,NC24,NULL,NULL
70,NC24,NULL,NULL
129,NC24,NULL,NULL
155,NC24,NULL,NULL
163,NC24,NULL,NULL
165,NC24,NULL,NULL
172,NC24,NULL,NULL
176,NC24,NULL,NULL
197,NC24,NULL,NULL
220,NC24,NULL,NULL
227,NC24,NULL,NULL
246,NC24,NULL,NULL
247,NC24,NULL,NULL
248,NC24,NULL,NULL
250,NC24,NULL,NULL
281,NC24,NULL,NULL
283,NC24,NULL,NULL
285,NC24,NULL,NULL
286,NC24,NULL,NULL
295,NC24,NULL,NULL
296,NC24,NULL,NULL
297,NC24,NULL,NULL
332,NC24,NULL,NULL
337,NC24,NULL,NULL
338,NC24,NULL,NULL
339,NC24,NULL,NULL
342,NC24,NULL,NULL
355,NC24,NULL,NULL
357,NC24,NULL,NULL
360,NC24,NULL,NULL
362,NC24,NULL,NULL
363,NC24,NULL,NULL
365,NC24,NULL,NULL
370,NC24,NULL,NULL
373,NC24,NULL,NULL
380,NC24,NULL,NULL
381,NC24,NULL,NULL
384,NC24,NULL,NULL
392,NC24,NULL,NULL
395,NC24,NULL,NULL
396,NC24,NULL,NULL
401,NC24,NULL,NULL
403,NC24,NULL,NULL
404,NC24,NULL,NULL
406,NC24,NULL,NULL
409,NC24,NULL,NULL
412,NC24,NULL,NULL
413,NC24,NULL,NULL
414,NC24,NULL,NULL
415,NC24,NULL,NULL
416,NC24,NULL,NULL
417,NC24,NULL,NULL
419,NC24,NULL,NULL
420,NC24,NULL,NULL
421,NC24,NULL,NULL
441,NC24,NULL,NULL
447,NC24,NULL,NULL
448,NC24,NULL,NULL
470,NC24,NULL,NULL
471,NC24,NULL,NULL
472,NC24,NULL,NULL
481,NC24,NULL,NULL
500,NC24,NULL,NULL
501,NC24,NULL,NULL
502,NC24,NULL,NULL
503,NC24,NULL,NULL
504,NC24,NULL,NULL
511,NC24,NULL,NULL
512,NC24,NULL,NULL
513,NC24,NULL,NULL
514,NC24,NULL,NULL
515,NC24,NULL,NULL
517,NC24,NULL,NULL
557,NC24,NULL,NULL
560,NC24,NULL,NULL
581,NC24,NULL,NULL
585,NC24,NULL,NULL
596,NC24,NULL,NULL
597,NC24,NULL,NULL
599,NC24,NULL,NULL
601,NC24,NULL,NULL
602,NC24,NULL,NULL
606,NC24,NULL,NULL
607,NC24,NULL,NULL
609,NC24,NULL,NULL
618,NC24,NULL,NULL
628,NC24,NULL,NULL
629,NC24,0.0,0.028268768063353936
629,NC24,0.1111111111111111,0.028603273958933202
629,NC24,0.2222222222222222,0.02894162019116747
629,NC24,0.3333333333333333,0.029283848045470923
629,NC24,0.4444444444444444,0.0296299991843878
629,NC24,0.5555555555555556,0.029980115649415603
629,NC24,0.6666666666666666,0.03033423986279335
629,NC24,0.7777777777777777,0.030692414629253328
629,NC24,0.8888888888888888,0.031054683137735014
629,NC24,1.0,0.031421088963059396
629,NC24,1.4444444444444444,0.03292897052531711
629,NC24,1.8888888888888888,0.034506636544307474
629,NC24,2.333333333333333,0.036157064317635455
629,NC24,2.7777777777777777,0.03788333352917479
629,NC24,3.2222222222222223,0.039688627305334775
629,NC24,3.6666666666666665,0.04157623299794605
629,NC24,4.111111111111111,0.043549542658444504
629,NC24,4.555555555555555,0.04561205316552482
629,NC24,5.0,0.047767365965894294
629,NC24,5.688888888888889,0.05130019954728026
629,NC24,6.377777777777777,0.0550792051696616
629,NC24,7.066666666666666,0.05911924203741428
629,NC24,7.755555555555555,0.0634357199647324
629,NC24,8.444444444444443,0.06804456489184643
629,NC24,9.133333333333333,0.0729621736501813
629,NC24,9.822222222222221,0.07820535670963352
629,NC24,10.51111111111111,0.08379126762197449
629,NC24,11.2,0.08973731788497914
629,NC24,13.911111111111111,0.11697285641402795
629,NC24,16.62222222222222,0.15110230548028206
629,NC24,19.333333333333332,0.19301314677633327
629,NC24,22.044444444444444,0.2432180880032339
629,NC24,24.755555555555556,0.3016013169193732
629,NC24,27.466666666666665,0.36719909831510017
629,NC24,30.177777777777777,0.4381141653793762
629,NC24,32.888888888888886,0.5116512199504594
629,NC24,35.6,0.5846873855485085
629,NC24,37.2,0.6263054385297095
629,NC24,38.800000000000004,0.6661344107529068
629,NC24,40.4,0.7037264593531148
629,NC24,42.0,0.7387458322585636
629,NC24,43.6,0.7709730550131378
629,NC24,45.2,0.8002995111465471
629,NC24,46.8,0.8267147955974253
629,NC24,48.4,0.8502896393911443
629,NC24,50.0,0.8711570600320744
674,NC24,NULL,NULL
689,NC24,NULL,NULL
691,NC24,NULL,NULL
694,NC24,NULL,NULL
696,NC24,NULL,NULL
697,NC24,NULL,NULL
702,NC24,NULL,NULL
721,NC24,NULL,NULL
722,NC24,NULL,NULL
740,NC24,NULL,NULL
741,NC24,NULL,NULL
746,NC24,NULL,NULL
747,NC24,NULL,NULL
768,NC24,NULL,NULL
769,NC24,NULL,NULL
770,NC24,NULL,NULL
771,NC24,NULL,NULL
774,NC24,NULL,NULL
775,NC24,NULL,NULL
776,NC24,NULL,NULL
777,NC24,NULL,NULL
778,NC24,NULL,NULL
946,NC24,NULL,NULL
947,NC24,NULL,NULL
948,NC24,NULL,NULL
949,NC24,NULL,NULL
951,NC24,NULL,NULL
952,NC24,NULL,NULL
961,NC24,NULL,NULL
965,NC24,NULL,NULL
966,NC24,NULL,NULL
998,NC24,NULL,NULL
1030,NC24,NULL,NULL
1031,NC24,0.0,0.0009167762598736372
1031,NC24,0.1111111111111111,0.0009247701568077924
1031,NC24,0.2222222222222222,0.0009328336920233791
1031,NC24,0.3333333333333333,0.000940967471029591
1031,NC24,0.4444444444444444,0.000949172104580598
1031,NC24,0.5555555555555556,0.0009574482087206296
1031,NC24,0.6666666666666666,0.0009657964048294378
1031,NC24,0.7777777777777777,0.0009742173196681421
1031,NC24,0.8888888888888888,0.0009827115854254725
1031,NC24,1.0,0.0009912798397643894
1031,NC24,1.4444444444444444,0.001026305690437659
1031,NC24,1.8888888888888888,0.001062567827075474
1031,NC24,2.333333333333333,0.0011001097914473059
1031,NC24,2.7777777777777777,0.0011389766520496112
1031,NC24,3.2222222222222223,0.0011792150571486135
1031,NC24,3.6666666666666665,0.0012208732896306553
1031,NC24,4.111111111111111,0.0012640013237191633
1031,NC24,4.555555555555555,0.0013086508836190084
1031,NC24,5.0,0.0013548755041508228
1031,NC24,5.688888888888889,0.0014297665761941751
1031,NC24,6.377777777777777,0.00150879101610695
1031,NC24,7.066666666666666,0.0015921762412344988
1031,NC24,7.755555555555555,0.0016801621007207156
1031,NC24,8.444444444444443,0.001773001545927525
1031,NC24,9.133333333333333,0.0018709613359645
1031,NC24,9.822222222222221,0.0019743227800475124
1031,NC24,10.51111111111111,0.0020833825184754383
1031,NC24,11.2,0.002198453344085175
1031,NC24,13.911111111111111,0.002716286133444911
1031,NC24,16.62222222222222,0.003355681196243642
1031,NC24,19.333333333333332,0.0041449599028463
1031,NC24,22.044444444444444,0.005118928754659879
1031,NC24,24.755555555555556,0.006320305073239827
1031,NC24,27.466666666666665,0.007801424939060445
1031,NC24,30.177777777777777,0.009626272584831527
1031,NC24,32.888888888888886,0.01187286633709775
1031,NC24,35.6,0.014636025014034536
1031,NC24,37.2,0.016554694035402506
1031,NC24,38.800000000000004,0.01872010717210157
1031,NC24,40.4,0.021162668988270055
1031,NC24,42.0,0.023916163839600744
1031,NC24,43.6,0.027018029760219938
