"LocationName" "End Points" "Chemicals" "Number of samples"
"Columbia River Downstream" 108 150 6
"Columbia River Upstream" 90 114 5
"Grand Isle, Louisiana" 144 167 8
"Gulf Seal No. 253 Henry Company" 54 79 3
"Gulf Shores, Alabama" 126 161 8
"Gulfport, Mississippi" 108 132 6
"Henry Seal No. 532, Henry Company" 54 42 3
"Johnson Creek" 18 46 2
"McCormick and Baxter" 108 161 6
"None" 252 0 14
"Pensacola, Florida" 72 72 7
"Railroad Bridge" 198 237 11
"RM 1 NW" 18 47 2
"RM 11E" 36 56 3
"RM Eight West" 108 151 6
"Sauvie East" 108 152 6
"Sauvie West" 144 224 8
"St. John's Bridge" 90 140 6
"Steel Pipe" 90 102 6
"Synthetic Lab-derived" 54 16 5
"Tarconite Neyra Industries Inc." 72 93 4
"Wyckoff Co. Eagle Harbor" 108 139 6
NA 0 308 NA
