"","chem_lims_num","zaap_cid","zf_lims_id"
"1","10OCT18-03-001","1865","10OCT18-03-005"
"2","10OCT18-03-004","2072","10OCT18-03-008"
"3","A110067","2071","A110071"
"4","A110069","1008","A110073"
"5","A110070","1864","A110074"
"6","A110141","2072","A110145"
"7","A110143","1009","A110147"
"8","A110286","2071","A110290"
"9","A110287","2236","A110291"
"10","A110288","1008","A110292"
"11","A110289","1864","A110293"
"12","10JUL11-01-001","1841","10JUL11-01-009"
"13","10JUL11-01-003","1004","10JUL11-01-011"
"14","10JUL11-01-005","2235","10JUL11-01-013"
"15","10JUL11-01-007","2066","10JUL11-01-015"
"16","None","None",NA
"17","C26650","2509","C26650"
"18","A090057","1456","A090058"
"19","A090001","1427","A090002"
"20","A090059","1458","A090060"
"21","A090003","1429","A090004"
"22","A090081","2791","A090082"
"23","A090025","2793","A090026"
"24","A090063","2794","A090064"
"25","A090007","2795","A090008"
"26","A090061","2805","A090062"
"27","A090005","2797","A090006_A"
"28","A090065","2800","A090066"
"29","A090009","2799","A090010"
"30","A090069","2802","A090070"
"31","A090013","2803","A090014"
"32","A090071","2805","A090076"
"33","A090072","2805","A090077"
"34","A090073","2805","A090078_B"
"35","A090074","2805","A090079"
"36","A090075","2805","A090080"
"37","A090017","2806","A090020"
"38","A090018","2806","A090021"
"39","A090019","2806","A090023"
"40","A090019","2806","A090024_A"
"41","A090067","2808","A090068_B"
"42","A090011","2809","A090012_A"
"43","10OCT28-01-001","1431","10OCT28-01-012"
"44","10JUL29-01-001","1426","10JUL29-01-014"
"45","10SEP02-01-001","1431","10SEP02-01-012"
"46","10SEP30-01-001","1431","10SEP30-01-012"
"47","10OCT28-01-002","1432","10OCT28-01-015"
"48","10JUL29-01-002","1428","10JUL29-01-015"
"49","10SEP02-01-002","1431","10SEP02-01-015"
"50","10SEP30-01-002","1432","10SEP30-01-015"
"51","10OCT28-01-014","2792","10OCT28-01-021"
"52","10JUL29-01-013","177","10JUL29-01-022"
"53","10SEP02-01-014","2792","10SEP02-01-021"
"54","10OCT28-01-004","2796","10OCT28-01-017"
"55","10JUL29-01-004","452","10JUL29-01-017"
"56","10SEP02-01-004","2796","10SEP02-01-017"
"57","10SEP30-01-004","2796","10SEP30-01-017"
"58","10OCT28-01-003","2798","10OCT28-01-016"
"59","10JUL29-01-003","177","10JUL29-01-016"
"60","10SEP02-01-003","2798","10SEP02-01-016_A"
"61","10SEP30-01-003","2798","10SEP30-01-016"
"62","10JUL29-01-005","669","10JUL29-01-018_B"
"63","10SEP30-01-039","2801","10SEP30-01-019"
"64","10OCT28-01-005","2804","10OCT28-01-018"
"65","10JUL29-01-006","719","10JUL29-01-019"
"66","10SEP02-01-005","2804","10SEP02-01-018"
"67","10SEP30-01-005","2804","10SEP30-01-018"
"68","10OCT28-01-006","2807","10OCT28-01-019"
"69","10JUL29-01-007","723","10JUL29-01-020"
"70","10SEP02-01-006","2807","10SEP02-01-019"
"71","10OCT28-01-013","2810","10OCT28-01-020"
"72","10JUL29-01-012","744","10JUL29-01-021"
"73","10SEP02-01-013","2810","10SEP02-01-020"
"74","10SEP30-01-013","2810","10SEP30-01-020"
"75","A130485","793","P21442"
"76","A130475","792","P15932"
"77","A130502","794","P14182"
"78","A130527","796","P61398"
"79","A130512","795","P26408"
"80","A140385","799","P69352"
"81","A140386","800","P64678"
"82","A140383","797","P99596"
"83","A140384","798","P84353"
"84","A150260","None","P71211"
"85","A150396","None","P44393"
"86","A160139","None","P09614"
"87","A160140","None","P43917"
"88","A160141","None","P43052"
"89","10MAY17-01-001","1841","10MAY17-01-009"
"90","10MAY17-01-003","1004","10MAY17-01-011"
"91","10MAY17-01-005","2235","10MAY17-01-013"
"92","10MAY17-01-007","2066","10MAY17-01-015"
"93","10JUN13-01-001","1841","10JUN13-01-009"
"94","10JUN13-01-003","1004","10JUN13-01-011"
"95","10JUN13-01-005","2235","10JUN13-01-013"
"96","10JUN13-01-007","2066","10JUN13-01-015"
"97","10AUG09-01-003","1004","10AUG09-01-011"
"98","10AUG09-01-005","2235","10AUG09-01-013"
"99","10SEP11-01-001","1431","10SEP11-01-009"
"100","10SEP11-01-003","1004","10SEP11-01-011"
"101","10SEP11-01-005","2235","10SEP11-01-013"
"102","10SEP11-01-007","2066","10SEP11-01-015"
"103","C51699","101","C51699"
"104","C70813","102","C70813"
"105","C85449","103","C85449"
"106","C27391","1035","C27391"
"107","C79877","1036","C79877"
"108","C22472","1037","C22472"
"109","C39886","1038","C39886"
"110","C58694","1514","C58694"
"111","C31199","1515","C31199"
"112","C49039","1516","C49039"
"113","C57488","1517","C57488"
"114","C85418","1518","C85418"
"115","C67584","1519","C67584"
"116","C02470","1520","C02470"
"117","C08657","1521","C08657"
"118","C93545","2915","C93545"
"119","C18372","2917","C18372"
"120","C82136","2921","C82136"
"121","C34463","2918","C34463"
"122","C415033","3322","C415033"
"123","C189231","3325","C189231"
"124","C106563","3324","C106563"
"125","C20559","3326","C20559"
"126","C302146","3330","C302146"
"127","C564451","3331","C564451"
