"bottle_id","chemical_name","chemical_id","casrn","project_name","hasZFData","hasSampleData"
"10AUG09-01-011","AL-LFT-W-BLK",1004,NA,"Deepwater Horizon",FALSE,TRUE
"10JUL11-01-011","AL-LFT-W-BLK",1004,NA,"Deepwater Horizon",FALSE,TRUE
"10JUL11-01-012","AL-LFT-A-BLK",1003,NA,"Deepwater Horizon",FALSE,FALSE
"10JUL11-01-013","MS-LFT-W-BLK",2235,NA,"Deepwater Horizon",FALSE,TRUE
"10JUL11-01-014","MS-LFT-A-BLK",2234,NA,"Deepwater Horizon",FALSE,FALSE
"10JUL11-01-015","LA-LFT-W-BLK",2066,NA,"Deepwater Horizon",FALSE,TRUE
"10JUL11-01-016","LA-LFT-A-BLK",2065,NA,"Deepwater Horizon",FALSE,FALSE
"10JUL14-01-001","SAQMS-Air-B",2832,NA,"Deepwater Horizon",FALSE,FALSE
"A110071","LA-Water-Blank",2071,NA,"Deepwater Horizon",FALSE,TRUE
"A110073","AL-Water-Blank",1008,NA,"Deepwater Horizon",FALSE,TRUE
"A110074","FL-Water-Blank",1864,NA,"Deepwater Horizon",FALSE,TRUE
"A110145","LA-W-B",2072,NA,"Deepwater Horizon",FALSE,TRUE
"A110146","MS-W-B",2237,NA,"Deepwater Horizon",FALSE,FALSE
"A110147","AL-W-B",1009,NA,"Deepwater Horizon",FALSE,TRUE
"A110165","LFT-A-Blk",2083,NA,"Deepwater Horizon",FALSE,FALSE
"10JUL14-01-002","SAQCC-Air-B",2830,NA,"Deepwater Horizon",FALSE,FALSE
"A110166","LFT-A-Blk",2083,NA,"Deepwater Horizon",FALSE,FALSE
"A110290","LA-Water-Blank",2071,NA,"Deepwater Horizon",FALSE,TRUE
"A110291","MS-Water-Blank",2236,NA,"Deepwater Horizon",FALSE,TRUE
"A110292","AL-Water-Blank",1008,NA,"Deepwater Horizon",FALSE,TRUE
"A110293","FL-Water-Blank",1864,NA,"Deepwater Horizon",FALSE,TRUE
"10AUG09-01-013","MS-LFT-W-BLK",2235,NA,"Deepwater Horizon",FALSE,TRUE
"10JUN13-01-009","FL-LFT-W-BLK",1841,NA,"Deepwater Horizon",FALSE,TRUE
"10JUN13-01-011","AL-LFT-W-BLK",1004,NA,"Deepwater Horizon",FALSE,TRUE
"10AUG16-01-001","SAQMS-B-A",2833,NA,"Deepwater Horizon",FALSE,FALSE
"10JUN13-01-013","MS-LFT-W-BLK",2235,NA,"Deepwater Horizon",FALSE,TRUE
"10JUN13-01-015","LA-LFT-W-BLK",2066,NA,"Deepwater Horizon",FALSE,TRUE
"10MAY17-01-009","FL-LFT-W-BLK",1841,NA,"Deepwater Horizon",FALSE,TRUE
"10MAY17-01-011","AL-LFT-W-BLK",1004,NA,"Deepwater Horizon",FALSE,TRUE
"10MAY17-01-013","MS-LFT-W-BLK",2235,NA,"Deepwater Horizon",FALSE,TRUE
"10MAY17-01-015","LA-LFT-W-BLK",2066,NA,"Deepwater Horizon",FALSE,TRUE
"10OCT18-03-005","FL-W-B",1865,NA,"Deepwater Horizon",FALSE,TRUE
"10OCT18-03-008","LA-W-B",2072,NA,"Deepwater Horizon",FALSE,TRUE
"10AUG16-01-002","SAQCC-B-A",2831,NA,"Deepwater Horizon",FALSE,FALSE
"10SEP11-01-009","FL-LFT-W-BLK",1841,NA,"Deepwater Horizon",FALSE,TRUE
"10SEP11-01-011","AL-LFT-W-BLK",1004,NA,"Deepwater Horizon",FALSE,TRUE
"10SEP11-01-013","MS-LFT-W-BLK",2235,NA,"Deepwater Horizon",FALSE,TRUE
"10SEP11-01-015","LA-LFT-W-BLK",2066,NA,"Deepwater Horizon",FALSE,TRUE
"11FEB14-02-006","MS-Blk-Air",2232,NA,"Deepwater Horizon",FALSE,FALSE
"11JAN14-01-001","SAQMS-B-A",2833,NA,"Deepwater Horizon",FALSE,FALSE
"11JAN14-01-002","SAQCC-B-A",2831,NA,"Deepwater Horizon",FALSE,FALSE
"10JUL11-01-009","FL-LFT-W-BLK",1841,NA,"Deepwater Horizon",FALSE,TRUE
"10JUL11-01-010","FL-LFT-A-BLK",1840,NA,"Deepwater Horizon",FALSE,FALSE
"P09614","A160139",889,NA,"FSES Laboratory",FALSE,FALSE
"P43052","A160141",891,NA,"FSES Laboratory",FALSE,FALSE
"P43917","A160140",890,NA,"FSES Laboratory",FALSE,FALSE
"P44393","A150396",858,NA,"FSES Laboratory",FALSE,FALSE
