condition	CASNO	Concentration	Species 
Comp_FRC_DMSO_FRC_v_TPP_FRC	917-23-7	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TiBP_FRC	126-71-6	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TDBPP_FRC	126-72-7	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TCPP_FRC	13674-84-5	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TCEP_FRC	51805-45-9	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TBPH_FRC	14518-69-5	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TBBPA_FRC	79-94-7	1	Zebrafish
Comp_FRC_DMSO_FRC_v_TBBPA.DBPE_FRC	21850-44-2	1	Zebrafish
Comp_FRC_DMSO_FRC_v_IPP_FRC	41270-96-6	1	Zebrafish
Comp_FRC_DMSO_FRC_v_BDE.47_FRC	1163-19-5	1	Zebrafish
Comp_DMSO_TCDD_v_TCDD_TCDD	1746-01-6	1	Zebrafish
Comp_DMSO_PE50_BG_v_X10.uM.Benzanthrone_PE50_BG	82-05-3	10	Zebrafish
Comp_DMSO_PE50_BG_v_X10.uM.Benz.a.anthracene.7.12.dione_PE50_BG	2498-66-0	10	Zebrafish
Comp_DMSO_PE50_BG_v_X1.2.uM.Phenanthrene.quinone_PE50_BG	84-11-7	1.2	Zebrafish
Comp_DMSO_PE50_AK_v_X10.uM.Dibenzo.a.l..pyrene_PE50_AK	191-30-0	10	Zebrafish
Comp_DMSO_PE50_AK_v_X10.uM.Benzo.a.pyrene_PE50_AK	50-32-8	10	Zebrafish
Comp_DMSO_PE50_AK_v_X1.uM.Benzo.a.pyrene_PE50_AK	50-32-8	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_X9.MA_16PAH	108-31-6	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_X4H.CPdefP_16PAH	Unknown	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_X3.NF_16PAH	11138-66-2	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_X2.MN_16PAH	7439-96-5	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_X1.5.DMN_16PAH	581-42-0	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_Carbazole_16PAH	86-74-8	1	Zebrafish
Comp_16PAH_DMSO_B_16PAH_v_Anthrac_16PAH	120-12-7	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_Retene_16PAH	483-65-8	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_Phenan_16PAH	66-71-7	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_Fluoran_16PAH	34372-72-0	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_DBaiP_16PAH	84-74-2	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_DBahP_16PAH	75-91-2	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_BkF_16PAH	119-47-1	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_BjF_16PAH	205-82-3	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_BbF_16PAH	205-99-2	1	Zebrafish
Comp_16PAH_DMSO_A_16PAH_v_Acenaph_16PAH	83-32-9	1	Zebrafish
