chemical.id,conc,endpoint,num.tot,num.nonna,num.affected
53,0,MOV1,32,32,4
53,1,MOV1,32,32,8
53,5,MOV1,32,32,6
53,11.2,MOV1,32,32,4
53,35.6,MOV1,32,32,6
53,50,MOV1,32,32,7
54,0,MOV1,32,32,1
54,0.1,MOV1,32,32,3
54,0.5,MOV1,32,32,5
54,1.12,MOV1,32,32,8
54,3.56,MOV1,32,32,2
54,5,MOV1,32,32,3
56,0,MOV1,32,32,11
56,1,MOV1,32,32,19
56,5,MOV1,32,32,17
56,11.2,MOV1,32,32,13
56,35.6,MOV1,32,32,14
56,50,MOV1,32,32,14
57,0,MOV1,32,32,11
57,0.1,MOV1,32,32,12
57,0.5,MOV1,26,26,3
57,1.12,MOV1,23,23,0
57,3.56,MOV1,32,32,0
57,5,MOV1,32,32,1
58,0,MOV1,32,32,6
58,0.1,MOV1,32,32,4
58,0.5,MOV1,32,32,1
58,1.12,MOV1,32,32,3
58,3.56,MOV1,32,32,0
58,5,MOV1,32,32,0
60,0,MOV1,32,32,5
60,1,MOV1,32,32,6
60,5,MOV1,32,32,6
60,11.2,MOV1,32,32,5
60,35.6,MOV1,32,32,9
60,50,MOV1,32,32,6
61,0,MOV1,32,32,10
61,0.1,MOV1,32,32,7
61,0.5,MOV1,32,32,1
61,1.12,MOV1,32,32,0
61,3.56,MOV1,32,32,0
61,5,MOV1,32,32,0
62,0,MOV1,32,32,7
62,0.1,MOV1,32,32,5
62,0.5,MOV1,32,32,3
62,1.12,MOV1,32,32,0
62,3.56,MOV1,32,32,0
62,5,MOV1,32,32,0
63,0,MOV1,32,32,10
63,1,MOV1,32,32,13
63,5,MOV1,32,32,10
63,11.2,MOV1,32,32,10
63,35.6,MOV1,32,32,9
63,50,MOV1,32,32,2
64,0,MOV1,32,32,11
64,1,MOV1,32,32,9
64,5,MOV1,32,32,13
64,11.2,MOV1,32,32,10
64,35.6,MOV1,32,32,8
64,50,MOV1,32,32,7
65,0,MOV1,32,32,11
65,1,MOV1,32,32,16
65,5,MOV1,32,32,11
65,11.2,MOV1,32,32,19
65,35.6,MOV1,32,32,11
65,50,MOV1,32,32,11
66,0,MOV1,32,32,6
66,1,MOV1,32,32,5
66,5,MOV1,32,32,5
66,11.2,MOV1,32,32,6
66,35.6,MOV1,32,32,3
66,50,MOV1,32,32,0
67,0,MOV1,32,32,4
67,0.1,MOV1,32,32,6
67,0.5,MOV1,32,32,5
67,1.12,MOV1,32,32,15
67,3.56,MOV1,32,32,8
67,5,MOV1,32,32,8
69,0,MOV1,32,32,11
69,1,MOV1,32,32,12
69,5,MOV1,32,32,9
69,11.2,MOV1,32,32,12
69,35.6,MOV1,32,32,13
69,50,MOV1,32,32,8
70,0,MOV1,32,32,6
70,0.1,MOV1,32,32,8
70,0.5,MOV1,32,32,13
70,1.12,MOV1,32,32,19
70,3.56,MOV1,32,32,15
70,5,MOV1,32,32,13
129,0,MOV1,32,32,6
129,1,MOV1,32,32,4
129,5,MOV1,32,32,7
129,11.2,MOV1,32,32,1
129,35.6,MOV1,32,32,0
129,50,MOV1,32,32,0
155,0,MOV1,32,32,15
155,1,MOV1,32,32,14
155,5,MOV1,32,32,15
155,11.2,MOV1,32,32,8
155,35.6,MOV1,32,32,10
155,50,MOV1,32,32,8
220,0,MOV1,36,36,5
220,0.5,MOV1,36,36,4
220,1,MOV1,36,36,6
220,2,MOV1,36,36,4
220,4.5,MOV1,36,36,5
220,9,MOV1,36,36,0
220,18,MOV1,36,36,0
220,34,MOV1,36,36,0
227,0,MOV1,32,32,11
227,1,MOV1,32,32,19
227,5,MOV1,32,32,1
227,11.2,MOV1,32,32,0
227,35.6,MOV1,32,32,0
227,50,MOV1,32,32,0
234,0,MOV1,36,36,15
234,1,MOV1,36,36,21
234,2,MOV1,36,36,17
234,4.5,MOV1,36,36,10
234,9,MOV1,36,36,18
234,18,MOV1,36,36,20
234,34,MOV1,36,36,17
234,67,MOV1,36,36,15
246,0,MOV1,32,32,8
246,1,MOV1,32,32,7
246,5,MOV1,32,32,5
246,11.2,MOV1,32,32,8
246,35.6,MOV1,32,32,9
246,50,MOV1,32,32,0
247,0,MOV1,32,32,9
247,1,MOV1,32,32,8
247,5,MOV1,32,32,7
247,11.2,MOV1,32,32,2
247,35.6,MOV1,32,32,0
247,50,MOV1,32,32,0
248,0,MOV1,32,32,11
248,1,MOV1,32,32,8
248,5,MOV1,32,32,5
248,11.2,MOV1,32,32,0
248,35.6,MOV1,32,32,0
248,50,MOV1,32,32,0
250,0,MOV1,32,32,9
250,1,MOV1,32,32,14
250,5,MOV1,32,32,8
250,11.2,MOV1,32,32,9
250,35.6,MOV1,32,32,19
250,50,MOV1,32,32,12
251,0,MOV1,32,32,11
251,1,MOV1,32,32,15
251,5,MOV1,32,32,17
251,11.2,MOV1,32,32,12
251,35.6,MOV1,32,32,15
251,50,MOV1,32,32,9
252,0,MOV1,32,32,8
252,1,MOV1,32,32,11
252,5,MOV1,32,32,10
252,11.2,MOV1,32,32,9
252,35.6,MOV1,32,32,9
252,50,MOV1,32,32,4
275,0,MOV1,36,36,1
275,1,MOV1,36,36,3
275,2,MOV1,36,36,2
275,4.5,MOV1,36,36,0
275,9,MOV1,36,36,2
275,18,MOV1,36,36,0
275,34,MOV1,36,36,1
275,67,MOV1,36,36,0
280,0,MOV1,36,36,6
280,0.5,MOV1,36,36,9
280,1,MOV1,36,36,12
280,2,MOV1,36,36,9
280,4.5,MOV1,36,36,6
280,9,MOV1,36,36,0
280,18,MOV1,36,36,0
280,34,MOV1,36,36,0
281,0,MOV1,64,64,5
281,0.1,MOV1,32,32,1
281,0.5,MOV1,32,32,3
281,1,MOV1,32,32,3
281,5,MOV1,32,32,0
281,25,MOV1,64,64,4
281,33.4,MOV1,32,32,7
281,44.7,MOV1,32,32,4
281,59.8,MOV1,32,32,6
281,80,MOV1,32,32,4
283,0,MOV1,36,36,3
283,0.0156,MOV1,36,36,12
283,0.0313,MOV1,36,36,9
283,0.0625,MOV1,36,36,3
283,0.125,MOV1,36,36,2
283,0.25,MOV1,36,36,1
283,0.5,MOV1,36,36,0
283,1,MOV1,36,36,0
285,0,MOV1,32,32,13
285,1,MOV1,32,32,15
285,5,MOV1,32,32,16
285,11.2,MOV1,32,32,14
285,35.6,MOV1,32,32,18
285,50,MOV1,32,32,17
286,0,MOV1,32,32,6
286,1,MOV1,32,32,9
286,5,MOV1,32,32,10
286,11.2,MOV1,32,32,6
286,35.6,MOV1,32,32,11
286,50,MOV1,32,32,8
295,0,MOV1,32,32,8
295,1,MOV1,32,32,7
295,5,MOV1,32,32,8
295,11.2,MOV1,32,32,11
295,35.6,MOV1,32,32,9
295,50,MOV1,32,32,9
296,0,MOV1,32,32,12
296,1,MOV1,32,32,18
296,5,MOV1,32,32,15
296,11.2,MOV1,32,32,18
296,35.6,MOV1,32,32,18
296,50,MOV1,32,32,18
297,0,MOV1,32,32,7
297,0.1,MOV1,32,32,4
297,0.5,MOV1,32,32,3
297,1.12,MOV1,32,32,9
297,3.56,MOV1,32,32,7
297,5,MOV1,32,32,8
360,0,MOV1,32,32,6
360,1,MOV1,32,32,7
360,5,MOV1,32,32,8
360,11.2,MOV1,32,32,11
360,35.6,MOV1,32,32,5
360,50,MOV1,32,32,6
365,0,MOV1,32,32,17
365,1,MOV1,32,32,10
365,5,MOV1,32,32,0
365,11.2,MOV1,32,32,0
365,35.6,MOV1,32,32,0
365,50,MOV1,32,32,0
381,0,MOV1,32,32,5
381,1,MOV1,32,32,2
381,5,MOV1,32,32,6
381,11.2,MOV1,32,32,0
381,35.6,MOV1,32,32,0
381,50,MOV1,32,32,0
384,0,MOV1,36,36,9
384,1,MOV1,36,36,4
384,2,MOV1,36,36,9
384,4.5,MOV1,36,36,9
384,9,MOV1,36,36,6
384,18,MOV1,36,36,8
384,34,MOV1,36,36,6
384,67,MOV1,36,36,0
385,0,MOV1,36,36,4
385,1,MOV1,36,36,1
385,2,MOV1,36,36,3
385,4.5,MOV1,36,36,1
385,9,MOV1,36,36,0
385,18,MOV1,36,36,1
385,34,MOV1,36,36,3
385,67,MOV1,36,36,0
392,0,MOV1,32,32,9
392,1,MOV1,32,32,8
392,5,MOV1,32,32,9
392,11.2,MOV1,32,32,9
392,35.6,MOV1,32,32,0
392,50,MOV1,32,32,0
397,0,MOV1,36,36,12
397,1,MOV1,36,36,12
397,2,MOV1,36,36,15
397,4.5,MOV1,36,36,14
397,9,MOV1,36,36,15
397,18,MOV1,36,36,11
397,34,MOV1,36,36,10
397,67,MOV1,36,36,17
404,0,MOV1,32,32,2
404,1,MOV1,32,32,5
404,5,MOV1,32,32,6
404,11.2,MOV1,32,32,8
404,35.6,MOV1,32,32,3
404,50,MOV1,32,32,6
406,0,MOV1,32,32,12
406,1,MOV1,32,32,12
406,5,MOV1,32,32,10
406,11.2,MOV1,32,32,9
406,35.6,MOV1,32,32,13
406,50,MOV1,32,32,12
409,0,MOV1,32,32,4
409,1,MOV1,32,32,8
409,5,MOV1,32,32,7
409,11.2,MOV1,32,32,8
409,35.6,MOV1,32,32,10
409,50,MOV1,32,32,5
412,0,MOV1,32,32,13
412,1,MOV1,32,32,17
412,5,MOV1,32,32,18
412,11.2,MOV1,32,32,18
412,35.6,MOV1,32,32,13
412,50,MOV1,32,32,11
414,0,MOV1,32,32,2
414,1,MOV1,32,32,5
414,5,MOV1,32,32,1
414,11.2,MOV1,32,32,6
414,35.6,MOV1,32,32,7
414,50,MOV1,32,32,15
415,0,MOV1,32,32,6
415,1,MOV1,32,32,11
415,5,MOV1,32,32,10
415,11.2,MOV1,32,32,11
415,35.6,MOV1,32,32,11
415,50,MOV1,32,32,9
416,0,MOV1,32,32,4
416,0.1,MOV1,32,32,4
416,0.5,MOV1,32,32,6
416,1.12,MOV1,32,32,5
416,3.56,MOV1,32,32,3
416,5,MOV1,32,32,5
417,0,MOV1,32,32,11
417,1,MOV1,32,32,13
417,5,MOV1,32,32,12
417,11.2,MOV1,32,32,10
417,35.6,MOV1,32,32,15
417,50,MOV1,32,32,10
418,0,MOV1,32,32,3
418,0.1,MOV1,32,32,4
418,0.5,MOV1,32,32,4
418,1.12,MOV1,32,32,8
418,3.56,MOV1,32,32,12
418,5,MOV1,32,32,7
419,0,MOV1,32,32,17
419,1,MOV1,32,32,16
419,5,MOV1,32,32,14
419,11.2,MOV1,32,32,18
419,35.6,MOV1,32,32,11
419,50,MOV1,32,32,14
420,0,MOV1,32,32,6
420,1,MOV1,32,32,11
420,5,MOV1,32,32,11
420,11.2,MOV1,32,32,9
420,35.6,MOV1,32,32,4
420,50,MOV1,32,32,9
441,0,MOV1,36,36,4
441,1,MOV1,36,36,5
441,2,MOV1,36,36,3
441,4.5,MOV1,36,36,1
441,9,MOV1,36,36,0
441,18,MOV1,36,36,0
441,34,MOV1,36,36,0
441,67,MOV1,36,36,0
443,0,MOV1,36,36,0
443,1,MOV1,36,36,1
443,2,MOV1,36,36,0
443,4.5,MOV1,36,36,4
443,9,MOV1,36,36,0
443,18,MOV1,36,36,0
443,34,MOV1,36,36,3
443,67,MOV1,36,36,2
447,0,MOV1,32,32,2
447,1,MOV1,32,32,2
447,5,MOV1,32,32,9
447,11.2,MOV1,32,32,4
447,35.6,MOV1,32,32,5
447,50,MOV1,32,32,3
448,0,MOV1,32,32,12
448,0.1,MOV1,32,32,7
448,0.5,MOV1,32,32,14
448,1.12,MOV1,32,32,12
448,3.56,MOV1,32,32,10
448,5,MOV1,32,32,9
467,0,MOV1,36,36,9
467,0.5,MOV1,36,36,12
467,1,MOV1,36,36,10
467,2,MOV1,36,36,10
467,4.5,MOV1,36,36,1
467,9,MOV1,36,36,0
467,18,MOV1,36,36,0
467,34,MOV1,36,36,0
500,0,MOV1,32,32,9
500,1,MOV1,32,32,3
500,5,MOV1,32,32,4
500,11.2,MOV1,32,32,3
500,35.6,MOV1,32,32,0
