Chemical_ID,End_Point,X_vals,Y_vals
53,ALL_BUT_MORT,,
53,ANY120,0.0,0.05285929
53,ANY120,0.2778,0.05285929
53,ANY120,0.5556,0.05285929
53,ANY120,0.8333,0.05285929
53,ANY120,1.1111,0.05285929
53,ANY120,1.3889,0.05285929
53,ANY120,1.6667,0.05285929
53,ANY120,1.9444,0.05285929
53,ANY120,2.2222,0.05285929
53,ANY120,2.5,0.05285929
53,ANY120,2.6111,0.05285929
53,ANY120,2.7222,0.05285929
53,ANY120,2.8333,0.05285929
53,ANY120,2.9444,0.05285929
53,ANY120,3.0556,0.05285929
53,ANY120,3.1667,0.05285929
53,ANY120,3.2778,0.05285929
53,ANY120,3.3889,0.05285929
53,ANY120,3.5,0.05285929
53,ANY120,3.6544,0.05285929
53,ANY120,3.8089,0.05285929
53,ANY120,3.9633,0.05285929
53,ANY120,4.1178,0.05285929
53,ANY120,4.2722,0.05285929
53,ANY120,4.4267,0.05285929
53,ANY120,4.5811,0.05285929
53,ANY120,4.7356,0.05285929
53,ANY120,4.89,0.05285929
53,ANY120,5.1067,0.05285929
53,ANY120,5.3233,0.05285929
53,ANY120,5.54,0.0528593
53,ANY120,5.7567,0.0528593
53,ANY120,5.9733,0.0528593
53,ANY120,6.19,0.0528593
53,ANY120,6.4067,0.05285931
53,ANY120,6.6233,0.05285931
53,ANY120,6.84,0.05285932
53,ANY120,7.1422,0.05285933
53,ANY120,7.4444,0.05285934
53,ANY120,7.7467,0.05285936
53,ANY120,8.0489,0.05285939
53,ANY120,8.3511,0.05285942
53,ANY120,8.6533,0.05285946
53,ANY120,8.9556,0.0528595
53,ANY120,9.2578,0.05285956
53,ANY120,9.56,0.05285963
53,ANY120,9.9867,0.05285976
53,ANY120,10.4133,0.05285993
53,ANY120,10.84,0.05286015
53,ANY120,11.2667,0.05286043
53,ANY120,11.6933,0.05286078
53,ANY120,12.12,0.05286122
53,ANY120,12.5467,0.05286176
53,ANY120,12.9733,0.05286243
53,ANY120,13.4,0.05286325
53,ANY120,13.9889,0.05286467
53,ANY120,14.5778,0.0528665
53,ANY120,15.1667,0.05286882
53,ANY120,15.7556,0.05287174
53,ANY120,16.3444,0.05287538
53,ANY120,16.9333,0.05287988
53,ANY120,17.5222,0.05288538
53,ANY120,18.1111,0.05289205
53,ANY120,18.7,0.05290009
53,ANY120,19.5222,0.05291402
53,ANY120,20.3444,0.05293167
53,ANY120,21.1667,0.0529538
53,ANY120,21.9889,0.05298124
53,ANY120,22.8111,0.05301492
53,ANY120,23.6333,0.05305589
53,ANY120,24.4556,0.0531053
53,ANY120,25.2778,0.0531644
53,ANY120,26.1,0.05323456
53,ANY120,27.2667,0.05335605
53,ANY120,28.4333,0.05350746
53,ANY120,29.6,0.05369395
53,ANY120,30.7667,0.05392107
53,ANY120,31.9333,0.05419484
53,ANY120,33.1,0.05452176
53,ANY120,34.2667,0.05490868
53,ANY120,35.4333,0.05536281
53,ANY120,36.6,0.05589182
53,ANY120,38.2111,0.05676005
53,ANY120,39.8222,0.05780772
53,ANY120,41.4333,0.05905719
53,ANY120,43.0444,0.0605313
53,ANY120,44.6556,0.06225323
53,ANY120,46.2667,0.06424582
53,ANY120,47.8778,0.06653191
53,ANY120,49.4889,0.06913368
53,ANY120,51.1,0.07207249
53,ANY120,53.3667,0.0768167
53,ANY120,55.6333,0.08231997
53,ANY120,57.9,0.08862881
53,ANY120,60.1667,0.09578198
53,ANY120,62.4333,0.10381027
53,ANY120,64.7,0.11273717
53,ANY120,66.9667,0.12257641
53,ANY120,69.2333,0.13333265
53,ANY120,71.5,0.1450031
53,ANY120,74.6667,0.16281213
53,ANY120,77.8333,0.18231726
53,ANY120,81.0,0.20342938
53,ANY120,84.1667,0.22603155
53,ANY120,87.3333,0.24998459
53,ANY120,90.5,0.27513372
53,ANY120,93.6667,0.30130837
53,ANY120,96.8333,0.32832869
53,ANY120,100.0,0.35601237
53,ANY24,0.0,1e-05
53,ANY24,0.2778,0.00037299
53,ANY24,0.5556,0.00073584
53,ANY24,0.8333,0.00109843
53,ANY24,1.1111,0.00146102
53,ANY24,1.3889,0.00182348
53,ANY24,1.6667,0.0021858
53,ANY24,1.9444,0.00254787
53,ANY24,2.2222,0.00290993
53,ANY24,2.5,0.00327187
53,ANY24,2.6111,0.00341658
53,ANY24,2.7222,0.00356126
53,ANY24,2.8333,0.00370593
53,ANY24,2.9444,0.00385058
53,ANY24,3.0556,0.00399534
53,ANY24,3.1667,0.00413994
53,ANY24,3.2778,0.00428453
53,ANY24,3.3889,0.00442909
53,ANY24,3.5,0.00457363
53,ANY24,3.6544,0.00477447
53,ANY24,3.8089,0.0049754
53,ANY24,3.9633,0.00517616
53,ANY24,4.1178,0.00537701
53,ANY24,4.2722,0.00557769
53,ANY24,4.4267,0.00577846
53,ANY24,4.5811,0.00597906
53,ANY24,4.7356,0.00617974
53,ANY24,4.89,0.00638026
53,ANY24,5.1067,0.00666162
53,ANY24,5.3233,0.00694276
53,ANY24,5.54,0.00722396
53,ANY24,5.7567,0.00750508
53,ANY24,5.9733,0.00778599
53,ANY24,6.19,0.00806695
53,ANY24,6.4067,0.00834783
53,ANY24,6.6233,0.0086285
