Chemical_ID,End_Point,Dose,ids,num.affected,num.nonna,CI_Lo,CI_Hi
53.0,AUC,0.0,53.0 AUC,0.0,0,,
53.0,AUC,2.5,53.0 AUC,0.0,0,,
53.0,AUC,3.5,53.0 AUC,0.0,0,,
53.0,AUC,4.89,53.0 AUC,0.0,0,,
53.0,AUC,6.84,53.0 AUC,0.0,0,,
53.0,AUC,9.56,53.0 AUC,0.0,0,,
53.0,AUC,13.4,53.0 AUC,0.0,0,,
53.0,AUC,18.7,53.0 AUC,0.0,0,,
53.0,AUC,26.1,53.0 AUC,0.0,0,,
53.0,AUC,36.6,53.0 AUC,0.0,0,,
53.0,AUC,51.1,53.0 AUC,0.0,0,,
53.0,AUC,71.5,53.0 AUC,0.0,0,,
53.0,AUC,100.0,53.0 AUC,0.0,0,,
53.0,MOV,0.0,53.0 MOV,0.0,0,,
53.0,MOV,2.5,53.0 MOV,0.0,0,,
53.0,MOV,3.5,53.0 MOV,0.0,0,,
53.0,MOV,4.89,53.0 MOV,0.0,0,,
53.0,MOV,6.84,53.0 MOV,0.0,0,,
53.0,MOV,9.56,53.0 MOV,0.0,0,,
53.0,MOV,13.4,53.0 MOV,0.0,0,,
53.0,MOV,18.7,53.0 MOV,0.0,0,,
53.0,MOV,26.1,53.0 MOV,0.0,0,,
53.0,MOV,36.6,53.0 MOV,0.0,0,,
53.0,MOV,51.1,53.0 MOV,0.0,0,,
53.0,MOV,71.5,53.0 MOV,0.0,0,,
53.0,MOV,100.0,53.0 MOV,0.0,0,,
69.0,AUC,0.0,69.0 AUC,8.0,24,0.1797219,0.53293683
69.0,AUC,2.5,69.0 AUC,5.0,14,0.16344732,0.61235577
69.0,AUC,3.5,69.0 AUC,7.0,14,0.26799202,0.73200798
69.0,AUC,4.89,69.0 AUC,4.0,14,0.11721379,0.54649084
69.0,AUC,6.84,69.0 AUC,4.0,14,0.11721379,0.54649084
69.0,AUC,9.56,69.0 AUC,8.0,14,0.32590645,0.78619201
69.0,AUC,13.4,69.0 AUC,4.0,14,0.11721379,0.54649084
69.0,AUC,18.7,69.0 AUC,3.0,14,0.07571387,0.47589231
69.0,AUC,26.1,69.0 AUC,3.0,14,0.07571387,0.47589231
69.0,AUC,36.6,69.0 AUC,9.0,14,0.38764423,0.83655268
69.0,AUC,51.1,69.0 AUC,7.0,14,0.26799202,0.73200798
69.0,AUC,71.5,69.0 AUC,7.0,14,0.26799202,0.73200798
69.0,AUC,100.0,69.0 AUC,5.0,14,0.16344732,0.61235577
69.0,MOV,0.0,69.0 MOV,4.0,24,0.06678676,0.35853071
69.0,MOV,2.5,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,3.5,69.0 MOV,5.0,14,0.16344732,0.61235577
69.0,MOV,4.89,69.0 MOV,6.0,14,0.21380799,0.67409355
69.0,MOV,6.84,69.0 MOV,2.0,14,0.04009392,0.39941379
69.0,MOV,9.56,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,13.4,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,18.7,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,26.1,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,36.6,69.0 MOV,3.0,14,0.07571387,0.47589231
69.0,MOV,51.1,69.0 MOV,5.0,14,0.16344732,0.61235577
69.0,MOV,71.5,69.0 MOV,4.0,14,0.11721379,0.54649084
69.0,MOV,100.0,69.0 MOV,4.0,14,0.11721379,0.54649084
447.0,AUC,0.0,447.0 AUC,2.0,24,0.02315882,0.25848802
447.0,AUC,2.5,447.0 AUC,2.0,14,0.04009392,0.39941379
447.0,AUC,3.5,447.0 AUC,0.0,14,0.0,0.2153108
447.0,AUC,4.89,447.0 AUC,6.0,14,0.21380799,0.67409355
447.0,AUC,6.84,447.0 AUC,0.0,14,0.0,0.2153108
447.0,AUC,9.56,447.0 AUC,3.0,14,0.07571387,0.47589231
447.0,AUC,13.4,447.0 AUC,1.0,14,0.01272222,0.31468704
447.0,AUC,18.7,447.0 AUC,1.0,14,0.01272222,0.31468704
447.0,AUC,26.1,447.0 AUC,2.0,14,0.04009392,0.39941379
447.0,AUC,36.6,447.0 AUC,1.0,14,0.01272222,0.31468704
447.0,AUC,51.1,447.0 AUC,0.0,14,0.0,0.2153108
447.0,AUC,71.5,447.0 AUC,2.0,14,0.04009392,0.39941379
447.0,AUC,100.0,447.0 AUC,2.0,14,0.04009392,0.39941379
447.0,MOV,0.0,447.0 MOV,8.0,24,0.1797219,0.53293683
447.0,MOV,2.5,447.0 MOV,2.0,14,0.04009392,0.39941379
447.0,MOV,3.5,447.0 MOV,3.0,14,0.07571387,0.47589231
447.0,MOV,4.89,447.0 MOV,6.0,14,0.21380799,0.67409355
447.0,MOV,6.84,447.0 MOV,2.0,14,0.04009392,0.39941379
447.0,MOV,9.56,447.0 MOV,1.0,14,0.01272222,0.31468704
447.0,MOV,13.4,447.0 MOV,3.0,14,0.07571387,0.47589231
447.0,MOV,18.7,447.0 MOV,2.0,14,0.04009392,0.39941379
447.0,MOV,26.1,447.0 MOV,3.0,14,0.07571387,0.47589231
447.0,MOV,36.6,447.0 MOV,4.0,14,0.11721379,0.54649084
447.0,MOV,51.1,447.0 MOV,4.0,14,0.11721379,0.54649084
447.0,MOV,71.5,447.0 MOV,4.0,14,0.11721379,0.54649084
447.0,MOV,100.0,447.0 MOV,4.0,14,0.11721379,0.54649084
702.0,AUC,0.0,702.0 AUC,6.0,24,0.11999366,0.44899444
702.0,AUC,2.5,702.0 AUC,3.0,14,0.07571387,0.47589231
702.0,AUC,5.0,702.0 AUC,4.0,14,0.11721379,0.54649084
702.0,AUC,7.5,702.0 AUC,2.0,14,0.04009392,0.39941379
702.0,AUC,10.0,702.0 AUC,4.0,14,0.11721379,0.54649084
702.0,AUC,15.0,702.0 AUC,2.0,14,0.04009392,0.39941379
702.0,AUC,20.0,702.0 AUC,4.0,14,0.11721379,0.54649084
702.0,AUC,30.0,702.0 AUC,5.0,14,0.16344732,0.61235577
702.0,AUC,40.0,702.0 AUC,3.0,14,0.07571387,0.47589231
702.0,AUC,50.0,702.0 AUC,1.0,14,0.01272222,0.31468704
702.0,AUC,60.0,702.0 AUC,1.0,14,0.01272222,0.31468704
702.0,AUC,80.0,702.0 AUC,5.0,14,0.16344732,0.61235577
702.0,AUC,100.0,702.0 AUC,6.0,14,0.21380799,0.67409355
702.0,MOV,0.0,702.0 MOV,9.0,24,0.21159368,0.57290038
702.0,MOV,2.5,702.0 MOV,3.0,14,0.07571387,0.47589231
702.0,MOV,5.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,7.5,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,10.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,15.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,20.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,30.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,40.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,50.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,60.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,80.0,702.0 MOV,0.0,14,0.0,0.2153108
702.0,MOV,100.0,702.0 MOV,0.0,14,0.0,0.2153108
3689.0,AUC,0.0,3689.0 AUC,10.0,24,0.24467603,0.61165334
3689.0,AUC,2.5,3689.0 AUC,5.0,14,0.16344732,0.61235577
3689.0,AUC,5.0,3689.0 AUC,2.0,14,0.04009392,0.39941379
3689.0,AUC,7.5,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,10.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,15.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,20.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,30.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,40.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,50.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,60.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,80.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,AUC,100.0,3689.0 AUC,0.0,14,0.0,0.2153108
3689.0,MOV,0.0,3689.0 MOV,9.0,24,0.21159368,0.57290038
3689.0,MOV,2.5,3689.0 MOV,3.0,14,0.07571387,0.47589231
3689.0,MOV,5.0,3689.0 MOV,4.0,14,0.11721379,0.54649084
3689.0,MOV,7.5,3689.0 MOV,3.0,14,0.07571387,0.47589231
3689.0,MOV,10.0,3689.0 MOV,5.0,14,0.16344732,0.61235577
3689.0,MOV,15.0,3689.0 MOV,4.0,14,0.11721379,0.54649084
3689.0,MOV,20.0,3689.0 MOV,2.0,14,0.04009392,0.39941379
3689.0,MOV,30.0,3689.0 MOV,2.0,14,0.04009392,0.39941379
3689.0,MOV,40.0,3689.0 MOV,3.0,14,0.07571387,0.47589231
3689.0,MOV,50.0,3689.0 MOV,3.0,14,0.07571387,0.47589231
3689.0,MOV,60.0,3689.0 MOV,5.0,14,0.16344732,0.61235577
3689.0,MOV,80.0,3689.0 MOV,0.0,14,0.0,0.2153108
3689.0,MOV,100.0,3689.0 MOV,2.0,14,0.04009392,0.39941379
3690.0,AUC,0.0,3690.0 AUC,10.0,24,0.24467603,0.61165334
3690.0,AUC,2.5,3690.0 AUC,5.0,14,0.16344732,0.61235577
3690.0,AUC,5.0,3690.0 AUC,2.0,14,0.04009392,0.39941379
3690.0,AUC,7.5,3690.0 AUC,5.0,14,0.16344732,0.61235577
3690.0,AUC,10.0,3690.0 AUC,3.0,14,0.07571387,0.47589231
3690.0,AUC,15.0,3690.0 AUC,7.0,14,0.26799202,0.73200798
3690.0,AUC,20.0,3690.0 AUC,2.0,14,0.04009392,0.39941379
3690.0,AUC,30.0,3690.0 AUC,4.0,14,0.11721379,0.54649084
3690.0,AUC,40.0,3690.0 AUC,5.0,14,0.16344732,0.61235577
3690.0,AUC,50.0,3690.0 AUC,5.0,14,0.16344732,0.61235577
3690.0,AUC,60.0,3690.0 AUC,5.0,14,0.16344732,0.61235577
3690.0,AUC,80.0,3690.0 AUC,0.0,14,0.0,0.2153108
3690.0,AUC,100.0,3690.0 AUC,2.0,14,0.04009392,0.39941379
3690.0,MOV,0.0,3690.0 MOV,4.0,24,0.06678676,0.35853071
3690.0,MOV,2.5,3690.0 MOV,0.0,14,0.0,0.2153108
3690.0,MOV,5.0,3690.0 MOV,1.0,14,0.01272222,0.31468704
3690.0,MOV,7.5,3690.0 MOV,1.0,14,0.01272222,0.31468704
3690.0,MOV,10.0,3690.0 MOV,0.0,14,0.0,0.2153108
3690.0,MOV,15.0,3690.0 MOV,1.0,14,0.01272222,0.31468704
3690.0,MOV,20.0,3690.0 MOV,2.0,14,0.04009392,0.39941379
3690.0,MOV,30.0,3690.0 MOV,1.0,14,0.01272222,0.31468704
3690.0,MOV,40.0,3690.0 MOV,1.0,14,0.01272222,0.31468704
3690.0,MOV,50.0,3690.0 MOV,2.0,14,0.04009392,0.39941379
3690.0,MOV,60.0,3690.0 MOV,2.0,14,0.04009392,0.39941379
3690.0,MOV,80.0,3690.0 MOV,0.0,14,0.0,0.2153108
3690.0,MOV,100.0,3690.0 MOV,2.0,14,0.04009392,0.39941379
3760.0,AUC,0.0,3760.0 AUC,2.0,24,0.02315882,0.25848802
3760.0,AUC,2.5,3760.0 AUC,1.0,14,0.01272222,0.31468704
3760.0,AUC,5.0,3760.0 AUC,2.0,14,0.04009392,0.39941379
3760.0,AUC,7.5,3760.0 AUC,1.0,14,0.01272222,0.31468704
3760.0,AUC,10.0,3760.0 AUC,0.0,14,0.0,0.2153108
3760.0,AUC,15.0,3760.0 AUC,2.0,14,0.04009392,0.39941379
3760.0,AUC,20.0,3760.0 AUC,3.0,14,0.07571387,0.47589231
3760.0,AUC,30.0,3760.0 AUC,2.0,14,0.04009392,0.39941379
3760.0,AUC,40.0,3760.0 AUC,0.0,14,0.0,0.2153108
3760.0,AUC,50.0,3760.0 AUC,0.0,14,0.0,0.2153108
3760.0,AUC,60.0,3760.0 AUC,3.0,14,0.07571387,0.47589231
3760.0,AUC,80.0,3760.0 AUC,2.0,14,0.04009392,0.39941379
3760.0,AUC,100.0,3760.0 AUC,1.0,14,0.01272222,0.31468704
3760.0,MOV,0.0,3760.0 MOV,4.0,24,0.06678676,0.35853071
3760.0,MOV,2.5,3760.0 MOV,3.0,14,0.07571387,0.47589231
3760.0,MOV,5.0,3760.0 MOV,2.0,14,0.04009392,0.39941379
3760.0,MOV,7.5,3760.0 MOV,0.0,14,0.0,0.2153108
3760.0,MOV,10.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3760.0,MOV,15.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3760.0,MOV,20.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3760.0,MOV,30.0,3760.0 MOV,2.0,14,0.04009392,0.39941379
3760.0,MOV,40.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3760.0,MOV,50.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3760.0,MOV,60.0,3760.0 MOV,0.0,14,0.0,0.2153108
3760.0,MOV,80.0,3760.0 MOV,0.0,14,0.0,0.2153108
3760.0,MOV,100.0,3760.0 MOV,1.0,14,0.01272222,0.31468704
3762.0,AUC,0.0,3762.0 AUC,8.0,24,0.1797219,0.53293683
3762.0,AUC,2.5,3762.0 AUC,9.0,14,0.38764423,0.83655268
3762.0,AUC,3.5,3762.0 AUC,5.0,14,0.16344732,0.61235577
3762.0,AUC,4.89,3762.0 AUC,6.0,14,0.21380799,0.67409355
3762.0,AUC,6.84,3762.0 AUC,6.0,14,0.21380799,0.67409355
3762.0,AUC,9.56,3762.0 AUC,2.0,14,0.04009392,0.39941379
3762.0,AUC,13.4,3762.0 AUC,4.0,14,0.11721379,0.54649084
3762.0,AUC,18.7,3762.0 AUC,5.0,14,0.16344732,0.61235577
3762.0,AUC,26.1,3762.0 AUC,0.0,14,0.0,0.2153108
3762.0,AUC,36.6,3762.0 AUC,0.0,14,0.0,0.2153108
3762.0,AUC,51.1,3762.0 AUC,1.0,14,0.01272222,0.31468704
3762.0,AUC,71.5,3762.0 AUC,2.0,14,0.04009392,0.39941379
3762.0,AUC,100.0,3762.0 AUC,1.0,14,0.01272222,0.31468704
3762.0,MOV,0.0,3762.0 MOV,9.0,24,0.21159368,0.57290038
3762.0,MOV,2.5,3762.0 MOV,2.0,14,0.04009392,0.39941379
3762.0,MOV,3.5,3762.0 MOV,3.0,14,0.07571387,0.47589231
3762.0,MOV,4.89,3762.0 MOV,1.0,14,0.01272222,0.31468704
3762.0,MOV,6.84,3762.0 MOV,3.0,14,0.07571387,0.47589231
