Chemical_ID,End_Point,X_vals,Y_vals,bmdrc.Endpoint.ID
3689,AUC,,,3689 AUC
3689,MOV,,,3689 MOV
3690,AUC,,,3690 AUC
3690,MOV,,,3690 MOV
3760,AUC,0.0,0.20940832,3760 AUC
3760,AUC,0.2778,0.20944952,3760 AUC
3760,AUC,0.5556,0.20952202,3760 AUC
3760,AUC,0.8333,0.20961416,3760 AUC
3760,AUC,1.1111,0.20972198,3760 AUC
3760,AUC,1.3889,0.20984316,3760 AUC
3760,AUC,1.6667,0.20997617,3760 AUC
3760,AUC,1.9444,0.21011982,3760 AUC
3760,AUC,2.2222,0.21027334,3760 AUC
3760,AUC,2.5,0.21043601,3760 AUC
3760,AUC,2.7778,0.21060723,3760 AUC
3760,AUC,3.0556,0.21078652,3760 AUC
3760,AUC,3.3333,0.2109734,3760 AUC
3760,AUC,3.6111,0.21116764,3760 AUC
3760,AUC,3.8889,0.21136886,3760 AUC
3760,AUC,4.1667,0.21157676,3760 AUC
3760,AUC,4.4444,0.211791,3760 AUC
3760,AUC,4.7222,0.21201152,3760 AUC
3760,AUC,5.0,0.21223803,3760 AUC
3760,AUC,5.2778,0.21247032,3760 AUC
3760,AUC,5.5556,0.21270823,3760 AUC
3760,AUC,5.8333,0.21295149,3760 AUC
3760,AUC,6.1111,0.21320012,3760 AUC
3760,AUC,6.3889,0.21345391,3760 AUC
3760,AUC,6.6667,0.2137127,3760 AUC
3760,AUC,6.9444,0.21397628,3760 AUC
3760,AUC,7.2222,0.21424472,3760 AUC
3760,AUC,7.5,0.21451781,3760 AUC
3760,AUC,7.7778,0.21479545,3760 AUC
3760,AUC,8.0556,0.21507754,3760 AUC
3760,AUC,8.3333,0.21536387,3760 AUC
3760,AUC,8.6111,0.21565455,3760 AUC
3760,AUC,8.8889,0.21594941,3760 AUC
3760,AUC,9.1667,0.21624835,3760 AUC
3760,AUC,9.4444,0.21655119,3760 AUC
3760,AUC,9.7222,0.21685807,3760 AUC
3760,AUC,10.0,0.21716881,3760 AUC
3760,AUC,10.5556,0.21780156,3760 AUC
3760,AUC,11.1111,0.21844881,3760 AUC
3760,AUC,11.6667,0.21911028,3760 AUC
3760,AUC,12.2222,0.21978527,3760 AUC
3760,AUC,12.7778,0.22047359,3760 AUC
3760,AUC,13.3333,0.22117458,3760 AUC
3760,AUC,13.8889,0.22188811,3760 AUC
3760,AUC,14.4444,0.22261355,3760 AUC
3760,AUC,15.0,0.22335082,3760 AUC
3760,AUC,15.5556,0.22409944,3760 AUC
3760,AUC,16.1111,0.22485898,3760 AUC
3760,AUC,16.6667,0.22562941,3760 AUC
3760,AUC,17.2222,0.22641015,3760 AUC
3760,AUC,17.7778,0.22720121,3760 AUC
3760,AUC,18.3333,0.22800205,3760 AUC
3760,AUC,18.8889,0.2288127,3760 AUC
3760,AUC,19.4444,0.22963261,3760 AUC
3760,AUC,20.0,0.23046186,3760 AUC
3760,AUC,21.1111,0.23214683,3760 AUC
3760,AUC,22.2222,0.23386589,3760 AUC
3760,AUC,23.3333,0.2356174,3760 AUC
3760,AUC,24.4444,0.23739985,3760 AUC
3760,AUC,25.5556,0.23921194,3760 AUC
3760,AUC,26.6667,0.241052,3760 AUC
3760,AUC,27.7778,0.24291889,3760 AUC
3760,AUC,28.8889,0.24481138,3760 AUC
3760,AUC,30.0,0.2467283,3760 AUC
3760,AUC,31.1111,0.24866853,3760 AUC
3760,AUC,32.2222,0.250631,3760 AUC
3760,AUC,33.3333,0.2526147,3760 AUC
3760,AUC,34.4444,0.25461863,3760 AUC
3760,AUC,35.5556,0.25664205,3760 AUC
3760,AUC,36.6667,0.25868368,3760 AUC
3760,AUC,37.7778,0.26074284,3760 AUC
3760,AUC,38.8889,0.26281868,3760 AUC
3760,AUC,40.0,0.2649104,3760 AUC
3760,AUC,41.1111,0.26701723,3760 AUC
3760,AUC,42.2222,0.2691384,3760 AUC
3760,AUC,43.3333,0.2712732,3760 AUC
3760,AUC,44.4444,0.27342092,3760 AUC
3760,AUC,45.5556,0.27558109,3760 AUC
3760,AUC,46.6667,0.27775265,3760 AUC
3760,AUC,47.7778,0.27993517,3760 AUC
3760,AUC,48.8889,0.28212803,3760 AUC
3760,AUC,50.0,0.28433064,3760 AUC
3760,AUC,51.1111,0.28654242,3760 AUC
3760,AUC,52.2222,0.28876282,3760 AUC
3760,AUC,53.3333,0.29099128,3760 AUC
3760,AUC,54.4444,0.2932273,3760 AUC
3760,AUC,55.5556,0.29547056,3760 AUC
3760,AUC,56.6667,0.29772017,3760 AUC
3760,AUC,57.7778,0.29997584,3760 AUC
3760,AUC,58.8889,0.30223712,3760 AUC
3760,AUC,60.0,0.30450356,3760 AUC
3760,AUC,62.2222,0.30905015,3760 AUC
3760,AUC,64.4444,0.31361227,3760 AUC
3760,AUC,66.6667,0.31818698,3760 AUC
3760,AUC,68.8889,0.32277089,3760 AUC
3760,AUC,71.1111,0.3273614,3760 AUC
3760,AUC,73.3333,0.33195588,3760 AUC
3760,AUC,75.5556,0.33655205,3760 AUC
3760,AUC,77.7778,0.34114714,3760 AUC
3760,AUC,80.0,0.34573915,3760 AUC
3760,AUC,82.2222,0.350326,3760 AUC
3760,AUC,84.4444,0.35490574,3760 AUC
3760,AUC,86.6667,0.35947671,3760 AUC
3760,AUC,88.8889,0.36403679,3760 AUC
3760,AUC,91.1111,0.36858453,3760 AUC
3760,AUC,93.3333,0.37311842,3760 AUC
3760,AUC,95.5556,0.37763722,3760 AUC
3760,AUC,97.7778,0.38213918,3760 AUC
3760,AUC,100.0,0.38662322,3760 AUC
3760,MOV,,,3760 MOV
3762,AUC,0.0,0.16057114,3762 AUC
