Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
P00004,CFIN,Log Logistic,18.782033388794797,11.735847638923175,30.6662153867035,,0.0,50.0,,1,2,1,1,P00004 CFIN
C34452,SOMI,Log Logistic,5.009744670525214,3.6136880761516204,8.831254405775287,,0.0,50.0,,1,2,1,1,C34452 SOMI
C86667,MO24,Gamma,11.454299268325508,8.020106832664586,19.18869106211028,28.1875,0.0,50.0,0.56375,1,2,1,1,C86667 MO24
C86667,MORT,Log Logistic,2.537894836525974,1.0614655311301306,13.231592164513723,,0.0,50.0,,1,2,1,1,C86667 MORT
P00041,PFIN,Logistic,16.71219719149792,12.207661289859484,28.94058559941749,,0.0,50.0,,1,2,1,1,P00041 PFIN
P00041,PE__,Logistic,16.6279260576819,12.138340352144859,28.116991169627706,,0.0,50.0,,1,2,1,1,P00041 PE__
C86667,PFIN,Log Logistic,6.8450949868652975,3.3752535021903913,28.004244125596742,,0.0,50.0,,1,2,1,1,C86667 PFIN
C34452,YSE_,Log Logistic,4.461541594896773,3.547945372219844,5.571556017126879,,0.0,50.0,,1,2,1,1,C34452 YSE_
C34452,TR__,Log Logistic,5.004159802170315,3.760297449000234,8.299168892308382,,0.0,50.0,,1,2,1,1,C34452 TR__
C34452,TRUN,Log Logistic,4.933800466564611,3.3433093023659426,8.314794933342158,,0.0,50.0,,1,2,1,1,C34452 TRUN
C34452,TOT_MORT,Log Logistic,7.0131808533580955,5.012022946345658,10.744531129313623,36.75,0.0,50.0,0.735,1,2,1,1,C34452 TOT_MORT
C34452,SWIM,Logistic,9.929038238490662,5.460971031169864,12.217436848100991,,0.0,50.0,,1,2,1,1,C34452 SWIM
C34452,SNOU,Log Logistic,4.678813965103643,2.5733476808070037,5.371428550039459,,0.0,50.0,,1,2,1,1,C34452 SNOU
P00041,SNOU,Logistic,18.745491714653895,13.65043411555131,29.43175346478392,,0.0,50.0,,1,2,1,1,P00041 SNOU
