Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
571-58-4,MMP,power,0.43224158665668383,0.08523958423364456,41.85778266425359,49880.1347,0.0,300.0,0.48603675,Pass,Moderate,Pass,Pass,4.0,0.6716401205014993,571-58-4 MMP
91-57-6,MMP,power,2.2337011897588305e-09,,0.13403879353341902,56947.2503,0.0,300.0,0.71910431,Pass,Moderate,Pass,Pass,4.0,0.5593876555616626,91-57-6 MMP
1576-67-6,LDH,power,57.2796549617914,57.262998012457544,182.2402510051483,79539.3443,0.0,300.0,0.57351064,Pass,Moderate,Pass,Pass,4.0,0.607489931191099,1576-67-6 LDH
1705-85-7,MMP,power,3.504776459358878e-05,,1.1395913000700233,37553.6861,0.0,100.0,0.75069611,Pass,Moderate,Pass,Pass,4.0,0.7418986007768087,1705-85-7 MMP
57-97-6,LDH,gompertz,14.633579061899622,14.633579061899622,18.277705815335214,18959.8287,0.0,100.0,0.4410221,Pass,Moderate,Pass,Pass,4.0,0.6789242131381593,57-97-6 LDH
57-97-6,MMP,gompertz,15.368649828629994,15.368649828629994,19.085691376522593,13362.7506,0.0,100.0,0.56879759,Pass,Moderate,Pass,Pass,4.0,0.502774258377672,57-97-6 MMP
120-12-7,MMP,power,0.16791291281826098,0.0033643200004541004,14.61056724015352,15831.8042,0.0,100.0,0.69727333,Pass,Moderate,Pass,Pass,4.0,0.6070079460901162,120-12-7 MMP
56-55-3,CC,power,149.86198729558825,149.86198729558825,183.35778124910658,22792.5527,0.0,200.0,0.55609238,Pass,Moderate,Pass,Pass,4.0,0.4721172914034236,56-55-3 CC
56-55-3,DCFDA,power,156.96941342530167,156.96940959248727,301.8339408084126,45155.2588,0.0,400.0,0.79340165,Pass,Moderate,Pass,Pass,4.0,0.6869743698280176,56-55-3 DCFDA
56-55-3,LDH,power,77.23769010687157,77.23129555204532,243.81202555308516,65500.0,0.0,400.0,0.49371859,Pass,Moderate,Pass,Pass,4.0,0.7823411055426441,56-55-3 LDH
