Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
120-12-7,CC,0.0,114.7412118000354,100.8065233,128.6759003
120-12-7,CC,0.2,108.76170287934987,101.00461892,116.51878684
120-12-7,CC,2.0,115.28881822999475,111.15723123,119.42040523
120-12-7,CC,10.0,113.23087793676035,89.03653861,137.42521726
120-12-7,CC,50.0,105.5378908320087,95.16340243,115.91237923
120-12-7,DCFDA,0.0,106.4621110081675,103.3360991,109.58812291
120-12-7,DCFDA,10.0,108.26683068490576,106.5757367,109.95792467
120-12-7,DCFDA,20.0,105.27790970173095,97.11784982,113.43796958
120-12-7,DCFDA,50.0,108.476265366978,106.45861421,110.49391653
120-12-7,DCFDA,100.0,112.22117548134949,105.81642009,118.62593087
120-12-7,LDH,0.0,99.99999999999964,88.2442809,111.7557191
120-12-7,LDH,10.0,114.70588235294075,103.79703671,125.614728
120-12-7,LDH,20.0,111.76470588235277,84.90032264,138.62908913
120-12-7,LDH,50.0,99.99999999999977,91.23780432,108.76219568
120-12-7,LDH,100.0,127.45098039215662,111.67902817,143.22293261
120-12-7,MMP,0.0,100.00000000000013,95.5882556,104.4117444
120-12-7,MMP,10.0,143.96016232601306,107.90979894,180.01052571
120-12-7,MMP,20.0,127.82618504517768,102.19919235,153.45317774
120-12-7,MMP,50.0,145.8800511390425,130.79108573,160.96901654
120-12-7,MMP,100.0,175.03666242001975,140.73010124,209.3432236
129-00-0,CC,0.0,99.99999999999994,86.82398297,113.17601703
129-00-0,CC,2.0,91.68391683916842,78.30490695,105.06292673
129-00-0,CC,10.0,93.0519305193053,80.91252388,105.19133716
129-00-0,CC,50.0,85.1858518585186,76.7335501,93.63815362
129-00-0,CC,150.0,120.47520475204763,101.75207918,139.19833032
129-00-0,DCFDA,0.0,100.0000000000001,98.58119208,101.41880792
129-00-0,DCFDA,4.0,97.5401584453101,96.70716759,98.3731493
129-00-0,DCFDA,20.0,99.0833432335599,96.51245714,101.65422933
129-00-0,DCFDA,100.0,100.0752417218473,97.94976301,102.20072044
129-00-0,DCFDA,300.0,113.3671816868735,111.22929385,115.50506953
129-00-0,LDH,0.0,99.99999999999997,75.05707236,124.94292764
129-00-0,LDH,4.0,70.11952191235058,59.11153855,81.12750528
129-00-0,LDH,20.0,83.3997343957502,45.93483751,120.86463128
129-00-0,LDH,100.0,80.07968127490048,58.96900906,101.19035349
129-00-0,LDH,300.0,85.65737051792824,53.66026722,117.65447382
14207-77-3,CC,0.0,127.31433728726145,38.93372345,215.69495112
14207-77-3,CC,0.2,205.079938112429,139.69729049,270.46258574
14207-77-3,CC,2.0,217.1093347086125,181.47708641,252.741583
14207-77-3,CC,10.0,219.05621454357933,206.90490509,231.207524
14207-77-3,CC,50.0,256.05982465188254,152.84850052,359.27114878
14207-77-3,DCFDA,0.0,100.0,86.92036342,113.07963658
14207-77-3,DCFDA,10.0,101.90741135129375,81.15624116,122.65858155
14207-77-3,DCFDA,20.0,110.7949100202321,93.04668845,128.54313159
14207-77-3,DCFDA,50.0,92.69646470024493,87.18042253,98.21250687
14207-77-3,DCFDA,100.0,95.26940687892665,88.51844365,102.02037011
14207-77-3,LDH,0.0,100.0,87.00771736,112.99228264
14207-77-3,LDH,10.0,207.5,81.28413674,333.71586326
