Chemical_ID,End_Point,X_vals,Y_vals,bmdrc.Endpoint.ID
571-58-4,MMP,0.0,100.0,571-58-4 MMP
571-58-4,MMP,0.4444,112.1463891010611,571-58-4 MMP
571-58-4,MMP,0.8889,115.50275322410246,571-58-4 MMP
571-58-4,MMP,1.3333,117.88037536718983,571-58-4 MMP
571-58-4,MMP,1.7778,119.78578486547022,571-58-4 MMP
571-58-4,MMP,2.2222,121.40209749531803,571-58-4 MMP
571-58-4,MMP,2.6667,122.820587049064,571-58-4 MMP
571-58-4,MMP,3.1111,124.09270695789012,571-58-4 MMP
571-58-4,MMP,3.5556,125.25211342034603,571-58-4 MMP
571-58-4,MMP,4.0,126.32076037353906,571-58-4 MMP
571-58-4,MMP,5.7778,129.95739931790573,571-58-4 MMP
571-58-4,MMP,7.5556,132.92360412199986,571-58-4 MMP
571-58-4,MMP,9.3333,135.46529499839556,571-58-4 MMP
571-58-4,MMP,11.1111,137.7097024556843,571-58-4 MMP
571-58-4,MMP,12.8889,139.7318442842805,571-58-4 MMP
571-58-4,MMP,14.6667,141.58037253415318,571-58-4 MMP
571-58-4,MMP,16.4444,143.2887182063596,571-58-4 MMP
571-58-4,MMP,18.2222,144.8812745631246,571-58-4 MMP
571-58-4,MMP,20.0,146.37605722726687,571-58-4 MMP
571-58-4,MMP,28.8889,152.78359564497637,571-58-4 MMP
571-58-4,MMP,37.7778,158.00987822378494,571-58-4 MMP
571-58-4,MMP,46.6667,162.48843148433343,571-58-4 MMP
571-58-4,MMP,55.5556,166.44292954143685,571-58-4 MMP
571-58-4,MMP,64.4444,170.00577687919605,571-58-4 MMP
571-58-4,MMP,73.3333,173.26277272871394,571-58-4 MMP
571-58-4,MMP,82.2222,176.2729405593625,571-58-4 MMP
571-58-4,MMP,91.1111,179.0789221904633,571-58-4 MMP
571-58-4,MMP,100.0,181.71263494761823,571-58-4 MMP
571-58-4,MMP,122.2222,187.69216783150526,571-58-4 MMP
571-58-4,MMP,144.4444,193.00242170519223,571-58-4 MMP
571-58-4,MMP,166.6667,197.80626159082635,571-58-4 MMP
571-58-4,MMP,188.8889,202.21091233002147,571-58-4 MMP
571-58-4,MMP,211.1111,206.291268244955,571-58-4 MMP
571-58-4,MMP,233.3333,210.10191800023924,571-58-4 MMP
571-58-4,MMP,255.5556,213.68405673463351,571-58-4 MMP
571-58-4,MMP,277.7778,217.06957847055438,571-58-4 MMP
571-58-4,MMP,300.0,220.2838148730495,571-58-4 MMP
91-57-6,MMP,0.0,100.0,91-57-6 MMP
91-57-6,MMP,0.4444,145.56621214448307,91-57-6 MMP
91-57-6,MMP,0.8889,148.49519007867437,91-57-6 MMP
91-57-6,MMP,1.3333,150.2945846808048,91-57-6 MMP
91-57-6,MMP,1.7778,151.61191974717187,91-57-6 MMP
