Chemical_ID,End_Point,X_vals,Y_vals,bmdrc.Endpoint.ID
101,ALL_BUT_MORT,,,101 ALL_BUT_MORT
101,ANY120,,,101 ANY120
101,ANY24,0.0,0.03531816,101 ANY24
101,ANY24,0.0,0.03531816,101 ANY24
101,ANY24,0.0,0.03531816,101 ANY24
101,ANY24,0.0,0.03531816,101 ANY24
101,ANY24,0.0,0.03531816,101 ANY24
101,ANY24,0.0001,0.03604772,101 ANY24
101,ANY24,0.0001,0.03604772,101 ANY24
101,ANY24,0.0001,0.03604772,101 ANY24
101,ANY24,0.0001,0.03604772,101 ANY24
101,ANY24,0.0001,0.03604772,101 ANY24
101,ANY24,0.0002,0.03677673,101 ANY24
101,ANY24,0.0003,0.03750518,101 ANY24
101,ANY24,0.0004,0.03823309,101 ANY24
101,ANY24,0.0005,0.03896044,101 ANY24
101,ANY24,0.0006,0.03968725,101 ANY24
101,ANY24,0.0007,0.0404135,101 ANY24
101,ANY24,0.0008,0.04113921,101 ANY24
101,ANY24,0.0009,0.04186436,101 ANY24
101,ANY24,0.001,0.04258897,101 ANY24
101,ANY24,0.0012,0.04403655,101 ANY24
101,ANY24,0.0013,0.04475951,101 ANY24
101,ANY24,0.0015,0.0462038,101 ANY24
101,ANY24,0.0017,0.04764591,101 ANY24
101,ANY24,0.0018,0.04836614,101 ANY24
101,ANY24,0.002,0.04980498,101 ANY24
101,ANY24,0.0022,0.05124164,101 ANY24
101,ANY24,0.0023,0.05195916,101 ANY24
101,ANY24,0.0025,0.05339257,101 ANY24
101,ANY24,0.0028,0.05553861,101 ANY24
101,ANY24,0.0031,0.05767979,101 ANY24
101,ANY24,0.0033,0.05910455,101 ANY24
101,ANY24,0.0036,0.06123764,101 ANY24
101,ANY24,0.0039,0.0633659,101 ANY24
101,ANY24,0.0042,0.06548934,101 ANY24
101,ANY24,0.0044,0.06690229,101 ANY24
101,ANY24,0.0047,0.0690177,101 ANY24
101,ANY24,0.005,0.07112833,101 ANY24
101,ANY24,0.0056,0.07533523,101 ANY24
101,ANY24,0.0061,0.07882642,101 ANY24
101,ANY24,0.0067,0.08299845,101 ANY24
101,ANY24,0.0072,0.08646071,101 ANY24
101,ANY24,0.0078,0.09059817,101 ANY24
101,ANY24,0.0083,0.09403173,101 ANY24
101,ANY24,0.0089,0.0981349,101 ANY24
101,ANY24,0.0094,0.10154001,101 ANY24
101,ANY24,0.01,0.10560917,101 ANY24
101,AXIS,,,101 AXIS
101,BRN_,,,101 BRN_
101,CRAN,,,101 CRAN
101,EDEM,,,101 EDEM
101,LTRK,0.0,0.00631228,101 LTRK
101,LTRK,0.0,0.00631228,101 LTRK
101,LTRK,0.0,0.00631228,101 LTRK
101,LTRK,0.0,0.00631228,101 LTRK
101,LTRK,0.0,0.00631228,101 LTRK
101,LTRK,0.0001,0.00631228,101 LTRK
101,LTRK,0.0001,0.00631228,101 LTRK
101,LTRK,0.0001,0.00631228,101 LTRK
101,LTRK,0.0001,0.00631228,101 LTRK
101,LTRK,0.0001,0.00631228,101 LTRK
101,LTRK,0.0002,0.00631228,101 LTRK
101,LTRK,0.0003,0.00631228,101 LTRK
101,LTRK,0.0004,0.00631228,101 LTRK
101,LTRK,0.0005,0.00631228,101 LTRK
101,LTRK,0.0006,0.00631228,101 LTRK
101,LTRK,0.0007,0.00631228,101 LTRK
101,LTRK,0.0008,0.00631229,101 LTRK
101,LTRK,0.0009,0.0063123,101 LTRK
101,LTRK,0.001,0.00631232,101 LTRK
101,LTRK,0.0012,0.00631242,101 LTRK
101,LTRK,0.0013,0.00631252,101 LTRK
101,LTRK,0.0015,0.00631286,101 LTRK
101,LTRK,0.0017,0.00631354,101 LTRK
101,LTRK,0.0018,0.00631408,101 LTRK
101,LTRK,0.002,0.00631571,101 LTRK
101,LTRK,0.0022,0.0063184,101 LTRK
101,LTRK,0.0023,0.00632029,101 LTRK
