Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
381,ANY120,Log Logistic,5.719756813395773,4.403905532814026,7.483576786327525,42.81875,0.0,50.0,0.856375,Pass,Good,Pass,Pass,5.0,0.9710083124552245,381 ANY120
4082,ANY24,Log Logistic,11.792055781994925,6.485630680097209,13.55159917667018,80.09760714285714,0.0,100.0,0.8009760714285714,Pass,Good,Pass,Pass,10.0,0.7599049013618419,4082 ANY24
4082,MO24,Log Logistic,11.792055781994925,6.485630680097209,13.55159917667018,80.09760714285714,0.0,100.0,0.8009760714285714,Pass,Good,Pass,Pass,10.0,0.7599049013618419,4082 MO24
4082,TOT_MORT,Gamma,4.0751277110188475,2.2413202410603663,8.306814951581666,91.78475,0.0,100.0,0.9178475,Pass,Good,Pass,Pass,10.0,0.8664221612003404,4082 TOT_MORT
4095,ANY120,Log Logistic,1.556217291766805,0.8559195104717428,1.9684105948772859,97.76857142857142,0.0,100.0,0.9776857142857142,Pass,Good,Pass,Pass,10.0,0.7407877969250659,4095 ANY120
4095,ANY24,Log Logistic,1.4903497662756597,0.8196923714516129,1.9017733313755958,97.76821428571428,0.0,100.0,0.9776821428571428,Pass,Good,Pass,Pass,10.0,0.8650489757641092,4095 ANY24
3136,AXIS,Log Logistic,8.99845599778542,5.127098781160061,31.75414403484001,38.26954274891775,0.0,80.0,0.47836928436147186,Pass,Good,Pass,Pass,9.0,0.8117225864930513,3136 AXIS
246,ALL_BUT_MORT,Gamma,10.996646422533768,6.719874510645024,29.19126875843352,19.1625,0.0,50.0,0.38325000000000004,Pass,Good,Pass,Pass,5.0,0.9411239481143202,246 ALL_BUT_MORT
246,ANY120,Logistic,10.234903575685948,7.981525635121107,23.379407989153645,25.55625,0.0,50.0,0.5111249999999999,Pass,Good,Pass,Pass,5.0,0.9856107606091623,246 ANY120
246,ANY24,Logistic,26.29768800198321,21.472807012361535,45.9559786616773,7.624999999999999,0.0,50.0,0.15249999999999997,Pass,Good,Pass,Pass,5.0,0.9856107606091623,246 ANY24
3125,ANY24,Weibull,0.08511300119177258,0.010867700103344008,10.688966100939853,39.927600000000005,0.0,64.0,0.6238687500000001,Pass,Good,Pass,Pass,5.0,0.898645105261295,3125 ANY24
3125,ANY120,Log Logistic,0.17280991423932165,0.034671676641082644,4.556080917747097,47.4878,0.0,64.0,0.741996875,Pass,Good,Pass,Pass,5.0,0.9411239481143202,3125 ANY120
3125,ALL_BUT_MORT,Log Logistic,0.3846140833597482,0.08654755874821288,10.846564513241498,39.818000000000005,0.0,64.0,0.6221562500000001,Pass,Good,Pass,Pass,5.0,0.898645105261295,3125 ALL_BUT_MORT
246,TOT_MORT,Logistic,26.707883192224717,21.807743002049698,45.73190336452514,10.75625,0.0,50.0,0.21512499999999998,Pass,Good,Pass,Pass,5.0,0.9710083124552245,246 TOT_MORT
4100,ANY120,Log Logistic,1.1525322421310824,0.6356654268062325,1.996121653240934,97.27082142857142,0.0,100.0,0.9727082142857142,Pass,Good,Pass,Pass,10.0,0.8168834544774745,4100 ANY120
247,ANY120,Log Logistic,4.499701614200327,2.4748358878101797,5.177600364064223,44.2,0.0,50.0,0.884,Pass,Good,Pass,Pass,5.0,0.8804062740424285,247 ANY120
