Chemical_ID,End_Point,Dose,bmdrc.Endpoint.ID,num.affected,num.nonna,CI_Lo,CI_Hi,Response
1000,ALL_BUT_MORT,0.0,1000 ALL_BUT_MORT,5.0,32,0.0686442,0.3175415,0.15625
1000,ALL_BUT_MORT,0.0064,1000 ALL_BUT_MORT,0.0,32,0.0,0.1071792,0.0
1000,ALL_BUT_MORT,0.064,1000 ALL_BUT_MORT,4.0,32,0.04970134,0.28068305,0.125
1000,ALL_BUT_MORT,0.64,1000 ALL_BUT_MORT,1.0,32,0.00553786,0.15744264,0.03125
1000,ALL_BUT_MORT,6.4,1000 ALL_BUT_MORT,7.0,32,0.11023836,0.38754994,0.21875
1000,ALL_BUT_MORT,64.0,1000 ALL_BUT_MORT,7.0,32,0.11023836,0.38754994,0.21875
1000,ANY120,0.0,1000 ANY120,12.0,32,0.22933887,0.54745593,0.375
1000,ANY120,0.0064,1000 ANY120,3.0,32,0.03240155,0.24218155,0.09375
1000,ANY120,0.064,1000 ANY120,5.0,32,0.0686442,0.3175415,0.15625
1000,ANY120,0.64,1000 ANY120,5.0,32,0.0686442,0.3175415,0.15625
1000,ANY120,6.4,1000 ANY120,8.0,32,0.13252401,0.42106559,0.25
1000,ANY120,64.0,1000 ANY120,9.0,32,0.1556458,0.45374509,0.28125
1000,ANY24,0.0,1000 ANY24,12.0,32,0.22933887,0.54745593,0.375
1000,ANY24,0.0064,1000 ANY24,3.0,32,0.03240155,0.24218155,0.09375
1000,ANY24,0.064,1000 ANY24,5.0,32,0.0686442,0.3175415,0.15625
1000,ANY24,0.64,1000 ANY24,5.0,32,0.0686442,0.3175415,0.15625
1000,ANY24,6.4,1000 ANY24,6.0,32,0.08889545,0.35309155,0.1875
1000,ANY24,64.0,1000 ANY24,5.0,32,0.0686442,0.3175415,0.15625
1000,AXIS,0.0,1000 AXIS,1.0,24,0.00739346,0.20241806,0.04166667
1000,AXIS,0.0064,1000 AXIS,0.0,29,0.0,0.1169698,0.0
1000,AXIS,0.064,1000 AXIS,1.0,31,0.00571722,0.16194105,0.03225806
1000,AXIS,0.64,1000 AXIS,0.0,28,0.0,0.1206433,0.0
1000,AXIS,6.4,1000 AXIS,3.0,31,0.03346464,0.24899938,0.09677419
1000,AXIS,64.0,1000 AXIS,1.0,30,0.00590859,0.16670391,0.03333333
1000,BRN_,0.0,1000 BRN_,0.0,32,0.0,0.1071792,0.0
1000,BRN_,0.0064,1000 BRN_,0.0,32,0.0,0.1071792,0.0
1000,BRN_,0.064,1000 BRN_,1.0,32,0.00553786,0.15744264,0.03125
1000,BRN_,0.64,1000 BRN_,0.0,32,0.0,0.1071792,0.0
1000,BRN_,6.4,1000 BRN_,3.0,32,0.03240155,0.24218155,0.09375
1000,BRN_,64.0,1000 BRN_,1.0,32,0.00553786,0.15744264,0.03125
1000,CRAN,0.0,1000 CRAN,1.0,32,0.00553786,0.15744264,0.03125
1000,CRAN,0.0064,1000 CRAN,0.0,32,0.0,0.1071792,0.0
1000,CRAN,0.064,1000 CRAN,1.0,32,0.00553786,0.15744264,0.03125
1000,CRAN,0.64,1000 CRAN,0.0,32,0.0,0.1071792,0.0
1000,CRAN,6.4,1000 CRAN,5.0,32,0.0686442,0.3175415,0.15625
1000,CRAN,64.0,1000 CRAN,5.0,32,0.0686442,0.3175415,0.15625
1000,EDEM,0.0,1000 EDEM,1.0,32,0.00553786,0.15744264,0.03125
1000,EDEM,0.0064,1000 EDEM,0.0,32,0.0,0.1071792,0.0
1000,EDEM,0.064,1000 EDEM,1.0,32,0.00553786,0.15744264,0.03125
1000,EDEM,0.64,1000 EDEM,0.0,32,0.0,0.1071792,0.0
1000,EDEM,6.4,1000 EDEM,5.0,32,0.0686442,0.3175415,0.15625
1000,EDEM,64.0,1000 EDEM,4.0,32,0.04970134,0.28068305,0.125
1000,LTRK,0.0,1000 LTRK,1.0,32,0.00553786,0.15744264,0.03125
1000,LTRK,0.0064,1000 LTRK,0.0,32,0.0,0.1071792,0.0
1000,LTRK,0.064,1000 LTRK,1.0,32,0.00553786,0.15744264,0.03125
1000,LTRK,0.64,1000 LTRK,0.0,32,0.0,0.1071792,0.0
1000,LTRK,6.4,1000 LTRK,2.0,32,0.01731057,0.20147123,0.0625
1000,LTRK,64.0,1000 LTRK,2.0,32,0.01731057,0.20147123,0.0625
1000,MO24,0.0,1000 MO24,7.0,32,0.11023836,0.38754994,0.21875
1000,MO24,0.0064,1000 MO24,3.0,32,0.03240155,0.24218155,0.09375
1000,MO24,0.064,1000 MO24,1.0,32,0.00553786,0.15744264,0.03125
1000,MO24,0.64,1000 MO24,4.0,32,0.04970134,0.28068305,0.125
1000,MO24,6.4,1000 MO24,1.0,32,0.00553786,0.15744264,0.03125
1000,MO24,64.0,1000 MO24,2.0,32,0.01731057,0.20147123,0.0625
1000,NC24,0.0,1000 NC24,0.0,24,0.0,0.1379762,0.0
1000,NC24,0.0064,1000 NC24,0.0,29,0.0,0.1169698,0.0
1000,NC24,0.064,1000 NC24,0.0,31,0.0,0.1102554,0.0
1000,NC24,0.64,1000 NC24,0.0,28,0.0,0.1206433,0.0
1000,NC24,6.4,1000 NC24,0.0,31,0.0,0.1102554,0.0
1000,NC24,64.0,1000 NC24,0.0,30,0.0,0.11351339,0.0
1000,TOT_MORT,0.0,1000 TOT_MORT,8.0,32,0.13252401,0.42106559,0.25
1000,TOT_MORT,0.0064,1000 TOT_MORT,3.0,32,0.03240155,0.24218155,0.09375
1000,TOT_MORT,0.064,1000 TOT_MORT,1.0,32,0.00553786,0.15744264,0.03125
1000,TOT_MORT,0.64,1000 TOT_MORT,4.0,32,0.04970134,0.28068305,0.125
1000,TOT_MORT,6.4,1000 TOT_MORT,1.0,32,0.00553786,0.15744264,0.03125
1000,TOT_MORT,64.0,1000 TOT_MORT,2.0,32,0.01731057,0.20147123,0.0625
10003,ALL_BUT_MORT,0.0,10003 ALL_BUT_MORT,0.0,32,0.0,0.1071792,0.0
10003,ALL_BUT_MORT,0.000297,10003 ALL_BUT_MORT,0.0,32,0.0,0.1071792,0.0
10003,ALL_BUT_MORT,0.00064,10003 ALL_BUT_MORT,2.0,32,0.01731057,0.20147123,0.0625
10003,ALL_BUT_MORT,0.00138,10003 ALL_BUT_MORT,1.0,32,0.00553786,0.15744264,0.03125
10003,ALL_BUT_MORT,0.00297,10003 ALL_BUT_MORT,0.0,32,0.0,0.1071792,0.0
10003,ALL_BUT_MORT,0.0064,10003 ALL_BUT_MORT,3.0,32,0.03240155,0.24218155,0.09375
10003,ANY120,0.0,10003 ANY120,0.0,32,0.0,0.1071792,0.0
10003,ANY120,0.000297,10003 ANY120,0.0,32,0.0,0.1071792,0.0
10003,ANY120,0.00064,10003 ANY120,2.0,32,0.01731057,0.20147123,0.0625
10003,ANY120,0.00138,10003 ANY120,1.0,32,0.00553786,0.15744264,0.03125
10003,ANY120,0.00297,10003 ANY120,0.0,32,0.0,0.1071792,0.0
10003,ANY120,0.0064,10003 ANY120,4.0,32,0.04970134,0.28068305,0.125
10003,ANY24,0.0,10003 ANY24,0.0,32,0.0,0.1071792,0.0
10003,ANY24,0.000297,10003 ANY24,0.0,32,0.0,0.1071792,0.0
10003,ANY24,0.00064,10003 ANY24,1.0,32,0.00553786,0.15744264,0.03125
10003,ANY24,0.00138,10003 ANY24,0.0,32,0.0,0.1071792,0.0
10003,ANY24,0.00297,10003 ANY24,0.0,32,0.0,0.1071792,0.0
10003,ANY24,0.0064,10003 ANY24,2.0,32,0.01731057,0.20147123,0.0625
10003,AXIS,0.0,10003 AXIS,0.0,32,0.0,0.1071792,0.0
10003,AXIS,0.000297,10003 AXIS,0.0,32,0.0,0.1071792,0.0
10003,AXIS,0.00064,10003 AXIS,0.0,32,0.0,0.1071792,0.0
10003,AXIS,0.00138,10003 AXIS,1.0,32,0.00553786,0.15744264,0.03125
10003,AXIS,0.00297,10003 AXIS,0.0,32,0.0,0.1071792,0.0
10003,AXIS,0.0064,10003 AXIS,1.0,31,0.00571722,0.16194105,0.03225806
10003,BRN_,0.0,10003 BRN_,0.0,32,0.0,0.1071792,0.0
10003,BRN_,0.000297,10003 BRN_,0.0,32,0.0,0.1071792,0.0
10003,BRN_,0.00064,10003 BRN_,1.0,32,0.00553786,0.15744264,0.03125
10003,BRN_,0.00138,10003 BRN_,1.0,32,0.00553786,0.15744264,0.03125
10003,BRN_,0.00297,10003 BRN_,0.0,32,0.0,0.1071792,0.0
10003,BRN_,0.0064,10003 BRN_,2.0,32,0.01731057,0.20147123,0.0625
