Chemical_ID,End_Point,Dose,bmdrc.Endpoint.ID,num.affected,num.nonna,CI_Lo,CI_Hi,Response
1016,AUC,0.0,1016 AUC,0.0,5,0.0,0.43448246,0.0
1016,AUC,0.015,1016 AUC,2.0,2,0.34238023,1.0,1.0
1016,AUC,0.046,1016 AUC,0.0,1,0.0,0.79345069,0.0
1016,AUC,0.41,1016 AUC,1.0,3,0.06149194,0.7923404,0.33333333
1016,AUC,1.23,1016 AUC,1.0,2,0.09453121,0.90546879,0.5
1016,AUC,3.7,1016 AUC,0.0,1,0.0,0.79345069,0.0
1016,AUC,11.1,1016 AUC,1.0,1,0.20654931,1.0,1.0
1016,AUC,33.3,1016 AUC,1.0,2,0.09453121,0.90546879,0.5
1016,AUC,66.5,1016 AUC,1.0,3,0.06149194,0.7923404,0.33333333
1016,AUC,100.0,1016 AUC,0.0,2,0.0,0.65761977,0.0
1016,MOV,0.0,1016 MOV,0.0,5,0.0,0.43448246,0.0
1016,MOV,0.015,1016 MOV,0.0,2,0.0,0.65761977,0.0
1016,MOV,0.046,1016 MOV,0.0,1,0.0,0.79345069,0.0
1016,MOV,0.41,1016 MOV,0.0,3,0.0,0.56149703,0.0
1016,MOV,1.23,1016 MOV,0.0,2,0.0,0.65761977,0.0
1016,MOV,3.7,1016 MOV,0.0,1,0.0,0.79345069,0.0
1016,MOV,11.1,1016 MOV,0.0,1,0.0,0.79345069,0.0
1016,MOV,33.3,1016 MOV,1.0,2,0.09453121,0.90546879,0.5
1016,MOV,66.5,1016 MOV,1.0,3,0.06149194,0.7923404,0.33333333
1016,MOV,100.0,1016 MOV,0.0,2,0.0,0.65761977,0.0
1376,AUC,0.0,1376 AUC,2.0,28,0.01981206,0.22645363,0.07142857
1376,AUC,1.0,1376 AUC,4.0,29,0.0549744,0.30558994,0.13793103
1376,AUC,5.0,1376 AUC,4.0,27,0.05915928,0.32478685,0.14814815
1376,AUC,11.2,1376 AUC,6.0,31,0.09187008,0.36280258,0.19354839
1376,AUC,35.6,1376 AUC,8.0,24,0.1797219,0.53293683,0.33333333
1376,AUC,50.0,1376 AUC,9.0,20,0.25819786,0.65791466,0.45
1376,MOV,0.0,1376 MOV,4.0,28,0.05699005,0.31489802,0.14285714
1376,MOV,1.0,1376 MOV,6.0,29,0.0984607,0.3839009,0.20689655
1376,MOV,5.0,1376 MOV,4.0,27,0.05915928,0.32478685,0.14814815
1376,MOV,11.2,1376 MOV,3.0,31,0.03346464,0.24899938,0.09677419
1376,MOV,35.6,1376 MOV,4.0,24,0.06678676,0.35853071,0.16666667
1376,MOV,50.0,1376 MOV,1.0,20,0.00888145,0.23613119,0.05
1947,AUC,0.0,1947 AUC,2.0,14,0.04009392,0.39941379,0.14285714
1947,AUC,100.0,1947 AUC,0.0,14,0.0,0.2153108,0.0
1947,MOV,0.0,1947 MOV,1.0,14,0.01272222,0.31468704,0.07142857
1947,MOV,100.0,1947 MOV,1.0,14,0.01272222,0.31468704,0.07142857
2323,AUC,0.0,2323 AUC,2.0,29,0.01912127,0.2196458,0.06896552
2323,AUC,3.125,2323 AUC,1.0,29,0.00611321,0.17175522,0.03448276
2323,AUC,6.25,2323 AUC,1.0,31,0.00571722,0.16194105,0.03225806
2323,AUC,12.5,2323 AUC,1.0,30,0.00590859,0.16670391,0.03333333
2323,AUC,25.0,2323 AUC,2.0,31,0.01787478,0.20718637,0.06451613
2323,AUC,50.0,2323 AUC,2.0,29,0.01912127,0.2196458,0.06896552
2323,MOV,0.0,2323 MOV,7.0,29,0.12218422,0.42107602,0.24137931
2323,MOV,3.125,2323 MOV,3.0,29,0.03581489,0.26385081,0.10344828
2323,MOV,6.25,2323 MOV,9.0,31,0.160958,0.46592329,0.29032258
2323,MOV,12.5,2323 MOV,5.0,30,0.07336542,0.33564351,0.16666667
2323,MOV,25.0,2323 MOV,6.0,31,0.09187008,0.36280258,0.19354839
2323,MOV,50.0,2323 MOV,3.0,29,0.03581489,0.26385081,0.10344828
250,AUC,0.0,250 AUC,1.0,31,0.00571722,0.16194105,0.03225806
250,AUC,3.125,250 AUC,0.0,29,0.0,0.1169698,0.0
250,AUC,6.25,250 AUC,2.0,30,0.01847702,0.21323458,0.06666667
250,AUC,12.5,250 AUC,1.0,28,0.00633252,0.17712198,0.03571429
250,AUC,25.0,250 AUC,1.0,28,0.00633252,0.17712198,0.03571429
250,AUC,50.0,250 AUC,1.0,18,0.00987519,0.25757301,0.05555556
250,MOV,0.0,250 MOV,4.0,31,0.05134284,0.28852406,0.12903226
250,MOV,3.125,250 MOV,6.0,29,0.0984607,0.3839009,0.20689655
250,MOV,6.25,250 MOV,5.0,30,0.07336542,0.33564351,0.16666667
250,MOV,12.5,250 MOV,1.0,28,0.00633252,0.17712198,0.03571429
250,MOV,25.0,250 MOV,5.0,28,0.07878502,0.35591425,0.17857143
250,MOV,50.0,250 MOV,3.0,18,0.05836577,0.39222038,0.16666667
2532,AUC,0.0,2532 AUC,536.0,3629,0.13652815,0.1596151,0.14769909
2532,AUC,14.3,2532 AUC,2.0,10,0.05668215,0.50983753,0.2
2532,AUC,19.3,2532 AUC,85.0,258,0.27497436,0.38894441,0.32945736
2532,AUC,24.2,2532 AUC,47.0,137,0.26882637,0.4258658,0.34306569
2532,AUC,29.1,2532 AUC,32.0,81,0.29568104,0.50394523,0.39506173
2532,AUC,34.0,2532 AUC,23.0,49,0.33703504,0.60619136,0.46938776
2532,MOV,0.0,2532 MOV,146.0,3629,0.03430932,0.04712596,0.04023147
2532,MOV,14.3,2532 MOV,1.0,10,0.01787621,0.40415003,0.1
2532,MOV,19.3,2532 MOV,25.0,258,0.06649748,0.1391287,0.09689922
2532,MOV,24.2,2532 MOV,9.0,137,0.03494334,0.120135,0.06569343
2532,MOV,29.1,2532 MOV,5.0,81,0.02665251,0.13649248,0.0617284
2532,MOV,34.0,2532 MOV,5.0,49,0.04437955,0.21756362,0.10204082
