Chemical_ID,End_Point,X_vals,Y_vals,bmdrc.Endpoint.ID
1000,ALL_BUT_MORT,,,1000 ALL_BUT_MORT
1000,ANY120,,,1000 ANY120
1000,ANY24,,,1000 ANY24
1000,AXIS,0.0,0.03350758,1000 AXIS
1000,AXIS,0.0007,0.03350764,1000 AXIS
1000,AXIS,0.0014,0.0335077,1000 AXIS
1000,AXIS,0.0021,0.03350776,1000 AXIS
1000,AXIS,0.0028,0.03350783,1000 AXIS
1000,AXIS,0.0036,0.0335079,1000 AXIS
1000,AXIS,0.0043,0.03350796,1000 AXIS
1000,AXIS,0.005,0.03350802,1000 AXIS
1000,AXIS,0.0057,0.03350808,1000 AXIS
1000,AXIS,0.0064,0.03350815,1000 AXIS
1000,AXIS,0.0128,0.03350872,1000 AXIS
1000,AXIS,0.0192,0.03350929,1000 AXIS
1000,AXIS,0.0256,0.03350986,1000 AXIS
1000,AXIS,0.032,0.03351043,1000 AXIS
1000,AXIS,0.0384,0.033511,1000 AXIS
1000,AXIS,0.0448,0.03351157,1000 AXIS
1000,AXIS,0.0512,0.03351214,1000 AXIS
1000,AXIS,0.0576,0.03351271,1000 AXIS
1000,AXIS,0.064,0.03351328,1000 AXIS
1000,AXIS,0.128,0.03351899,1000 AXIS
1000,AXIS,0.192,0.0335247,1000 AXIS
1000,AXIS,0.256,0.03353041,1000 AXIS
1000,AXIS,0.32,0.03353612,1000 AXIS
1000,AXIS,0.384,0.03354183,1000 AXIS
1000,AXIS,0.448,0.03354755,1000 AXIS
1000,AXIS,0.512,0.03355326,1000 AXIS
1000,AXIS,0.576,0.03355897,1000 AXIS
1000,AXIS,0.64,0.03356469,1000 AXIS
1000,AXIS,1.28,0.03362188,1000 AXIS
1000,AXIS,1.92,0.03367916,1000 AXIS
1000,AXIS,2.56,0.03373651,1000 AXIS
1000,AXIS,3.2,0.03379394,1000 AXIS
1000,AXIS,3.84,0.03385146,1000 AXIS
1000,AXIS,4.48,0.03390905,1000 AXIS
1000,AXIS,5.12,0.03396673,1000 AXIS
1000,AXIS,5.76,0.03402448,1000 AXIS
1000,AXIS,6.4,0.03408232,1000 AXIS
1000,AXIS,12.8,0.03466515,1000 AXIS
1000,AXIS,19.2,0.03525614,1000 AXIS
1000,AXIS,25.6,0.03585536,1000 AXIS
1000,AXIS,32.0,0.03646291,1000 AXIS
1000,AXIS,38.4,0.03707885,1000 AXIS
1000,AXIS,44.8,0.03770327,1000 AXIS
1000,AXIS,51.2,0.03833625,1000 AXIS
1000,AXIS,57.6,0.03897787,1000 AXIS
1000,AXIS,64.0,0.0396282,1000 AXIS
1000,BRN_,0.0,1e-05,1000 BRN_
1000,BRN_,0.0007,0.00202764,1000 BRN_
1000,BRN_,0.0014,0.00255774,1000 BRN_
1000,BRN_,0.0021,0.00293023,1000 BRN_
1000,BRN_,0.0028,0.0032271,1000 BRN_
1000,BRN_,0.0036,0.00351104,1000 BRN_
1000,BRN_,0.0043,0.00372678,1000 BRN_
1000,BRN_,0.005,0.0039203,1000 BRN_
1000,BRN_,0.0057,0.00409659,1000 BRN_
1000,BRN_,0.0064,0.00425905,1000 BRN_
1000,BRN_,0.0128,0.00537539,1000 BRN_
1000,BRN_,0.0192,0.00615985,1000 BRN_
1000,BRN_,0.0256,0.00678504,1000 BRN_
1000,BRN_,0.032,0.00731342,1000 BRN_
1000,BRN_,0.0384,0.00777559,1000 BRN_
1000,BRN_,0.0448,0.00818909,1000 BRN_
1000,BRN_,0.0512,0.00856504,1000 BRN_
1000,BRN_,0.0576,0.00891096,1000 BRN_
1000,BRN_,0.064,0.00923224,1000 BRN_
1000,BRN_,0.128,0.01165519,1000 BRN_
1000,BRN_,0.192,0.01335778,1000 BRN_
1000,BRN_,0.256,0.01471471,1000 BRN_
1000,BRN_,0.32,0.01586152,1000 BRN_
1000,BRN_,0.384,0.01686462,1000 BRN_
1000,BRN_,0.448,0.01776209,1000 BRN_
1000,BRN_,0.512,0.01857805,1000 BRN_
1000,BRN_,0.576,0.01932886,1000 BRN_
1000,BRN_,0.64,0.02002616,1000 BRN_
1000,BRN_,1.28,0.02528495,1000 BRN_
